HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointprevalence_pred7d_025,pointprevalence_pred7d_50,pointprevalence_pred7d_975,pointprevalence_pred14d_025,pointprevalence_pred14d_50,pointprevalence_pred14d_975
2406,CanadaQuebecMontréal,Quebec,Montréal,2020-12-10 20:07:13.765619,2020-12-10 00:00:00.000000,1:14:18.281814,0.90494749,1.12955076,1.40001991,16803,20973,25995,1.02671331,1.48561564,2.07862886,1.08131507,1.85914574,3.02622461
6201,CanadaNunavutNunavut,Nunavut,Nunavut,2020-12-10 19:32:51.385525,2020-12-10 00:00:00.000000,0:40:16.920143,0.55700574,1.01920215,1.96395081,207,379,731,0.32886594,0.71696120,1.63762186,0.20206385,0.50768571,1.45155715
2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2020-12-10 19:27:04.818234,2020-12-10 00:00:00.000000,0:34:58.948201,0.06763116,0.22971780,0.70617113,100,341,1048,0.04903281,0.29691892,1.47069706,0.03534065,0.41455124,3.27454147
3526,CanadaOntarioAlgoma,Ontario,Algoma,2020-12-10 19:21:11.739113,2020-12-10 00:00:00.000000,0:29:30.931827,0.00252980,0.00780511,0.01826262,2,8,20,0.00073070,0.00362628,0.00991685,0.00020335,0.00161371,0.00604939
2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-10 19:34:46.789109,2020-12-10 00:00:00.000000,0:43:39.077959,0.96920600,1.52836724,2.36507682,1901,2998,4639,0.69538919,1.52601049,3.07750029,0.49740022,1.59125439,3.94619172
3527,CanadaOntarioBrant,Ontario,Brant,2020-12-10 19:36:16.892156,2020-12-10 00:00:00.000000,0:46:05.500820,0.25826492,0.54837928,1.07261944,392,833,1630,0.19637296,0.52189056,1.27632286,0.15104682,0.47589442,1.50948892
2409,CanadaQuebecCôte-Nord,Quebec,Côte-Nord,2020-12-10 19:16:24.868360,2020-12-10 00:00:00.000000,0:26:45.089567,0.03507367,0.11829296,0.30770172,30,103,269,0.01772482,0.09659534,0.33801308,0.00886787,0.07133270,0.37031327
4832,CanadaAlbertaCalgary,Alberta,Calgary,2020-12-10 19:45:54.221110,2020-12-10 00:00:00.000000,0:58:13.177762,1.63528626,2.32251172,3.60052481,28326,40230,62367,1.55462481,2.51627791,4.19548783,1.41858848,2.62466521,4.69861248
3551,CanadaOntarioOttawa,Ontario,Ottawa,2020-12-10 20:02:38.546648,2020-12-10 00:00:00.000000,1:15:02.533590,0.12798075,0.27273555,0.61549165,1305,2781,6276,0.11409370,0.27436790,0.81094252,0.08532441,0.27520308,1.15391218
3595,CanadaOntarioToronto,Ontario,Toronto,2020-12-09 21:27:02.846653,2020-12-09 00:00:00.000000,1:24:24.550866,0.97339780,1.31853992,1.95363736,29080,39391,58365,0.86250957,1.48176297,2.52368762,0.77998575,1.64224920,3.37843230
4833,CanadaAlbertaCentral,Alberta,Central,2020-12-10 19:41:13.865150,2020-12-10 00:00:00.000000,0:54:37.118142,2.13581940,3.88992445,6.08627064,10228,18628,29146,2.16489179,4.24559611,8.87293811,1.71925161,4.26785166,11.39655384
4834,CanadaAlbertaEdmonton,Alberta,Edmonton,2020-12-10 19:35:04.410313,2020-12-10 00:00:00.000000,0:49:19.790196,5.07867400,8.93408458,14.99969827,74220,130564,219208,4.97727130,8.86411304,17.08913572,4.09084850,8.51851815,17.23709958
4835,CanadaAlbertaNorth,Alberta,North,2020-12-10 19:29:23.200247,2020-12-10 00:00:00.000000,0:44:09.787684,1.99552097,4.78020321,7.59122816,9247,22152,35178,2.03171736,4.99078475,9.62667625,2.11046805,5.23171212,11.19975088
4831,CanadaAlbertaSouth,Alberta,South,2020-12-10 19:30:16.840300,2020-12-10 00:00:00.000000,0:45:29.521219,0.71484960,1.45560175,2.35740313,2335,4754,7700,0.61174050,1.15093744,2.25700504,0.37636049,0.98464156,2.16015224
591,CanadaBCFraser,BC,Fraser,2020-12-10 19:38:16.430539,2020-12-10 00:00:00.000000,0:53:44.034369,2.49162472,4.59956405,8.90153441,45822,84589,163705,2.06146183,4.31609541,9.37397281,1.69421672,4.02104967,9.73981257
592,CanadaBCInterior,BC,Interior,2020-12-10 19:46:35.150899,2020-12-10 00:00:00.000000,1:02:06.686431,1.03251687,1.94627854,3.04102740,7339,13834,21616,1.09338302,2.20547949,4.11005586,1.13334281,2.54665416,5.53381351
593,CanadaBCIsland,BC,Island,2020-12-10 20:11:47.950686,2020-12-10 00:00:00.000000,1:27:24.827719,0.18242437,0.36917277,0.65086196,1359,2750,4848,0.13194191,0.30444860,0.62902192,0.09807650,0.24809531,0.59869129
594,CanadaBCNorthern,BC,Northern,2020-12-10 20:21:23.599422,2020-12-10 00:00:00.000000,1:37:59.250303,2.90552528,4.85140386,7.06399570,8299,13858,20179,2.77031622,5.97797230,10.12992446,2.56708274,7.17636278,13.92950584
595,CanadaBCVancouverCoastal,BC,Vancouver Coastal,2020-12-10 20:22:02.927463,2020-12-10 00:00:00.000000,1:39:12.431560,2.47009639,2.74803969,2.86702723,29487,32805,34225,2.19573579,2.60288563,3.20609808,1.87213143,2.58180890,3.55126937
4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-12-10 19:27:45.853274,2020-12-10 00:00:00.000000,0:45:10.262082,0.95719590,1.52259558,2.48384765,1656,2634,4297,1.08161171,1.93999026,3.46400902,1.14786036,2.37001724,5.14683471
4604,CanadaManitobaNorthern,Manitoba,Northern,2020-12-10 19:25:32.828232,2020-12-10 00:00:00.000000,0:43:07.792621,3.27492985,5.19687658,7.64174201,2534,4021,5913,2.36481059,4.14946763,6.76715420,1.61501906,3.21149104,6.68860532
4602,CanadaManitobaPrairieMountain,Manitoba,Prairie Mountain,2020-12-10 19:21:58.505611,2020-12-10 00:00:00.000000,0:41:11.381934,0.77201796,1.40756021,2.10723426,1096,1999,2992,0.79330748,1.53778113,2.82256072,0.60751836,1.61714443,3.72622064
4605,CanadaManitobaSouthernHealth,Manitoba,Southern Health,2020-12-10 19:29:31.536011,2020-12-10 00:00:00.000000,0:48:49.713201,0.92123503,1.61778390,2.40656407,1896,3330,4954,0.38915762,0.86507178,1.52757638,0.16533750,0.48373154,1.01028667
4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-10 19:40:07.190802,2020-12-10 00:00:00.000000,1:01:43.542280,2.15348658,3.26527939,4.88443836,16963,25721,38475,1.65647265,2.84465461,4.72429498,1.28277232,2.46409590,4.72349368
1012,CanadaNLCentral,NL,Central,2020-12-10 19:02:34.917034,2020-12-10 00:00:00.000000,0:29:22.249318,0.01740933,0.04460349,0.08639515,14,38,73,0.00704645,0.02374328,0.05837386,0.00271221,0.01178397,0.04288132
1011,CanadaNLEastern,NL,Eastern,2020-12-10 19:05:23.270705,2020-12-10 00:00:00.000000,0:32:24.862512,0.01864305,0.06963768,0.14125398,57,216,438,0.01249982,0.07339170,0.22439826,0.00838503,0.07447609,0.42660971
1014,CanadaNLLabrador-Grenfell,NL,Labrador-Grenfell,2020-12-10 18:59:22.709062,2020-12-10 00:00:00.000000,0:29:36.258331,0.00000018,0.00001851,0.00084271,0,0,0,0.00000006,0.00000867,0.00066979,0.00000002,0.00000412,0.00053595
1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-12-10 00:00:00.000000,0:31:16.299975,0.00402321,0.01006018,0.02178791,2,7,15,0.00105100,0.00376718,0.01122566,0.00027574,0.00140691,0.00579688
6101,CanadaNWTNWT,NWT,NWT,2020-12-10 18:52:30.017621,2020-12-10 00:00:00.000000,0:26:28.504576,0.00115591,0.00430297,0.01472708,0,1,6,0.00036686,0.00173460,0.00813357,0.00011618,0.00072734,0.00470887
1301,CanadaNewBrunswickZone1(Monctonarea),New Brunswick,Zone 1 (Moncton area),2020-12-10 18:54:40.399804,2020-12-10 00:00:00.000000,0:29:50.383263,0.00654008,0.01593965,0.05429609,14,34,117,0.00242036,0.00845592,0.04328808,0.00086028,0.00453063,0.03539924
1302,CanadaNewBrunswickZone2(SaintJohnarea),New Brunswick,Zone 2 (Saint John area),2020-12-10 18:54:06.836287,2020-12-10 00:00:00.000000,0:30:02.383815,0.07455023,0.13295057,0.21813533,111,198,325,0.02660205,0.06912379,0.13679437,0.00959099,0.03549670,0.08124508
1303,CanadaNewBrunswickZone3(Frederictonarea),New Brunswick,Zone 3 (Fredericton area),2020-12-10 18:51:39.872605,2020-12-10 00:00:00.000000,0:27:44.593404,0.07120188,0.11641561,0.19373895,127,208,347,0.05241601,0.12030214,0.26104348,0.03811865,0.12277373,0.34686830
1304,CanadaNewBrunswickZone4(Edmundstonarea),New Brunswick,Zone 4 (Edmundston area),2020-12-10 18:49:41.412400,2020-12-10 00:00:00.000000,0:27:47.728978,0.06715239,0.09703323,0.12560591,30,44,57,0.01528703,0.03665883,0.07354292,0.00313220,0.01309478,0.04104948
1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2020-12-10 18:52:08.212907,2020-12-10 00:00:00.000000,0:30:17.686919,0.00004120,0.00056693,0.00437511,0,0,1,0.00001016,0.00018957,0.00298542,0.00000252,0.00006649,0.00265533
1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2020-12-10 18:49:11.273858,2020-12-10 00:00:00.000000,0:29:22.951501,0.02650323,0.04507667,0.07052390,18,31,49,0.00851685,0.02192727,0.04234245,0.00265657,0.01021533,0.02683911
1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-12-10 18:47:14.470937,2020-12-10 00:00:00.000000,0:29:31.365589,0.00007700,0.00063730,0.00321709,0,0,1,0.00002465,0.00029337,0.00193452,0.00000795,0.00012863,0.00116507
1201,CanadaNovaScotiaZone1-Western,Nova Scotia,Zone 1 - Western,2020-12-10 18:44:19.168859,2020-12-10 00:00:00.000000,0:29:02.882764,0.00993744,0.02477953,0.06649430,18,46,123,0.00345678,0.00985137,0.06724647,0.00106593,0.00381529,0.07000429
1202,CanadaNovaScotiaZone2-Northern,Nova Scotia,Zone 2 - Northern,2020-12-10 18:42:57.822769,2020-12-10 00:00:00.000000,0:28:25.771931,0.01511992,0.02460239,0.05418310,22,35,79,0.00457292,0.00992908,0.03537947,0.00126371,0.00375260,0.02573865
1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2020-12-10 19:05:36.907211,2020-12-10 00:00:00.000000,0:51:18.704356,0.01696658,0.03345721,0.04769839,23,46,65,0.00494048,0.01450488,0.02980874,0.00173128,0.00580377,0.02131147
1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-10 18:53:42.608338,2020-12-10 00:00:00.000000,0:42:38.521306,0.11263619,0.19870229,0.33123126,500,883,1473,0.05911286,0.13234190,0.27205910,0.02795472,0.08592560,0.22915943
3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-12-10 18:44:01.746872,2020-12-10 00:00:00.000000,0:33:20.553022,0.30453942,0.65685054,1.19986138,320,691,1263,0.20420283,0.63851442,1.56789004,0.13620744,0.62340954,2.06105755
3530,CanadaOntarioDurham,Ontario,Durham,2020-12-10 19:29:56.683961,2020-12-10 00:00:00.000000,1:22:06.363373,0.79034325,1.61739539,2.95301683,5529,11315,20660,0.83585287,1.89925368,3.72903513,0.88286611,2.34814361,4.66351330
3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-10 19:02:40.037115,2020-12-10 00:00:00.000000,0:55:20.354473,1.59428935,2.80189546,4.96678662,2861,5028,8913,2.02407931,3.65029435,7.74343995,2.18868954,4.43499240,11.67194925
3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2020-12-10 18:44:02.932518,2020-12-10 00:00:00.000000,0:36:58.820746,0.57040338,1.04150891,1.82054985,882,1610,2815,0.54958414,1.07164498,2.45734546,0.50987352,1.13191539,3.02316367
3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-12-10 19:03:25.670060,2020-12-10 00:00:00.000000,0:56:50.580578,0.23431908,0.49960909,1.06233224,265,565,1201,0.20385149,0.50301828,1.56219916,0.15175206,0.54245040,2.12512189
3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-12-10 18:46:50.143299,2020-12-10 00:00:00.000000,0:40:23.546643,0.29714109,0.50182959,0.96648827,551,931,1794,0.27229338,0.63306590,1.61707632,0.30116384,0.81615777,3.05580274
3536,CanadaOntarioHalton,Ontario,Halton,2020-12-10 19:00:39.682211,2020-12-10 00:00:00.000000,0:56:29.683926,0.60583010,1.16778500,2.38005182,3668,7070,14410,0.63248066,1.31241386,2.59797827,0.60255134,1.45264217,3.36361546
