FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Argentina,,,2020-12-15 09:03:58.045585,2020-03-09 00:00:00.000000,0.00025448,0.00064048,0.00126966,115,289,573,56,129,209,0.00012564,0.00028610,0.00046313,0.72301461,0.88746185,1.14742327
0,0,Argentina,,,2020-12-15 09:03:58.045585,2020-03-10 00:00:00.000000,0.00031243,0.00075971,0.00144452,141,343,652,62,145,243,0.00013724,0.00032297,0.00053872,0.72301444,0.88741900,1.14742322
0,0,Argentina,,,2020-12-15 09:03:58.045585,2020-03-11 00:00:00.000000,0.00037729,0.00087978,0.00163778,170,397,740,72,171,282,0.00016144,0.00037912,0.00062568,0.72301415,0.88733948,1.14742303
0,0,Argentina,,,2020-12-15 09:03:58.045585,2020-03-12 00:00:00.000000,0.00045255,0.00102714,0.00185279,204,464,837,87,198,325,0.00019418,0.00043929,0.00071993,0.72301367,0.88719200,1.14742222
0,0,Argentina,,,2020-12-15 09:03:58.045585,2020-03-13 00:00:00.000000,0.00054100,0.00121396,0.00210582,244,548,951,106,230,372,0.00023584,0.00050930,0.00082506,0.72301290,0.88691871,1.14741871
0,0,Argentina,,,2020-12-15 09:03:58.045585,2020-03-14 00:00:00.000000,0.00064558,0.00142133,0.00239379,291,642,1081,129,264,426,0.00028623,0.00058594,0.00094381,0.72301173,0.88641327,1.14740336
0,0,Argentina,,,2020-12-15 09:03:58.045585,2020-03-15 00:00:00.000000,0.00076950,0.00162394,0.00272022,347,733,1229,156,307,487,0.00034704,0.00067998,0.00107861,0.72301039,0.88548194,1.14733586
0,0,Argentina,,,2020-12-15 09:03:58.045585,2020-03-16 00:00:00.000000,0.00093934,0.00188758,0.00308349,424,853,1393,189,357,556,0.00042034,0.00079018,0.00123190,0.72301077,0.88377775,1.14703919
0,0,Argentina,,,2020-12-15 09:03:58.045585,2020-03-17 00:00:00.000000,0.00114282,0.00217082,0.00349609,516,981,1580,231,411,635,0.00051145,0.00091038,0.00140516,0.72291299,0.88069877,1.14574839
0,0,Argentina,,,2020-12-15 09:03:58.045585,2020-03-18 00:00:00.000000,0.00138746,0.00248454,0.00396397,627,1122,1791,281,471,727,0.00062230,0.00104394,0.00160880,0.72080255,0.87058377,1.14038796
