FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-09 00:00:00.000000,0.00132222,0.00256446,0.00532813,3,6,13,0,1,4,0.00018986,0.00071441,0.00190461,0.43459360,0.59809880,0.81156685
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-10 00:00:00.000000,0.00192015,0.00367880,0.00743567,4,9,18,1,2,6,0.00046019,0.00112230,0.00246986,0.43459140,0.59806192,0.81156683
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-11 00:00:00.000000,0.00244277,0.00521726,0.01048843,5,12,25,1,4,7,0.00077947,0.00167459,0.00318071,0.43458682,0.59800790,0.81156678
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-12 00:00:00.000000,0.00298579,0.00644588,0.01384486,7,15,34,2,5,11,0.00118280,0.00232776,0.00456343,0.43457730,0.59788768,0.81156666
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-13 00:00:00.000000,0.00360080,0.00756371,0.01755420,8,18,43,3,7,15,0.00148034,0.00299206,0.00643030,0.43455749,0.59745088,0.81156631
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-14 00:00:00.000000,0.00423161,0.00912571,0.02180413,10,22,53,4,9,20,0.00180146,0.00374319,0.00842980,0.43451626,0.59732366,0.81156524
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-15 00:00:00.000000,0.00490286,0.01078858,0.02669412,12,26,65,5,11,26,0.00219861,0.00451512,0.01064596,0.43443045,0.59732352,0.81156175
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-16 00:00:00.000000,0.00875792,0.01523461,0.03187523,21,37,78,6,13,32,0.00258487,0.00538883,0.01309171,0.43425195,0.59619698,0.81154963
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-17 00:00:00.000000,0.01254744,0.01973127,0.03643189,30,48,89,9,17,38,0.00402858,0.00716602,0.01563167,0.43388124,0.59203962,0.81150502
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-18 00:00:00.000000,0.01690803,0.02478501,0.04258318,41,60,104,14,23,45,0.00595430,0.00946043,0.01835099,0.43311443,0.58885849,0.81133215
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-19 00:00:00.000000,0.02149357,0.03028893,0.05127361,52,74,125,19,30,52,0.00800676,0.01228729,0.02127252,0.43154264,0.58264590,0.80128783
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-20 00:00:00.000000,0.02640230,0.03652420,0.06094594,64,89,149,25,37,59,0.01037913,0.01542238,0.02442808,0.39439159,0.56809287,0.76777689
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-21 00:00:00.000000,0.03163256,0.04283163,0.06514180,77,105,159,31,46,68,0.01287500,0.01893600,0.02780096,0.32811775,0.53971320,0.76029977
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-22 00:00:00.000000,0.03716680,0.04952308,0.06988545,91,121,171,38,54,77,0.01550524,0.02234627,0.03138951,0.30875813,0.51260059,0.75076899
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-23 00:00:00.000000,0.03894635,0.05372914,0.07527440,95,131,184,43,63,89,0.01752139,0.02590527,0.03636520,0.27793110,0.47198420,0.69281037
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-24 00:00:00.000000,0.04159294,0.05754070,0.07916223,102,141,194,46,71,97,0.01900022,0.02915589,0.03971309,0.25304474,0.40695429,0.65924969
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-25 00:00:00.000000,0.04249033,0.06134705,0.08121122,104,150,199,49,78,104,0.02024527,0.03193439,0.04256352,0.22210974,0.34875940,0.55898111
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-26 00:00:00.000000,0.04252574,0.06304617,0.08534796,104,154,209,52,83,111,0.02134142,0.03405486,0.04541443,0.16036554,0.31144908,0.47231758
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-27 00:00:00.000000,0.04203738,0.06345915,0.08902454,103,155,218,54,86,119,0.02234042,0.03512342,0.04865846,0.13803730,0.26455040,0.45680669
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-28 00:00:00.000000,0.04093475,0.06331900,0.09169772,100,155,225,55,88,124,0.02272625,0.03591181,0.05048884,0.13136016,0.23409450,0.39090671
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-29 00:00:00.000000,0.03992986,0.06326550,0.09315071,98,155,228,55,89,128,0.02263638,0.03638843,0.05238224,0.12454447,0.20091494,0.31265981
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-30 00:00:00.000000,0.03927168,0.06146518,0.09155421,96,150,224,54,89,131,0.02238142,0.03647095,0.05345627,0.11093685,0.18100360,0.28526309
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-03-31 00:00:00.000000,0.03848317,0.05907178,0.08989305,94,145,220,53,87,132,0.02180051,0.03556868,0.05397762,0.09458781,0.16728214,0.26083086
0,0,AustraliaNorthernTerritory,Northern Territory,,2020-10-16 14:23:38.301760,2020-04-01 00:00:00.000000,0.03709974,0.05573521,0.08675517,91,136,213,52,83,130,0.02153228,0.03417058,0.05324811,0.08596292,0.15151993,0.24782765
