FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-09 00:00:00.000000,0.03957373,0.06049530,0.12333479,3564,5448,11108,1642,2586,4597,0.01823570,0.02872094,0.05104589,0.67043342,0.81256681,0.93283551
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-10 00:00:00.000000,0.04657420,0.07064272,0.14111621,4194,6362,12709,2032,3056,5498,0.02257272,0.03393874,0.06105520,0.67043223,0.81256670,0.93283540
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-11 00:00:00.000000,0.05381079,0.08248940,0.16102489,4846,7429,14502,2451,3570,6428,0.02721571,0.03963980,0.07137378,0.67042997,0.81256639,0.93283509
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-12 00:00:00.000000,0.06361661,0.09540079,0.18342629,5729,8592,16520,2852,4096,7429,0.03167245,0.04548363,0.08249443,0.67042565,0.81256555,0.93283422
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-13 00:00:00.000000,0.07460534,0.11138381,0.20871619,6719,10031,18797,3374,4727,8528,0.03747125,0.05249127,0.09469884,0.67041736,0.81256328,0.93283179
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-14 00:00:00.000000,0.08711587,0.12871210,0.23732601,7846,11592,21374,3892,5511,9750,0.04322198,0.06119555,0.10826010,0.67040849,0.81255708,0.93282486
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-15 00:00:00.000000,0.10169619,0.14834877,0.26973107,9159,13360,24293,4486,6334,11118,0.04981399,0.07033869,0.12345067,0.67040719,0.81254018,0.93280485
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-16 00:00:00.000000,0.11868027,0.17177104,0.30646263,10688,15470,27601,5167,7257,12658,0.05737629,0.08058000,0.14055197,0.67040277,0.81249397,0.93274574
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-17 00:00:00.000000,0.13850018,0.19895746,0.34810804,12473,17918,31352,5948,8551,14398,0.06604717,0.09494683,0.15986423,0.66857876,0.81236730,0.93256568
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-18 00:00:00.000000,0.16146597,0.22884393,0.39532979,14542,20610,35604,6844,9924,16476,0.07599419,0.11019275,0.18293889,0.66473285,0.81172177,0.93199475
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-19 00:00:00.000000,0.18746972,0.26229323,0.44887146,16884,23623,40427,8110,11631,19132,0.09005053,0.12914348,0.21243195,0.66274042,0.80472006,0.93163107
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-20 00:00:00.000000,0.21768418,0.30365865,0.50956872,19605,27348,45893,9642,13320,22213,0.10706228,0.14790499,0.24664045,0.66027105,0.80046128,0.93126326
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-21 00:00:00.000000,0.24986522,0.35110210,0.59320397,22503,31621,53426,11083,15429,25795,0.12305919,0.17131179,0.28640745,0.61969506,0.78630441,0.92834224
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-22 00:00:00.000000,0.28324661,0.39887203,0.67208370,25510,35924,60530,12590,17988,29930,0.13979057,0.19973174,0.33232666,0.54171525,0.74934740,0.91829428
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-23 00:00:00.000000,0.31744520,0.44269890,0.74770944,28590,39871,67341,14279,20690,34633,0.15855177,0.22973639,0.38453895,0.46597701,0.65039224,0.89492140
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-24 00:00:00.000000,0.33961604,0.47500457,0.84341189,30587,42780,75961,16108,23144,39609,0.17885805,0.25697770,0.43979651,0.31537741,0.48612570,0.84682664
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-25 00:00:00.000000,0.34521287,0.49737442,0.91913449,31091,44795,82780,17883,25646,44227,0.19856055,0.28475537,0.49107247,0.20329990,0.36980935,0.61123171
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-26 00:00:00.000000,0.34662319,0.50283357,0.96633437,31218,45287,87031,18829,26624,48160,0.20906318,0.29561684,0.53474024,0.16618245,0.29688789,0.48779124
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-27 00:00:00.000000,0.34273150,0.49966366,0.98346345,30867,45001,88574,18988,27707,50624,0.21083286,0.30763906,0.56208968,0.15135279,0.23883659,0.38593518
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-28 00:00:00.000000,0.33433413,0.48805844,0.97700206,30111,43956,87992,19302,28025,53274,0.21431636,0.31116965,0.59151613,0.13952465,0.19773818,0.31108078
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-29 00:00:00.000000,0.32022775,0.46868809,0.95870651,28840,42211,86344,18468,27832,55043,0.20505855,0.30903030,0.61116484,0.12931789,0.17388865,0.30911334
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-30 00:00:00.000000,0.30187658,0.44531711,0.93271902,27188,40107,84004,17575,26865,55212,0.19514361,0.29829509,0.61304094,0.10857696,0.16364231,0.30628203
0,0,Austria,,,2020-11-25 20:52:38.097026,2020-03-31 00:00:00.000000,0.28458319,0.42041505,0.89999687,25630,37864,81057,16701,25819,53973,0.18543575,0.28667735,0.59927544,0.09251964,0.15388747,0.29233451
