FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-09 00:00:00.000000,0.00000980,0.00003332,0.00008323,1,4,10,0,1,3,0.00000214,0.00001088,0.00002622,0.44188850,0.66318164,0.92180266
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-10 00:00:00.000000,0.00001578,0.00004557,0.00011392,1,5,13,0,1,3,0.00000382,0.00001297,0.00003031,0.44188646,0.66317814,0.92178745
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-11 00:00:00.000000,0.00002142,0.00005809,0.00014479,2,7,17,0,2,4,0.00000513,0.00001761,0.00003864,0.44188249,0.66317078,0.92173906
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-12 00:00:00.000000,0.00002736,0.00007288,0.00017713,3,8,21,0,2,6,0.00000605,0.00002222,0.00004979,0.44187475,0.66315523,0.92158504
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-13 00:00:00.000000,0.00003340,0.00008877,0.00021135,4,10,25,1,3,7,0.00000854,0.00002741,0.00006305,0.44185970,0.66312241,0.92109493
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-14 00:00:00.000000,0.00004001,0.00010606,0.00024775,4,12,30,1,4,9,0.00001154,0.00003424,0.00007808,0.44183067,0.66335107,0.91998346
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-15 00:00:00.000000,0.00004726,0.00012453,0.00028661,5,15,34,1,5,11,0.00001494,0.00004165,0.00009480,0.44177540,0.66208434,0.91995917
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-16 00:00:00.000000,0.00006300,0.00015364,0.00031416,7,18,38,2,6,13,0.00001877,0.00005003,0.00011321,0.44167173,0.65980277,0.91990240
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-17 00:00:00.000000,0.00007824,0.00017970,0.00035917,9,21,43,2,7,16,0.00002460,0.00005835,0.00013677,0.44147748,0.65907108,0.91977514
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-18 00:00:00.000000,0.00009473,0.00020980,0.00042301,11,25,51,3,8,19,0.00003061,0.00006979,0.00016214,0.44110975,0.65528035,0.92011758
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-19 00:00:00.000000,0.00010945,0.00024139,0.00049279,13,29,59,4,10,22,0.00003646,0.00008448,0.00018453,0.44046255,0.64914841,0.91956208
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-20 00:00:00.000000,0.00013174,0.00027428,0.00056909,15,33,68,5,12,25,0.00004295,0.00010163,0.00020895,0.43962497,0.62655954,0.91978368
0,0,Benin,,,2020-10-31 17:43:57.243443,2020-03-21 00:00:00.000000,0.00014922,0.00031204,0.00064459,18,37,78,6,13,29,0.00004998,0.00011436,0.00024190,0.43902562,0.62841443,0.93526951
