FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-09 00:00:00.000000,0.00018774,0.00065687,0.00170211,1,5,13,0,2,6,0.00003015,0.00027024,0.00083850,0.43352705,0.53270856,0.70452308
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-10 00:00:00.000000,0.00027656,0.00086377,0.00208966,2,6,16,0,2,6,0.00005663,0.00029112,0.00081492,0.43352675,0.53270791,0.70452300
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-11 00:00:00.000000,0.00039532,0.00104747,0.00240111,3,8,18,0,2,6,0.00009096,0.00033847,0.00086306,0.43352591,0.53270570,0.70452266
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-12 00:00:00.000000,0.00048845,0.00128770,0.00278746,3,9,21,1,3,7,0.00013200,0.00042627,0.00096932,0.43352351,0.53269776,0.70452154
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-13 00:00:00.000000,0.00058906,0.00149794,0.00323893,4,11,24,1,3,8,0.00016804,0.00051296,0.00112230,0.43351671,0.53266735,0.70451781
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-14 00:00:00.000000,0.00069830,0.00171933,0.00371538,5,13,28,1,4,10,0.00021936,0.00062694,0.00130596,0.43349767,0.53254085,0.70450462
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-15 00:00:00.000000,0.00081723,0.00197737,0.00422102,6,15,32,2,5,11,0.00027537,0.00075434,0.00150563,0.43344607,0.52974135,0.70445382
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-16 00:00:00.000000,0.00098216,0.00219522,0.00467002,7,16,36,2,6,13,0.00033598,0.00087699,0.00172364,0.43249434,0.52757190,0.70424454
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-17 00:00:00.000000,0.00119208,0.00246930,0.00516086,9,19,39,3,7,14,0.00039289,0.00098623,0.00192552,0.40674023,0.52381510,0.70334602
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-18 00:00:00.000000,0.00148883,0.00272297,0.00568348,11,21,43,3,8,16,0.00045263,0.00109706,0.00214435,0.36707439,0.51917974,0.69948721
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-19 00:00:00.000000,0.00167196,0.00300136,0.00621709,12,23,47,4,9,18,0.00059804,0.00123429,0.00237401,0.35218185,0.50307458,0.68803844
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-20 00:00:00.000000,0.00187153,0.00335278,0.00675326,14,25,52,5,10,20,0.00075924,0.00140983,0.00261040,0.33686764,0.47780694,0.65514225
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-21 00:00:00.000000,0.00208638,0.00367960,0.00759724,16,28,58,6,12,21,0.00085528,0.00158193,0.00284089,0.32678113,0.46185941,0.63931020
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-22 00:00:00.000000,0.00231155,0.00398186,0.00804127,17,30,62,7,13,24,0.00095974,0.00175021,0.00313141,0.29445918,0.44932498,0.62775760
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-23 00:00:00.000000,0.00262454,0.00439654,0.00843957,20,33,65,8,14,26,0.00106900,0.00192346,0.00345970,0.29055083,0.43129927,0.60774089
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-24 00:00:00.000000,0.00287138,0.00500207,0.00896119,22,38,69,9,16,28,0.00120463,0.00209616,0.00373464,0.28224735,0.41455048,0.57455953
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-25 00:00:00.000000,0.00307770,0.00539770,0.00953492,23,41,73,10,17,30,0.00131052,0.00231794,0.00397115,0.27709064,0.40281550,0.56660681
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-26 00:00:00.000000,0.00327089,0.00576875,0.01014242,25,44,78,10,19,32,0.00141499,0.00254401,0.00417529,0.26434537,0.38504250,0.53361140
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-27 00:00:00.000000,0.00343941,0.00613621,0.01078655,26,47,83,11,21,33,0.00154508,0.00275121,0.00435923,0.25592984,0.36829266,0.50525066
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-28 00:00:00.000000,0.00359501,0.00653901,0.01150752,27,50,88,12,23,37,0.00168066,0.00300026,0.00485371,0.24197164,0.35917910,0.48617891
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-29 00:00:00.000000,0.00374765,0.00682662,0.01230576,28,52,94,14,24,41,0.00182014,0.00314850,0.00533306,0.23711348,0.34200118,0.43368806
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-30 00:00:00.000000,0.00379997,0.00695113,0.01273719,29,53,98,14,25,44,0.00189297,0.00336432,0.00579360,0.23678802,0.32816016,0.42606431
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-03-31 00:00:00.000000,0.00385315,0.00711581,0.01311580,29,54,101,14,27,46,0.00193639,0.00352825,0.00603647,0.23439335,0.31939046,0.42621685
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-04-01 00:00:00.000000,0.00390422,0.00730731,0.01349055,30,56,104,15,27,47,0.00196906,0.00360937,0.00621537,0.22735904,0.31550005,0.42931106
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-04-02 00:00:00.000000,0.00395962,0.00747878,0.01368552,30,57,105,15,28,49,0.00198481,0.00368312,0.00638558,0.22249373,0.30639433,0.42947140
0,0,Bhutan,,,2020-10-27 05:23:18.302057,2020-04-03 00:00:00.000000,0.00401433,0.00761022,0.01374885,30,58,106,15,29,50,0.00201905,0.00380852,0.00660696,0.21798689,0.30485507,0.42762657
