FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-09 00:00:00.000000,0.00000825,0.00003375,0.00011181,0,4,13,0,2,7,0.00000400,0.00001838,0.00006087,0.40888932,0.52579410,0.70193440
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-10 00:00:00.000000,0.00000972,0.00003802,0.00012871,1,4,15,0,2,7,0.00000424,0.00001842,0.00005952,0.40888888,0.52578924,0.70192814
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-11 00:00:00.000000,0.00001113,0.00004138,0.00014060,1,4,16,0,2,7,0.00000468,0.00001842,0.00006385,0.40888747,0.52577997,0.70191454
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-12 00:00:00.000000,0.00001213,0.00004456,0.00015247,1,5,18,0,2,8,0.00000527,0.00001962,0.00007072,0.40888288,0.52576155,0.70188503
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-13 00:00:00.000000,0.00001316,0.00004853,0.00016485,1,5,19,0,2,9,0.00000596,0.00002143,0.00007844,0.40886798,0.52572342,0.70005704
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-14 00:00:00.000000,0.00001424,0.00005276,0.00017793,1,6,21,0,2,9,0.00000644,0.00002340,0.00008393,0.40881966,0.52564148,0.70001764
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-15 00:00:00.000000,0.00001536,0.00005703,0.00019167,1,6,22,0,3,10,0.00000695,0.00002552,0.00009007,0.40866309,0.52550679,0.70001607
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-16 00:00:00.000000,0.00002277,0.00007729,0.00021305,2,9,25,0,3,11,0.00000750,0.00002749,0.00009680,0.40815792,0.52469362,0.70001108
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-17 00:00:00.000000,0.00002937,0.00009599,0.00023542,3,11,27,1,3,12,0.00000924,0.00003325,0.00010528,0.40654955,0.52031587,0.69999516
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-18 00:00:00.000000,0.00003779,0.00011518,0.00025924,4,13,30,1,4,13,0.00001182,0.00004136,0.00011458,0.40163762,0.51578075,0.69994441
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-19 00:00:00.000000,0.00004725,0.00013222,0.00028691,5,15,34,1,5,14,0.00001595,0.00004993,0.00012550,0.38831828,0.50132962,0.69978271
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-20 00:00:00.000000,0.00005555,0.00015051,0.00031600,6,17,37,2,7,16,0.00001944,0.00005945,0.00013763,0.36489164,0.49117204,0.69926887
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-21 00:00:00.000000,0.00006393,0.00017144,0.00034536,7,20,41,2,8,17,0.00002325,0.00007054,0.00015069,0.35336913,0.47934773,0.69237111
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-22 00:00:00.000000,0.00007261,0.00019543,0.00037475,8,23,44,3,9,19,0.00002850,0.00008201,0.00016424,0.32073518,0.46165480,0.69127061
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-23 00:00:00.000000,0.00008855,0.00022250,0.00040610,10,26,48,4,11,21,0.00003468,0.00009325,0.00017810,0.30588108,0.43929293,0.67832010
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-24 00:00:00.000000,0.00010787,0.00025249,0.00043798,12,30,52,4,12,23,0.00004122,0.00010649,0.00019343,0.29792717,0.42434526,0.64565918
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-25 00:00:00.000000,0.00012883,0.00027357,0.00047074,15,32,55,5,14,24,0.00004845,0.00012160,0.00020981,0.28629260,0.41224166,0.59612645
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-26 00:00:00.000000,0.00014586,0.00029305,0.00050445,17,34,59,6,16,26,0.00005789,0.00013576,0.00022667,0.26681545,0.39585307,0.55427802
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-27 00:00:00.000000,0.00016409,0.00030977,0.00053881,19,36,64,7,17,28,0.00006700,0.00014673,0.00024002,0.26164098,0.37216856,0.54690829
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-28 00:00:00.000000,0.00017492,0.00033251,0.00057291,20,39,68,8,18,30,0.00007495,0.00015777,0.00025754,0.24964907,0.36124428,0.53702544
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-29 00:00:00.000000,0.00019293,0.00035294,0.00060513,22,41,71,9,19,32,0.00008223,0.00016728,0.00027419,0.24627494,0.35239274,0.48630411
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-30 00:00:00.000000,0.00020698,0.00038859,0.00063996,24,46,76,10,21,34,0.00008981,0.00017966,0.00028754,0.24031645,0.34206997,0.47274142
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-03-31 00:00:00.000000,0.00021953,0.00041895,0.00068352,26,49,81,11,22,36,0.00010028,0.00019224,0.00031045,0.24686352,0.33865268,0.48409933
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-01 00:00:00.000000,0.00022883,0.00043595,0.00070924,27,51,84,13,24,38,0.00011197,0.00020315,0.00032593,0.24858751,0.33443899,0.48646101
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-02 00:00:00.000000,0.00023883,0.00045928,0.00074178,28,54,88,14,25,40,0.00011843,0.00021663,0.00034397,0.24326525,0.32267701,0.45348172
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-03 00:00:00.000000,0.00025003,0.00048812,0.00078750,29,58,93,14,27,43,0.00012369,0.00023459,0.00036774,0.23210046,0.31576593,0.45291667
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-04 00:00:00.000000,0.00026277,0.00050772,0.00083207,31,60,98,15,29,46,0.00012932,0.00025057,0.00039222,0.23082290,0.31467701,0.45584064
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-05 00:00:00.000000,0.00027698,0.00053592,0.00087592,32,63,104,15,31,50,0.00013442,0.00026144,0.00042597,0.22910607,0.31132458,0.43083613
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-06 00:00:00.000000,0.00030423,0.00056585,0.00091999,36,67,109,16,33,55,0.00013723,0.00028040,0.00046660,0.22070409,0.30328177,0.43065232
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-07 00:00:00.000000,0.00033047,0.00060339,0.00097732,39,71,116,17,35,59,0.00014868,0.00029833,0.00050145,0.21993866,0.30225693,0.43013174
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-08 00:00:00.000000,0.00033412,0.00063620,0.00104189,39,75,123,19,37,63,0.00016503,0.00031243,0.00053308,0.21865764,0.30075949,0.42877317
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-09 00:00:00.000000,0.00033787,0.00066657,0.00110744,40,79,131,21,38,66,0.00017866,0.00032652,0.00056300,0.21643620,0.30081407,0.41780484
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-10 00:00:00.000000,0.00034272,0.00070692,0.00116875,40,84,138,22,40,70,0.00018847,0.00033877,0.00059198,0.21473187,0.30015993,0.40875130
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-11 00:00:00.000000,0.00035764,0.00073761,0.00121835,42,87,144,22,43,73,0.00019298,0.00036308,0.00062026,0.21407253,0.29502154,0.41493603
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-12 00:00:00.000000,0.00037325,0.00076393,0.00125152,44,90,148,23,46,77,0.00019740,0.00038826,0.00064786,0.20509791,0.28675035,0.44397504
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-13 00:00:00.000000,0.00041026,0.00079278,0.00129801,48,94,154,24,49,81,0.00020195,0.00041444,0.00068349,0.20246762,0.27863693,0.49354152
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-14 00:00:00.000000,0.00041290,0.00081393,0.00136691,49,96,162,24,51,85,0.00020847,0.00043323,0.00071499,0.20557167,0.27733450,0.53607843
0,0,Burundi,,,2020-12-04 06:10:15.799917,2020-04-15 00:00:00.000000,0.00041600,0.00086545,0.00140282,49,102,166,25,53,88,0.00021483,0.00044935,0.00074550,0.21176285,0.27853123,0.54784509
