FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-09 00:00:00.000000,0.01252910,0.02082607,0.04300591,93,155,320,44,81,157,0.00593387,0.01088724,0.02120105,0.42416800,0.53400396,0.65219194
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-10 00:00:00.000000,0.01383584,0.02274878,0.04536680,103,169,337,48,82,173,0.00649244,0.01104894,0.02332460,0.42416225,0.53354184,0.65218858
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-11 00:00:00.000000,0.01517395,0.02481425,0.04823794,113,184,359,51,87,185,0.00688837,0.01179205,0.02487119,0.42415004,0.53352880,0.65217645
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-12 00:00:00.000000,0.01644744,0.02699999,0.05186469,122,201,386,55,94,198,0.00745142,0.01265744,0.02661334,0.42412413,0.53350699,0.65213257
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-13 00:00:00.000000,0.01783747,0.02943377,0.05569782,132,219,414,60,100,209,0.00812118,0.01353215,0.02818602,0.42406917,0.53273463,0.65197397
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-14 00:00:00.000000,0.01935335,0.03182164,0.05929587,144,237,441,66,109,221,0.00886925,0.01469204,0.02976879,0.42395265,0.53106138,0.65140156
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-15 00:00:00.000000,0.02084375,0.03471879,0.06280955,155,258,467,72,118,233,0.00968323,0.01584780,0.03139429,0.42370597,0.52935239,0.64934737
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-16 00:00:00.000000,0.02232374,0.03685066,0.06688248,166,274,498,76,128,246,0.01023643,0.01720546,0.03307887,0.42318527,0.52857853,0.64475202
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-17 00:00:00.000000,0.02388484,0.03983440,0.07217305,177,296,537,79,137,267,0.01066367,0.01846769,0.03590805,0.40678825,0.52138145,0.64022098
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-18 00:00:00.000000,0.02553255,0.04254188,0.07871785,190,316,586,82,148,286,0.01110526,0.01991124,0.03842036,0.40106910,0.50598410,0.63762091
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-19 00:00:00.000000,0.02726618,0.04525995,0.08401166,203,337,625,85,159,300,0.01152598,0.02142557,0.04034728,0.34739019,0.47533792,0.63677442
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-20 00:00:00.000000,0.02812032,0.04708803,0.09009827,209,350,671,88,170,312,0.01190621,0.02292649,0.04196239,0.31801918,0.44188590,0.62723613
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-21 00:00:00.000000,0.02885167,0.04991142,0.09010994,214,371,671,91,182,327,0.01223774,0.02443403,0.04398518,0.28614998,0.40408616,0.59971208
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-22 00:00:00.000000,0.02937298,0.05200397,0.09145576,218,387,681,93,192,352,0.01252039,0.02585922,0.04728760,0.27550824,0.37105119,0.57341448
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-23 00:00:00.000000,0.02967273,0.05336803,0.09233174,221,397,687,95,204,377,0.01275867,0.02743349,0.05063827,0.24547239,0.34842787,0.51032735
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-24 00:00:00.000000,0.02991064,0.05474067,0.09293843,222,407,692,96,213,399,0.01294125,0.02872530,0.05369144,0.24277756,0.33602361,0.45577533
0,593,CanadaBCIsland,BC,Island,2020-12-14 17:30:40.259983,2020-03-25 00:00:00.000000,0.03008657,0.05505683,0.09337599,224,410,695,97,218,404,0.01308208,0.02938043,0.05424252,0.22864265,0.32200252,0.42677833
