FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-09 00:00:00.000000,0.00110684,0.00549473,0.01765305,1,9,30,0,4,18,0.00028339,0.00274116,0.01048351,0.34085165,0.46688992,0.72555436
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-10 00:00:00.000000,0.00141043,0.00632953,0.01820234,2,10,31,0,4,18,0.00052367,0.00281215,0.01041877,0.34085119,0.46682761,0.72550136
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-11 00:00:00.000000,0.00186573,0.00696572,0.01970000,3,12,34,1,5,18,0.00061483,0.00308229,0.01059364,0.34085033,0.46669302,0.72537766
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-12 00:00:00.000000,0.00235995,0.00776219,0.02287619,4,13,39,1,5,18,0.00072295,0.00339098,0.01089369,0.34084867,0.46549754,0.72508912
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-13 00:00:00.000000,0.00289910,0.00870213,0.02616167,5,15,45,1,6,19,0.00088320,0.00387223,0.01126458,0.34084543,0.46520690,0.72441699
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-14 00:00:00.000000,0.00338780,0.00996562,0.02954938,5,17,51,1,7,21,0.00110930,0.00429025,0.01268897,0.34083890,0.46428671,0.72285620
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-15 00:00:00.000000,0.00397434,0.01080508,0.03303643,6,18,57,2,8,25,0.00135587,0.00481584,0.01454517,0.34007756,0.46104201,0.71853447
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-16 00:00:00.000000,0.00500459,0.01218303,0.03461582,8,21,59,2,9,28,0.00162333,0.00537337,0.01647351,0.33776833,0.45742949,0.70668780
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-17 00:00:00.000000,0.00600480,0.01348219,0.03629180,10,23,62,3,10,31,0.00201831,0.00588966,0.01795117,0.33327439,0.45571173,0.63073403
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-18 00:00:00.000000,0.00714852,0.01491647,0.03795339,12,25,65,4,11,33,0.00249136,0.00642947,0.01918424,0.32453943,0.43962315,0.61523012
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-19 00:00:00.000000,0.00803952,0.01652020,0.03960505,13,28,68,5,12,35,0.00307539,0.00703641,0.02028651,0.31052037,0.42008804,0.56848510
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-11-30 15:59:07.428604,2020-03-20 00:00:00.000000,0.00897289,0.01772786,0.04119657,15,30,71,6,13,36,0.00356334,0.00767836,0.02131784,0.27034507,0.40596680,0.53003690
