FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-01 15:16:26.412541,2020-03-09 00:00:00.000000,0.00680044,0.01766362,0.03761191,53,139,296,23,72,136,0.00291995,0.00920799,0.01726629,0.53609666,0.69407073,0.86293906
0,4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-01 15:16:26.412541,2020-03-10 00:00:00.000000,0.00790554,0.01981613,0.04115618,62,156,324,26,77,133,0.00337085,0.00988341,0.01699196,0.53609665,0.69324179,0.86293466
0,4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-01 15:16:26.412541,2020-03-11 00:00:00.000000,0.00914301,0.02260553,0.04498939,72,178,354,31,84,140,0.00396161,0.01078956,0.01781276,0.53609662,0.69217635,0.86292393
0,4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-01 15:16:26.412541,2020-03-12 00:00:00.000000,0.01053138,0.02565995,0.04911205,82,202,386,36,94,151,0.00459258,0.01195713,0.01922406,0.53609654,0.69082076,0.86289779
0,4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-01 15:16:26.412541,2020-03-13 00:00:00.000000,0.01208979,0.02901435,0.05333692,95,228,420,42,105,165,0.00534587,0.01340319,0.02100581,0.53609635,0.68911680,0.86283412
0,4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-01 15:16:26.412541,2020-03-14 00:00:00.000000,0.01383923,0.03246922,0.05791507,109,255,456,48,117,181,0.00616891,0.01496308,0.02306644,0.53609592,0.68852796,0.86267909
0,4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-01 15:16:26.412541,2020-03-15 00:00:00.000000,0.01580312,0.03660735,0.06287167,124,288,495,55,131,199,0.00704911,0.01675043,0.02537385,0.53609512,0.68832760,0.86230212
0,4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-01 15:16:26.412541,2020-03-16 00:00:00.000000,0.01863002,0.04079153,0.06782458,146,321,534,62,144,220,0.00799420,0.01837815,0.02793160,0.53609520,0.68405498,0.86138819
0,4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-01 15:16:26.412541,2020-03-17 00:00:00.000000,0.02172649,0.04579602,0.07317814,171,360,576,71,161,242,0.00906038,0.02050772,0.03075898,0.53611055,0.68085055,0.85914438
0,4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-12-01 15:16:26.412541,2020-03-18 00:00:00.000000,0.02512621,0.04989824,0.07853197,197,393,618,80,179,266,0.01023093,0.02283386,0.03384364,0.51975613,0.67131144,0.84879475
