FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-09 00:00:00.000000,0.00030392,0.00228487,0.00981750,0,1,7,0,0,3,0.00016105,0.00115385,0.00537014,0.33655820,0.43958014,0.61893093
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-10 00:00:00.000000,0.00030917,0.00231296,0.00979136,0,1,7,0,0,3,0.00016227,0.00116980,0.00506698,0.33646171,0.43957796,0.61891367
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-11 00:00:00.000000,0.00031565,0.00238881,0.00985000,0,1,7,0,0,3,0.00016605,0.00120207,0.00502191,0.33623362,0.43957207,0.61885883
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-12 00:00:00.000000,0.00033069,0.00243868,0.00995292,0,1,7,0,0,3,0.00017067,0.00126123,0.00509802,0.33569601,0.43955599,0.61868460
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-13 00:00:00.000000,0.00034909,0.00250208,0.01006925,0,1,7,0,0,3,0.00017669,0.00133534,0.00533443,0.33443860,0.43951189,0.61813196
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-14 00:00:00.000000,0.00036867,0.00257182,0.01022839,0,1,7,0,1,4,0.00018685,0.00139884,0.00557109,0.33155109,0.43921277,0.61693304
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-15 00:00:00.000000,0.00038941,0.00264590,0.01060495,0,1,7,0,1,4,0.00019774,0.00146374,0.00580053,0.32519231,0.43826843,0.61485854
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-16 00:00:00.000000,0.00147246,0.00393027,0.01191386,1,2,8,0,1,4,0.00020925,0.00152824,0.00599464,0.31520740,0.43549870,0.60873125
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-17 00:00:00.000000,0.00214486,0.00531225,0.01351378,1,3,9,0,1,4,0.00059941,0.00196336,0.00653596,0.30036247,0.42357685,0.60584636
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-18 00:00:00.000000,0.00277923,0.00659306,0.01519480,2,4,11,0,1,5,0.00093836,0.00253287,0.00729898,0.28327341,0.41509135,0.60534848
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-19 00:00:00.000000,0.00365338,0.00798899,0.01651882,2,5,12,0,2,5,0.00129577,0.00309751,0.00819532,0.25880717,0.39788719,0.60411600
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-20 00:00:00.000000,0.00453350,0.00935775,0.01749810,3,6,12,1,2,6,0.00176063,0.00403117,0.00914548,0.24947293,0.36924246,0.59981069
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-21 00:00:00.000000,0.00539986,0.01054288,0.01965018,3,7,14,1,3,7,0.00213407,0.00495720,0.01005416,0.23457933,0.34212064,0.55780033
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-22 00:00:00.000000,0.00603305,0.01149582,0.02174000,4,8,15,1,4,7,0.00253911,0.00551979,0.01073142,0.20715544,0.31797334,0.52283706
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-23 00:00:00.000000,0.00616158,0.01168872,0.02202406,4,8,16,2,4,8,0.00296802,0.00616335,0.01199998,0.20471759,0.30267242,0.46864861
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-24 00:00:00.000000,0.00625531,0.01188370,0.02268852,4,8,16,2,4,9,0.00324491,0.00654982,0.01275010,0.18480179,0.28813297,0.44733657
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-25 00:00:00.000000,0.00617232,0.01184784,0.02329482,4,8,17,2,4,9,0.00342686,0.00671168,0.01301050,0.17178135,0.27124559,0.43961051
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-26 00:00:00.000000,0.00605307,0.01177738,0.02378462,4,8,17,2,5,9,0.00348168,0.00687117,0.01360529,0.16791848,0.24852368,0.39813328
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-27 00:00:00.000000,0.00611379,0.01168966,0.02404012,4,8,17,2,5,10,0.00357919,0.00695340,0.01408677,0.16555778,0.23621776,0.37808930
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-28 00:00:00.000000,0.00619080,0.01156413,0.02401814,4,8,17,2,5,10,0.00365102,0.00701755,0.01444249,0.15602880,0.22396113,0.37473189
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-29 00:00:00.000000,0.00618225,0.01129679,0.02380402,4,8,17,2,5,10,0.00365369,0.00696907,0.01465296,0.14428103,0.21474415,0.35764737
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-30 00:00:00.000000,0.00701332,0.01242874,0.02394864,5,9,17,2,5,10,0.00363516,0.00689700,0.01448709,0.13743352,0.20617686,0.35735142
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-03-31 00:00:00.000000,0.00754315,0.01319530,0.02483058,5,9,18,2,5,10,0.00374353,0.00723071,0.01443362,0.13426135,0.19989307,0.35631600
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-04-01 00:00:00.000000,0.00808024,0.01380184,0.02533114,5,10,18,3,5,10,0.00432775,0.00749452,0.01497036,0.13113902,0.19487444,0.35257072
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-04-02 00:00:00.000000,0.00871488,0.01475080,0.02580506,6,10,18,3,5,11,0.00459749,0.00779623,0.01544436,0.11617436,0.18579946,0.32293518
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-04-03 00:00:00.000000,0.00935218,0.01538375,0.02622671,6,11,19,3,6,11,0.00489170,0.00838883,0.01573420,0.10614803,0.17511850,0.31080403
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-04-04 00:00:00.000000,0.00945209,0.01578109,0.02656271,6,11,19,3,6,11,0.00523982,0.00891370,0.01601423,0.10404527,0.17068333,0.30741720
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-04-05 00:00:00.000000,0.00981629,0.01631305,0.02765755,7,11,20,4,6,11,0.00552430,0.00916215,0.01626624,0.10073469,0.16454303,0.29568273
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-04-06 00:00:00.000000,0.01223828,0.01891068,0.03140842,8,13,22,4,6,12,0.00575702,0.00938273,0.01667608,0.09029915,0.16145824,0.28291313
0,1013,CanadaNLWestern,NL,Western,2020-12-10 18:59:43.129467,2020-04-07 00:00:00.000000,0.01389379,0.02164989,0.03291687,10,15,24,4,7,13,0.00660687,0.01017030,0.01793070,0.08759576,0.15845895,0.25476373
