FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-09 00:00:00.000000,0.00012128,0.00349917,0.01367653,0,1,5,0,0,3,0.00006511,0.00201303,0.00896296,0.35438829,0.46765718,0.74150880
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-10 00:00:00.000000,0.00013373,0.00381550,0.01382026,0,1,5,0,0,3,0.00006252,0.00190871,0.00824273,0.35438181,0.46765716,0.74143143
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-11 00:00:00.000000,0.00014580,0.00406535,0.01421030,0,1,6,0,0,3,0.00006352,0.00190863,0.00794007,0.35436803,0.46765708,0.74133203
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-12 00:00:00.000000,0.00015763,0.00439439,0.01463901,0,1,6,0,0,3,0.00006654,0.00205271,0.00786383,0.35433879,0.46765682,0.74120213
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-13 00:00:00.000000,0.00016934,0.00468708,0.01509495,0,1,6,0,0,3,0.00007070,0.00217281,0.00794537,0.35427667,0.46765585,0.74102676
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-14 00:00:00.000000,0.00018102,0.00500521,0.01557202,0,2,6,0,0,3,0.00007549,0.00222176,0.00810818,0.35414479,0.46765229,0.74077374
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-15 00:00:00.000000,0.00019278,0.00549036,0.01606698,0,2,6,0,0,3,0.00008066,0.00234895,0.00831968,0.35386511,0.46757554,0.74035684
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-16 00:00:00.000000,0.00287621,0.00773443,0.01788699,1,3,7,0,1,3,0.00008606,0.00252668,0.00856158,0.35327361,0.46587810,0.73759125
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-17 00:00:00.000000,0.00437570,0.01016190,0.02262114,1,4,9,0,1,3,0.00074080,0.00320826,0.00913259,0.34859585,0.45193303,0.72701233
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-18 00:00:00.000000,0.00550156,0.01231558,0.02549749,2,5,10,0,1,4,0.00127246,0.00409266,0.01004274,0.34233022,0.44559521,0.71017235
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-19 00:00:00.000000,0.00694059,0.01459842,0.02731444,2,6,11,0,2,4,0.00191803,0.00513710,0.01102604,0.31609823,0.42709680,0.68690480
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-20 00:00:00.000000,0.00896144,0.01731386,0.02899216,3,7,12,1,2,5,0.00261539,0.00620763,0.01202805,0.28266314,0.39782268,0.64966137
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-21 00:00:00.000000,0.01100613,0.01970376,0.03249976,4,8,13,1,3,5,0.00354391,0.00725417,0.01309982,0.25344656,0.37117580,0.62560797
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-22 00:00:00.000000,0.01237886,0.02205446,0.03730839,5,9,15,1,3,6,0.00433230,0.00848047,0.01433029,0.22923873,0.34921640,0.59312530
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-23 00:00:00.000000,0.01494121,0.02544952,0.03950243,6,10,16,2,4,6,0.00494679,0.00967927,0.01617298,0.21265640,0.32992080,0.55744179
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-24 00:00:00.000000,0.01687912,0.02942635,0.04592513,7,12,19,2,4,7,0.00659341,0.01098888,0.01772699,0.20567609,0.31682392,0.52117012
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-25 00:00:00.000000,0.01881609,0.03301071,0.05282805,7,14,22,3,5,8,0.00779599,0.01251008,0.01966073,0.19906470,0.30301325,0.49898574
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-26 00:00:00.000000,0.02070746,0.03564379,0.05924013,8,15,25,3,6,9,0.00858832,0.01437151,0.02148001,0.17486222,0.28776012,0.46017641
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-27 00:00:00.000000,0.02245897,0.03810623,0.06547390,9,16,27,3,6,10,0.00936525,0.01619731,0.02462722,0.15724044,0.27323954,0.40548295
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-28 00:00:00.000000,0.02351377,0.04122201,0.07102044,9,17,30,4,7,11,0.01011280,0.01804964,0.02798551,0.14602995,0.25880499,0.37804342
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-29 00:00:00.000000,0.02413436,0.04482442,0.07699471,10,19,32,4,8,13,0.01097354,0.01979329,0.03138766,0.14581076,0.24465764,0.35955824
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-30 00:00:00.000000,0.02701465,0.04703272,0.07824569,11,19,33,4,8,14,0.01165410,0.02102885,0.03347180,0.14577252,0.22948270,0.33732228
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-03-31 00:00:00.000000,0.02862581,0.04945744,0.07888833,12,20,33,5,9,14,0.01307583,0.02285187,0.03511975,0.14338181,0.21494481,0.30346769
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-04-01 00:00:00.000000,0.03077038,0.05188727,0.07893826,13,22,33,6,10,15,0.01439244,0.02417015,0.03654828,0.14052132,0.20464441,0.29005970
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-04-02 00:00:00.000000,0.03288925,0.05409290,0.07957258,13,22,33,6,10,16,0.01551490,0.02533721,0.03872008,0.13480605,0.19399969,0.28564818
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-04-03 00:00:00.000000,0.03498672,0.05561693,0.08183349,14,23,34,7,11,17,0.01666641,0.02667876,0.04075071,0.11957781,0.18295823,0.27443117
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-04-04 00:00:00.000000,0.03622283,0.05753925,0.08097827,15,24,34,7,12,18,0.01726688,0.02828631,0.04264827,0.10722382,0.17240368,0.25789672
0,1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-11-19 13:50:33.685126,2020-04-05 00:00:00.000000,0.03630252,0.05884409,0.08049731,15,24,34,7,12,18,0.01773980,0.02954280,0.04414913,0.09860963,0.16452300,0.24566139
