FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-09 00:00:00.000000,0.00719036,0.01570961,0.02703564,69,152,262,30,73,113,0.00314034,0.00754549,0.01167136,0.70987810,0.84785594,1.09060980
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-10 00:00:00.000000,0.00862675,0.01808194,0.03035050,83,175,294,37,81,127,0.00386733,0.00837005,0.01315396,0.71002446,0.84785581,1.09037784
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-11 00:00:00.000000,0.01042297,0.02103380,0.03387527,101,204,329,45,93,146,0.00467930,0.00963442,0.01504961,0.71028374,0.84785564,1.08991917
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-12 00:00:00.000000,0.01264580,0.02437038,0.03774806,122,236,366,55,109,168,0.00576201,0.01127657,0.01735025,0.71074217,0.84785541,1.08901055
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-13 00:00:00.000000,0.01523325,0.02826583,0.04306349,147,274,418,68,125,190,0.00703515,0.01296756,0.01964011,0.71074786,0.84785508,1.08721076
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-14 00:00:00.000000,0.01824808,0.03248946,0.04918806,177,315,477,82,143,215,0.00851846,0.01475519,0.02223553,0.71074534,0.84740055,1.08366222
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-15 00:00:00.000000,0.02176344,0.03715773,0.05607496,211,360,544,99,164,244,0.01024399,0.01688464,0.02516589,0.71074331,0.84589730,1.07691740
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-16 00:00:00.000000,0.02556792,0.04232275,0.06503658,248,411,631,117,187,279,0.01211279,0.01926026,0.02872649,0.71074887,0.84341624,1.06493799
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-17 00:00:00.000000,0.03005747,0.04838009,0.07525079,291,469,730,136,215,319,0.01404980,0.02219806,0.03284401,0.71079632,0.83907790,1.06285250
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-18 00:00:00.000000,0.03487009,0.05497160,0.08541125,338,533,829,154,246,364,0.01593543,0.02533145,0.03751698,0.71548908,0.83438237,1.06279507
0,0,CanadaNovaScotia,Nova Scotia,,2020-12-03 14:00:04.395243,2020-03-19 00:00:00.000000,0.04009041,0.06254826,0.09648631,389,607,937,175,282,415,0.01803698,0.02908047,0.04277013,0.71183166,0.83215081,1.06243756
