FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-09 00:00:00.000000,0.01198299,0.02269598,0.03810797,53,100,169,22,48,88,0.00495461,0.01099583,0.01999454,0.65163260,0.82232881,1.01311956
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-10 00:00:00.000000,0.01428819,0.02678095,0.04327382,63,119,192,24,53,90,0.00557497,0.01204422,0.02038131,0.65162589,0.82232188,1.01311879
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-11 00:00:00.000000,0.01685296,0.03070224,0.04778718,74,136,212,30,61,100,0.00690102,0.01388900,0.02255890,0.65161340,0.82230188,1.01311726
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-12 00:00:00.000000,0.01970772,0.03535536,0.05443102,87,157,242,38,71,113,0.00854437,0.01604765,0.02544437,0.65158991,0.82224412,1.01311412
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-13 00:00:00.000000,0.02289744,0.04064046,0.06204376,101,180,275,46,82,129,0.01044210,0.01860405,0.02901064,0.65154535,0.82207762,1.01310763
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-14 00:00:00.000000,0.02671818,0.04651822,0.07059764,118,206,313,53,95,147,0.01213889,0.02143279,0.03306787,0.65146039,0.82160039,1.01309403
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-15 00:00:00.000000,0.03114854,0.05322943,0.08020991,138,236,356,62,110,167,0.01409139,0.02474540,0.03766293,0.65129823,0.82074140,1.01306483
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-16 00:00:00.000000,0.03602577,0.06101900,0.09072069,160,271,403,72,127,190,0.01633883,0.02871619,0.04284174,0.65099029,0.82073175,1.01299955
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-17 00:00:00.000000,0.04164500,0.07040805,0.10256463,185,313,456,84,146,216,0.01892727,0.03284792,0.04857960,0.65041405,0.82133004,1.01284248
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-18 00:00:00.000000,0.04813878,0.08076437,0.11476635,214,359,510,97,168,244,0.02190458,0.03784429,0.05499597,0.64936642,0.81788554,1.01241615
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-19 00:00:00.000000,0.05561198,0.09223897,0.13022245,247,410,579,114,191,276,0.02575422,0.04300554,0.06217623,0.65032264,0.81381253,1.04240428
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-20 00:00:00.000000,0.06445306,0.10599511,0.14695511,286,471,653,134,218,312,0.03023730,0.04910380,0.07027151,0.65230439,0.81139242,1.06760638
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-12-01 13:10:16.838604,2020-03-21 00:00:00.000000,0.07535875,0.12066719,0.16623496,335,536,739,157,249,353,0.03543642,0.05616516,0.07942507,0.64144606,0.80217068,1.00976397
