FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaOntario,Ontario,,2020-11-13 13:21:13.410427,2020-03-09 00:00:00.000000,0.00225295,0.00420030,0.00788101,331,617,1159,167,270,498,0.00113730,0.00183950,0.00338784,0.71482089,0.87396644,1.04396419
0,0,CanadaOntario,Ontario,,2020-11-13 13:21:13.410427,2020-03-10 00:00:00.000000,0.00274071,0.00500430,0.00923824,403,736,1359,189,316,604,0.00128517,0.00215237,0.00410885,0.71483254,0.87391196,1.04394027
0,0,CanadaOntario,Ontario,,2020-11-13 13:21:13.410427,2020-03-11 00:00:00.000000,0.00328909,0.00596171,0.01085427,483,877,1596,219,371,728,0.00148914,0.00252512,0.00494991,0.71485294,0.87381028,1.04389777
0,0,CanadaOntario,Ontario,,2020-11-13 13:21:13.410427,2020-03-12 00:00:00.000000,0.00391038,0.00702094,0.01276311,575,1032,1877,257,435,860,0.00174698,0.00296355,0.00585084,0.71488845,0.87362694,1.04381968
0,0,CanadaOntario,Ontario,,2020-11-13 13:21:13.410427,2020-03-13 00:00:00.000000,0.00465218,0.00826985,0.01501114,684,1216,2208,303,519,1012,0.00206584,0.00353367,0.00687995,0.71494974,0.87365212,1.04367099
0,0,CanadaOntario,Ontario,,2020-11-13 13:21:13.410427,2020-03-14 00:00:00.000000,0.00549052,0.00967086,0.01765570,807,1422,2597,360,616,1189,0.00245100,0.00419162,0.00808826,0.71505421,0.87396787,1.04337723
0,0,CanadaOntario,Ontario,,2020-11-13 13:21:13.410427,2020-03-15 00:00:00.000000,0.00632470,0.01131275,0.02076543,930,1664,3054,428,724,1398,0.00291228,0.00492758,0.00950898,0.72069369,0.87459768,1.04148403
0,0,CanadaOntario,Ontario,,2020-11-13 13:21:13.410427,2020-03-16 00:00:00.000000,0.00747245,0.01324349,0.02442667,1099,1948,3593,509,858,1644,0.00346374,0.00583522,0.01118000,0.73323884,0.87189886,1.03298643
0,0,CanadaOntario,Ontario,,2020-11-13 13:21:13.410427,2020-03-17 00:00:00.000000,0.00887198,0.01567149,0.02872999,1305,2305,4226,596,1016,1934,0.00405219,0.00690962,0.01314669,0.74758014,0.86844029,1.02135620
0,0,CanadaOntario,Ontario,,2020-11-13 13:21:13.410427,2020-03-18 00:00:00.000000,0.01036933,0.01841053,0.03378740,1525,2708,4970,694,1189,2274,0.00471864,0.00808751,0.01546015,0.74770592,0.86875945,1.01399713
