FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3527,CanadaOntarioBrant,Ontario,Brant,2020-12-15 05:41:03.708850,2020-03-15 00:00:00.000000,0.08805824,0.16473387,0.20912005,133,250,317,59,138,193,0.03902367,0.09131255,0.12758525,0.26763222,0.36758799,0.65061840
0,3527,CanadaOntarioBrant,Ontario,Brant,2020-12-15 05:41:03.708850,2020-03-16 00:00:00.000000,0.09595691,0.17056956,0.22006835,145,259,334,65,132,191,0.04292787,0.08728821,0.12604927,0.26763133,0.36758687,0.65061761
0,3527,CanadaOntarioBrant,Ontario,Brant,2020-12-15 05:41:03.708850,2020-03-17 00:00:00.000000,0.10449771,0.17668510,0.23171573,158,268,352,72,137,194,0.04742180,0.09037014,0.12774929,0.26762864,0.36758399,0.65061595
0,3527,CanadaOntarioBrant,Ontario,Brant,2020-12-15 05:41:03.708850,2020-03-18 00:00:00.000000,0.10920202,0.18476149,0.24345298,166,280,370,79,141,202,0.05239999,0.09290740,0.13324317,0.26762051,0.36757660,0.65061236
0,3527,CanadaOntarioBrant,Ontario,Brant,2020-12-15 05:41:03.708850,2020-03-19 00:00:00.000000,0.11386837,0.19241868,0.25567425,173,292,388,87,147,212,0.05737049,0.09677489,0.13972678,0.26759593,0.36755762,0.65060441
0,3527,CanadaOntarioBrant,Ontario,Brant,2020-12-15 05:41:03.708850,2020-03-20 00:00:00.000000,0.11882451,0.19905356,0.26908035,180,302,409,93,157,223,0.06121911,0.10374008,0.14674734,0.26752167,0.36750890,0.65058613
0,3527,CanadaOntarioBrant,Ontario,Brant,2020-12-15 05:41:03.708850,2020-03-21 00:00:00.000000,0.12406885,0.21262212,0.28353421,188,323,431,99,168,234,0.06517674,0.11068735,0.15418466,0.26729790,0.36738399,0.65054176
0,3527,CanadaOntarioBrant,Ontario,Brant,2020-12-15 05:41:03.708850,2020-03-22 00:00:00.000000,0.13519005,0.23031089,0.29745421,205,350,452,103,174,246,0.06799312,0.11455925,0.16199296,0.26662905,0.36706486,0.65042650
0,3527,CanadaOntarioBrant,Ontario,Brant,2020-12-15 05:41:03.708850,2020-03-23 00:00:00.000000,0.14660295,0.24227295,0.31153638,222,368,473,110,181,258,0.07243287,0.11968497,0.17010598,0.26467971,0.36625640,0.65010412
0,3527,CanadaOntarioBrant,Ontario,Brant,2020-12-15 05:41:03.708850,2020-03-24 00:00:00.000000,0.15917326,0.25243696,0.32522487,241,383,494,118,190,271,0.07789482,0.12542859,0.17846264,0.26007716,0.36425029,0.64158037
