FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-09 00:00:00.000000,0.00654140,0.02151687,0.06538500,11,38,117,3,18,62,0.00209901,0.01041769,0.03484342,0.46723858,0.61934074,0.90816699
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-10 00:00:00.000000,0.00869052,0.02535747,0.07318663,15,45,131,4,19,59,0.00248491,0.01065562,0.03325840,0.46722342,0.61933174,0.90815456
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-11 00:00:00.000000,0.01055036,0.02929448,0.08156622,18,52,146,5,21,62,0.00325130,0.01186936,0.03463583,0.46720288,0.61931444,0.90813140
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-12 00:00:00.000000,0.01258648,0.03378297,0.08991630,22,60,161,7,24,66,0.00405193,0.01341563,0.03723460,0.46717505,0.61928119,0.90808799
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-13 00:00:00.000000,0.01484253,0.03853262,0.09843734,26,69,176,8,26,72,0.00496963,0.01486101,0.04017660,0.46713724,0.61921731,0.90800592
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-14 00:00:00.000000,0.01735691,0.04331684,0.10564953,31,77,189,10,29,77,0.00599878,0.01668721,0.04338664,0.46708570,0.61909473,0.90784894
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-15 00:00:00.000000,0.02016703,0.04768983,0.11019669,36,85,197,12,34,83,0.00714275,0.01907184,0.04680313,0.46701500,0.61849739,0.90754428
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-16 00:00:00.000000,0.02371134,0.05243765,0.11565465,42,94,207,15,39,90,0.00841016,0.02177925,0.05046664,0.46439347,0.61754384,0.90694378
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-17 00:00:00.000000,0.02759941,0.05830757,0.12719321,49,104,228,17,45,97,0.00979122,0.02511651,0.05443701,0.46321782,0.61409534,0.90575170
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-18 00:00:00.000000,0.03112571,0.06497557,0.14109080,55,116,253,20,51,106,0.01130817,0.02850977,0.05926431,0.46357160,0.61061391,0.88130906
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-19 00:00:00.000000,0.03402875,0.07223997,0.15603338,61,129,280,23,57,116,0.01297887,0.03213609,0.06498427,0.46107124,0.60432652,0.83577130
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-20 00:00:00.000000,0.03997872,0.08077748,0.17164119,71,144,308,26,64,128,0.01503699,0.03603435,0.07140471,0.45673922,0.58495675,0.82452446
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-21 00:00:00.000000,0.04527972,0.09012722,0.18753479,81,161,336,32,73,140,0.01806691,0.04075563,0.07841172,0.42682415,0.58140809,0.80432662
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-22 00:00:00.000000,0.05027827,0.09775865,0.20158804,90,175,361,36,81,154,0.02056838,0.04518164,0.08602450,0.41820274,0.56977612,0.77010783
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-12-14 17:38:38.481871,2020-03-23 00:00:00.000000,0.05631647,0.10660381,0.21848835,101,191,392,40,88,168,0.02230703,0.04938954,0.09362046,0.41552486,0.56307096,0.75674018
