FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-09 00:00:00.000000,0.00860348,0.02649111,0.05656373,12,38,81,6,20,44,0.00425174,0.01382336,0.03087911,0.39225119,0.56868238,0.72911609
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-10 00:00:00.000000,0.01101696,0.03052016,0.06344222,15,44,91,6,20,44,0.00439379,0.01405477,0.03068679,0.39224883,0.56865711,0.72894183
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-11 00:00:00.000000,0.01350127,0.03428406,0.06970125,19,49,100,7,22,47,0.00503820,0.01521656,0.03280375,0.39224481,0.56859851,0.72863074
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-12 00:00:00.000000,0.01610003,0.03864323,0.07631097,23,55,110,8,24,51,0.00599022,0.01666958,0.03553384,0.39223795,0.56846284,0.72807653
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-13 00:00:00.000000,0.01884617,0.04356748,0.08331070,27,63,120,10,26,56,0.00714672,0.01861917,0.03869565,0.39222623,0.56814982,0.72796043
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-14 00:00:00.000000,0.02158375,0.04824976,0.09073122,31,69,131,12,30,61,0.00845539,0.02072473,0.04219646,0.39220616,0.56743326,0.72795281
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-15 00:00:00.000000,0.02427253,0.05494577,0.09858974,35,79,142,14,33,66,0.00989220,0.02347603,0.04599160,0.39217124,0.56582211,0.72793734
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-16 00:00:00.000000,0.02721225,0.06233122,0.10701210,39,90,154,16,37,72,0.01144887,0.02615032,0.05006028,0.39210735,0.56455307,0.72790538
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-17 00:00:00.000000,0.03077400,0.06953894,0.11579636,44,100,167,19,42,78,0.01332601,0.02928766,0.05442005,0.39197050,0.56258286,0.72783459
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-18 00:00:00.000000,0.03857067,0.07657548,0.12479506,55,110,180,22,47,85,0.01545667,0.03282633,0.05903586,0.39155783,0.55289507,0.72762318
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-19 00:00:00.000000,0.04373412,0.08373343,0.13376295,63,121,193,25,52,92,0.01783984,0.03649201,0.06385097,0.37232821,0.54514126,0.72637455
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-20 00:00:00.000000,0.04924175,0.09159169,0.14244998,71,132,206,29,58,99,0.02045251,0.04023226,0.06877420,0.32827304,0.52728265,0.70959429
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-21 00:00:00.000000,0.05354668,0.09901976,0.15497980,77,143,224,33,63,109,0.02324168,0.04392354,0.07594060,0.28790008,0.49944190,0.67143228
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-22 00:00:00.000000,0.05763874,0.10632595,0.16413678,83,153,237,37,70,122,0.02617466,0.04861745,0.08485282,0.27644026,0.47452904,0.65211232
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-23 00:00:00.000000,0.06137702,0.11408779,0.17720364,88,165,256,42,76,136,0.02925023,0.05287821,0.09411975,0.27202318,0.45387132,0.58078968
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-24 00:00:00.000000,0.07164583,0.12220129,0.18613909,103,176,269,46,83,144,0.03212072,0.05741700,0.09996550,0.26926040,0.44022510,0.56291845
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-25 00:00:00.000000,0.08009852,0.13076156,0.19422066,115,189,281,50,89,149,0.03501004,0.06200535,0.10331032,0.24880237,0.41169344,0.55080628
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-26 00:00:00.000000,0.08602920,0.13863035,0.20058993,124,200,290,54,95,154,0.03794710,0.06591239,0.10647838,0.23407939,0.38828197,0.54480040
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-27 00:00:00.000000,0.09126275,0.14479760,0.20800412,132,209,301,61,101,167,0.04277911,0.07033775,0.11535735,0.23014282,0.36928904,0.53738173
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-28 00:00:00.000000,0.09570607,0.15160206,0.22201660,138,219,321,65,107,179,0.04501296,0.07428154,0.12423455,0.22922808,0.33854910,0.52798464
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-29 00:00:00.000000,0.09950225,0.15793570,0.23590723,144,228,341,67,115,191,0.04647533,0.07994926,0.13226225,0.21884257,0.32269788,0.50513272
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-30 00:00:00.000000,0.10151440,0.16333874,0.24241162,146,236,350,70,121,197,0.04902863,0.08367062,0.13645373,0.21090109,0.29277683,0.46985805
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-03-31 00:00:00.000000,0.10322087,0.16662095,0.24581075,149,241,355,73,126,197,0.05097306,0.08747211,0.13620833,0.19852600,0.27650010,0.43986594
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-01 00:00:00.000000,0.10449280,0.16886018,0.24876759,151,244,360,75,131,198,0.05234743,0.09103580,0.13734671,0.17802865,0.26595159,0.41812195
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-02 00:00:00.000000,0.10450321,0.16997835,0.24918370,151,246,360,77,135,206,0.05319948,0.09344129,0.14294142,0.15746286,0.24594590,0.38565130
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-03 00:00:00.000000,0.10330085,0.17103368,0.24727803,149,247,358,77,137,212,0.05377670,0.09530518,0.14643194,0.13602322,0.22730067,0.35508344
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-04 00:00:00.000000,0.10178618,0.16946750,0.25036931,147,245,362,79,140,213,0.05505767,0.09679449,0.14776923,0.12758905,0.20807543,0.34095975
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-05 00:00:00.000000,0.10015796,0.16775254,0.25233846,145,242,365,81,141,216,0.05595258,0.09742714,0.14925423,0.11289671,0.19102806,0.29586686
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-06 00:00:00.000000,0.09868840,0.16549017,0.24470187,142,239,354,81,139,220,0.05602916,0.09655915,0.15249485,0.11026071,0.18132822,0.25808246
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-07 00:00:00.000000,0.09720631,0.16303088,0.24346399,140,236,352,80,138,224,0.05540025,0.09581125,0.15497776,0.10837456,0.17248476,0.25782783
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-08 00:00:00.000000,0.09575297,0.16073578,0.24204684,138,232,350,79,137,223,0.05472087,0.09524566,0.15462545,0.10314465,0.16719885,0.25715120
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-09 00:00:00.000000,0.09431186,0.15851703,0.24044692,136,229,348,78,136,218,0.05399598,0.09414795,0.15084089,0.10041666,0.16438892,0.25154424
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-10 00:00:00.000000,0.09284038,0.15544005,0.23753496,134,225,343,76,134,212,0.05316599,0.09262409,0.14661688,0.09436495,0.15738824,0.23549098
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-11 00:00:00.000000,0.09113728,0.15142658,0.23220574,131,219,336,75,130,205,0.05236609,0.09046668,0.14207572,0.08762424,0.15409056,0.22952802
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-12 00:00:00.000000,0.08895752,0.14636300,0.22674631,128,211,328,74,127,198,0.05143388,0.08817698,0.13736489,0.08383508,0.14640545,0.21536517
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-13 00:00:00.000000,0.08700195,0.14110582,0.21968669,125,204,318,72,125,191,0.04990790,0.08638463,0.13259023,0.08151346,0.14107255,0.19928473
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-14 00:00:00.000000,0.08501116,0.13806117,0.21268774,123,199,307,69,121,185,0.04767817,0.08389049,0.12807650,0.07668408,0.13969157,0.19908935
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-15 00:00:00.000000,0.08303856,0.13561812,0.20577108,120,196,297,66,117,179,0.04612213,0.08126784,0.12375436,0.07176591,0.13816532,0.19841487
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-16 00:00:00.000000,0.08046020,0.13152217,0.19897404,116,190,288,64,114,177,0.04475091,0.07900078,0.12228444,0.07008679,0.13588040,0.18947833
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-17 00:00:00.000000,0.07898602,0.12698481,0.19228709,114,183,278,62,110,175,0.04341335,0.07622842,0.12119962,0.06781339,0.12781706,0.18221141
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-18 00:00:00.000000,0.07619405,0.12207702,0.18956968,110,176,274,60,107,173,0.04210998,0.07414095,0.12005859,0.06467178,0.11875115,0.17635035
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-19 00:00:00.000000,0.07223541,0.11894208,0.18643254,104,172,269,59,104,172,0.04083468,0.07193243,0.11881419,0.06082045,0.11244567,0.16308777
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-20 00:00:00.000000,0.06916088,0.11510926,0.18137101,100,166,262,56,100,169,0.03890386,0.06940028,0.11731856,0.05725657,0.10697345,0.15481470
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-21 00:00:00.000000,0.06625504,0.11086882,0.17632890,95,160,255,52,97,166,0.03646119,0.06709737,0.11522660,0.05376690,0.10331715,0.15002743
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-22 00:00:00.000000,0.06331188,0.10520597,0.17130344,91,152,248,49,93,163,0.03411818,0.06485549,0.11272135,0.05041771,0.10046484,0.14815194
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-23 00:00:00.000000,0.05906973,0.10080875,0.16626229,85,145,240,46,90,159,0.03190535,0.06276159,0.10996625,0.05005096,0.09860188,0.14698684
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-24 00:00:00.000000,0.05507906,0.09606267,0.16103080,79,139,233,43,87,155,0.03015531,0.06021223,0.10706423,0.05004618,0.09527660,0.14599303
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-25 00:00:00.000000,0.05135906,0.09100448,0.15543167,74,131,225,41,82,150,0.02891644,0.05715491,0.10404868,0.04993995,0.09432219,0.13879032
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-26 00:00:00.000000,0.04791381,0.08611714,0.14948675,69,124,216,40,79,146,0.02779254,0.05501997,0.10087913,0.04746964,0.09171397,0.13261436
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-27 00:00:00.000000,0.04473476,0.08149501,0.14272608,64,117,206,38,76,141,0.02675202,0.05282817,0.09753306,0.04642547,0.08968112,0.12910005
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-28 00:00:00.000000,0.04182876,0.07719857,0.13598055,60,111,196,36,72,135,0.02547885,0.04979222,0.09389144,0.04588622,0.08773114,0.12757425
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-29 00:00:00.000000,0.03968038,0.07326297,0.12925675,57,106,187,34,68,130,0.02396473,0.04704716,0.09006272,0.04318232,0.08689976,0.12562014
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-04-30 00:00:00.000000,0.03768298,0.06963806,0.12258727,54,100,177,32,65,124,0.02257177,0.04500871,0.08612282,0.04135298,0.08576159,0.12376431
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-01 00:00:00.000000,0.03582514,0.06617474,0.11602729,51,95,167,30,62,118,0.02128895,0.04310196,0.08212618,0.04128161,0.08414155,0.12147143
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-02 00:00:00.000000,0.03405131,0.06273050,0.10964469,49,90,158,29,59,113,0.02010661,0.04123577,0.07811902,0.04153523,0.08227806,0.11837284
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-03 00:00:00.000000,0.03235894,0.05951493,0.10350039,46,86,149,27,56,107,0.01901596,0.03915903,0.07414562,0.04124667,0.08087775,0.11660666
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-04 00:00:00.000000,0.03045043,0.05636366,0.09764400,44,81,141,26,53,101,0.01800925,0.03712924,0.07024766,0.03933579,0.07775763,0.11707116
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-05 00:00:00.000000,0.02866801,0.05360263,0.09209179,41,77,133,24,50,96,0.01705997,0.03490810,0.06646269,0.03900211,0.07648188,0.11701439
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-06 00:00:00.000000,0.02700507,0.05147596,0.08819697,39,74,127,23,47,90,0.01616937,0.03293194,0.06281799,0.03899894,0.07548539,0.11644314
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-07 00:00:00.000000,0.02546181,0.04932256,0.08476286,36,71,122,22,45,85,0.01533702,0.03142400,0.05933200,0.04006150,0.07532556,0.11560908
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-08 00:00:00.000000,0.02403429,0.04703259,0.08037208,34,68,116,21,43,81,0.01456186,0.03020611,0.05601360,0.04158833,0.07488510,0.11428960
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-09 00:00:00.000000,0.02270126,0.04495845,0.07627155,32,65,110,20,41,77,0.01384475,0.02895139,0.05376839,0.04178750,0.07435135,0.11990453
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-10 00:00:00.000000,0.02147171,0.04357342,0.07246998,31,63,104,19,39,74,0.01318883,0.02762191,0.05173397,0.04133963,0.07428773,0.11556786
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-11 00:00:00.000000,0.02085762,0.04165596,0.07048269,30,60,102,18,38,72,0.01259540,0.02650034,0.04975025,0.04013045,0.07240927,0.11184756
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-12 00:00:00.000000,0.01999589,0.03963693,0.06865482,28,57,99,17,36,68,0.01199954,0.02540742,0.04712617,0.03840927,0.07060905,0.11006339
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-13 00:00:00.000000,0.01914120,0.03764688,0.06699083,27,54,96,16,35,64,0.01141682,0.02424143,0.04461477,0.03742825,0.06977411,0.11045769
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-14 00:00:00.000000,0.01879743,0.03607467,0.06478309,27,52,93,15,33,61,0.01085353,0.02299385,0.04222565,0.03708283,0.06958451,0.11442641
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-15 00:00:00.000000,0.01850132,0.03454974,0.06229715,26,50,90,14,31,59,0.01031715,0.02186326,0.04088544,0.03702167,0.06982668,0.11925124
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-16 00:00:00.000000,0.01824200,0.03327210,0.05971063,26,48,86,14,30,57,0.00980350,0.02115765,0.03982668,0.03650833,0.07054832,0.12096255
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-17 00:00:00.000000,0.01801249,0.03228034,0.05617239,26,46,81,13,29,56,0.00935985,0.02026255,0.03887083,0.03448092,0.07044078,0.12412798
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-18 00:00:00.000000,0.01665910,0.02999553,0.05226956,24,43,75,13,28,55,0.00909633,0.01970341,0.03800302,0.03186241,0.07038659,0.12929104
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-19 00:00:00.000000,0.01532291,0.02781483,0.04865570,22,40,70,12,27,52,0.00868528,0.01865060,0.03643373,0.02963867,0.07075490,0.13187505
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-20 00:00:00.000000,0.01401626,0.02586783,0.04528089,20,37,65,11,25,50,0.00817981,0.01738852,0.03474720,0.03033562,0.07130750,0.13346827
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-21 00:00:00.000000,0.01276689,0.02406956,0.04270761,18,34,61,11,23,47,0.00763241,0.01624805,0.03303754,0.03115369,0.07151158,0.13491970
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-22 00:00:00.000000,0.01159313,0.02236433,0.04080722,16,32,59,10,22,45,0.00707238,0.01526919,0.03132060,0.03200352,0.07168993,0.13667476
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-23 00:00:00.000000,0.01050927,0.02075800,0.03899625,15,30,56,9,20,42,0.00660227,0.01421301,0.02944244,0.03280379,0.07142184,0.13881905
0,3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-10-28 02:31:15.083496,2020-05-24 00:00:00.000000,0.00952868,0.01937946,0.03728102,13,28,53,8,19,40,0.00605088,0.01320466,0.02777039,0.03353095,0.06972994,0.14078497
