FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-09 00:00:00.000000,0.01049207,0.01749116,0.04496048,58,98,252,25,44,122,0.00459721,0.00793339,0.02178696,0.72397263,0.76169648,0.78983697
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-10 00:00:00.000000,0.01198068,0.01937247,0.04877826,67,108,274,25,42,111,0.00447287,0.00760986,0.01992087,0.72397295,0.76170144,0.78983707
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-11 00:00:00.000000,0.01351778,0.02136038,0.05275109,75,120,296,26,43,108,0.00462679,0.00775775,0.01936593,0.72397341,0.76170791,0.78983720
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-12 00:00:00.000000,0.01496586,0.02349128,0.05697687,84,132,320,28,46,110,0.00502828,0.00819602,0.01963694,0.72397401,0.76171260,0.78983733
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-13 00:00:00.000000,0.01668700,0.02579189,0.06152175,93,144,345,31,49,114,0.00555595,0.00883583,0.02044767,0.72397443,0.76169186,0.78983709
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-14 00:00:00.000000,0.01835060,0.02828420,0.06643457,103,158,373,34,54,121,0.00617460,0.00961426,0.02163375,0.72397222,0.76150287,0.78983423
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-15 00:00:00.000000,0.02030545,0.03098802,0.07175496,114,174,403,38,59,129,0.00680560,0.01050349,0.02310248,0.72395256,0.76090179,0.78981588
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-16 00:00:00.000000,0.02301375,0.03415832,0.07724999,129,192,434,42,64,139,0.00750500,0.01149341,0.02480346,0.71200663,0.75950912,0.78944764
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-17 00:00:00.000000,0.02545122,0.03757060,0.08265438,143,211,464,46,71,150,0.00827260,0.01264514,0.02672588,0.66228100,0.75361445,0.78944731
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-18 00:00:00.000000,0.02801202,0.04124850,0.08776045,157,231,493,51,78,162,0.00910047,0.01397489,0.02885328,0.63149546,0.74381005,0.78944404
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-19 00:00:00.000000,0.03077483,0.04532415,0.09276930,172,254,521,56,86,175,0.01004131,0.01543434,0.03117911,0.61726447,0.73915677,0.78941092
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-20 00:00:00.000000,0.03376879,0.04961992,0.09794553,189,278,550,62,95,189,0.01103852,0.01700596,0.03370109,0.61197069,0.72935620,0.78907939
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-21 00:00:00.000000,0.03705287,0.05422319,0.10336836,208,304,581,67,105,204,0.01206040,0.01868074,0.03639661,0.61115093,0.72676366,0.78669077
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-22 00:00:00.000000,0.04065217,0.05918148,0.10906910,228,332,613,74,115,218,0.01316420,0.02046926,0.03889647,0.61141154,0.72951901,0.78208710
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-23 00:00:00.000000,0.04436503,0.06432164,0.11535565,249,361,648,80,125,231,0.01436936,0.02235954,0.04110568,0.61231661,0.72703321,0.77745707
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-24 00:00:00.000000,0.04831330,0.06989378,0.12199420,271,392,685,87,136,244,0.01565195,0.02433394,0.04345786,0.61379370,0.72532406,0.77908555
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-25 00:00:00.000000,0.05257465,0.07590316,0.12903741,295,426,725,95,148,258,0.01704815,0.02643904,0.04595457,0.61602040,0.72233356,0.77918780
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-26 00:00:00.000000,0.05715336,0.08229834,0.13653430,321,462,767,104,161,273,0.01855888,0.02869469,0.04860330,0.61926558,0.72288227,0.77692286
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-27 00:00:00.000000,0.06199012,0.08898640,0.14525715,348,500,816,113,174,289,0.02018907,0.03110356,0.05141684,0.62379370,0.71408736,0.76640499
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-28 00:00:00.000000,0.06704157,0.09604501,0.15571913,376,539,875,123,189,305,0.02193433,0.03365080,0.05441355,0.62977112,0.70939019,0.74265447
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-29 00:00:00.000000,0.07240412,0.10332112,0.16709553,407,580,939,133,204,326,0.02377360,0.03634404,0.05810463,0.63583091,0.69744217,0.73615928
0,3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-03-30 00:00:00.000000,0.07832440,0.11042786,0.17933766,440,620,1008,144,220,350,0.02569879,0.03921052,0.06230024,0.64067005,0.68800207,0.74128456
