FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-09 00:00:00.000000,0.00440333,0.01567527,0.03939972,9,32,82,5,15,45,0.00253136,0.00759884,0.02173865,0.48100047,0.63191960,0.84233991
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-10 00:00:00.000000,0.00479385,0.01761142,0.04123344,10,36,86,4,16,43,0.00222456,0.00782505,0.02082143,0.48100021,0.63191902,0.84233927
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-11 00:00:00.000000,0.00529204,0.01933174,0.04345901,11,40,90,5,17,43,0.00246277,0.00854489,0.02100568,0.48099969,0.63191753,0.84233750
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-12 00:00:00.000000,0.00578689,0.02136821,0.04597043,12,44,96,5,19,45,0.00279776,0.00946294,0.02175287,0.48099863,0.63191361,0.84233254
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-13 00:00:00.000000,0.00633202,0.02264866,0.04872818,13,47,101,6,21,47,0.00315787,0.01033125,0.02281625,0.48099646,0.63190297,0.84231861
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-14 00:00:00.000000,0.00692269,0.02391638,0.05170075,14,50,108,7,23,50,0.00336021,0.01117348,0.02408178,0.48099200,0.63187483,0.84227938
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-15 00:00:00.000000,0.00737316,0.02524857,0.05486097,15,52,114,7,25,53,0.00349833,0.01203815,0.02549497,0.48098279,0.63070455,0.84217029
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-16 00:00:00.000000,0.00894342,0.02798871,0.05861388,18,58,122,7,26,56,0.00364691,0.01282591,0.02702612,0.48096360,0.62834151,0.83888214
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-17 00:00:00.000000,0.01034165,0.03064631,0.06245761,21,64,130,9,28,60,0.00432136,0.01382774,0.02877438,0.48092305,0.62879523,0.83887938
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-18 00:00:00.000000,0.01186411,0.03386183,0.06634322,24,70,138,10,31,66,0.00520921,0.01511912,0.03160576,0.48083462,0.62473642,0.83886887
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-19 00:00:00.000000,0.01352077,0.03799287,0.07156790,28,79,149,12,36,71,0.00616665,0.01738643,0.03423833,0.48062808,0.61860277,0.83881951
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-20 00:00:00.000000,0.01533236,0.04211811,0.07598141,32,88,158,15,39,76,0.00724849,0.01905961,0.03641817,0.48016202,0.60936491,0.83852525
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-21 00:00:00.000000,0.01732386,0.04647252,0.08041666,36,97,168,17,43,80,0.00816258,0.02064122,0.03869749,0.47642067,0.59314588,0.83635050
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-22 00:00:00.000000,0.01949813,0.05038334,0.08455935,40,105,176,19,47,85,0.00911620,0.02263066,0.04102699,0.45723411,0.56936343,0.81869957
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-23 00:00:00.000000,0.02245859,0.05398302,0.08960483,46,112,187,20,51,90,0.00998394,0.02482931,0.04329237,0.42998922,0.55464973,0.80835540
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-24 00:00:00.000000,0.02507270,0.05845918,0.09931127,52,122,207,24,56,97,0.01172430,0.02707470,0.04636117,0.38757128,0.54307272,0.76986887
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-25 00:00:00.000000,0.02755862,0.06232139,0.10491919,57,130,219,28,61,107,0.01363612,0.02937913,0.05146445,0.36897182,0.53800523,0.74876085
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-26 00:00:00.000000,0.03139209,0.06566585,0.10989600,65,137,229,32,66,118,0.01542753,0.03164208,0.05670298,0.37821475,0.52402759,0.74884103
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-27 00:00:00.000000,0.03551427,0.06987124,0.11427852,74,146,239,35,69,127,0.01702039,0.03333691,0.06083104,0.38236046,0.51769468,0.74084748
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-28 00:00:00.000000,0.03991909,0.07404536,0.11997009,83,154,251,39,74,133,0.01869547,0.03541915,0.06382296,0.37333807,0.50137678,0.68340840
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-29 00:00:00.000000,0.04454825,0.07766242,0.12259625,93,162,256,42,78,139,0.02042260,0.03731916,0.06676148,0.34365872,0.48399315,0.66129029
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-30 00:00:00.000000,0.04847559,0.08151800,0.12701310,101,170,265,46,81,145,0.02215572,0.03908654,0.06938875,0.32479992,0.46680980,0.62358734
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-03-31 00:00:00.000000,0.05023636,0.08567747,0.12980503,105,179,271,50,85,152,0.02422612,0.04095405,0.07277631,0.31873407,0.43837278,0.60032775
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-01 00:00:00.000000,0.05208267,0.08956043,0.13490068,108,187,282,55,90,156,0.02636136,0.04310262,0.07486497,0.31494890,0.42421985,0.59209445
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-02 00:00:00.000000,0.05413632,0.09181175,0.13910800,113,192,291,59,94,158,0.02838071,0.04507398,0.07581232,0.29734630,0.40921774,0.56941682
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-03 00:00:00.000000,0.05653935,0.09403533,0.14228048,118,196,297,62,97,158,0.02967162,0.04678180,0.07597135,0.27709503,0.38992896,0.56079117
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-04 00:00:00.000000,0.05915609,0.09614033,0.14386943,123,201,301,64,100,158,0.03080868,0.04782622,0.07564043,0.27318847,0.37759128,0.54981365
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-05 00:00:00.000000,0.06187394,0.09706005,0.14600353,129,203,305,66,102,159,0.03184009,0.04903039,0.07635538,0.26831007,0.36453258,0.53392416
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-06 00:00:00.000000,0.06364576,0.09709583,0.14853251,133,203,310,66,104,167,0.03193910,0.04991540,0.08019462,0.25981929,0.35211983,0.50315983
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-07 00:00:00.000000,0.06539625,0.09722862,0.14834091,136,203,310,67,105,169,0.03232853,0.05038736,0.08090336,0.25039831,0.34392062,0.49263656
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-08 00:00:00.000000,0.06716297,0.09676315,0.14724699,140,202,308,68,107,167,0.03282419,0.05117891,0.07995136,0.24316867,0.33383650,0.48311320
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-09 00:00:00.000000,0.06712361,0.09650793,0.14582482,140,201,305,68,106,164,0.03285956,0.05104291,0.07856910,0.23569155,0.32776653,0.47856063
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-10 00:00:00.000000,0.06688155,0.09662656,0.15183369,139,202,317,67,107,160,0.03238804,0.05146129,0.07689418,0.22213694,0.31776110,0.46474986
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-11 00:00:00.000000,0.06608028,0.09633357,0.15644458,138,201,327,66,108,159,0.03187245,0.05190266,0.07638581,0.21000910,0.30374019,0.44716043
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-12 00:00:00.000000,0.06388775,0.09440405,0.15432209,133,197,322,65,108,169,0.03131498,0.05181898,0.08087597,0.20254118,0.29020713,0.41847193
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-13 00:00:00.000000,0.06090387,0.09301572,0.15115740,127,194,316,64,106,177,0.03067812,0.05091372,0.08496685,0.19977093,0.27829572,0.37061615
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-14 00:00:00.000000,0.05867523,0.09056175,0.14756014,122,189,308,62,103,182,0.02984343,0.04953342,0.08737393,0.19064215,0.27318396,0.36110632
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-15 00:00:00.000000,0.05641438,0.08899056,0.14372628,118,186,300,61,101,179,0.02937227,0.04866709,0.08571302,0.18232575,0.26567576,0.36092638
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-16 00:00:00.000000,0.05418881,0.08653816,0.13965739,113,181,292,58,98,175,0.02779712,0.04707973,0.08377423,0.18062963,0.25918208,0.36071837
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-17 00:00:00.000000,0.05201160,0.08307056,0.13727702,108,173,287,55,95,174,0.02672160,0.04569934,0.08333924,0.17957736,0.25649968,0.35861730
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-18 00:00:00.000000,0.04985103,0.08041021,0.13511357,104,168,282,53,92,176,0.02566126,0.04435843,0.08415790,0.17661238,0.25307277,0.35238809
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-19 00:00:00.000000,0.04767778,0.07749535,0.13391590,99,162,280,51,91,177,0.02461323,0.04375275,0.08464366,0.17235436,0.25047106,0.35214513
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-20 00:00:00.000000,0.04543950,0.07505127,0.13414831,95,157,280,49,89,171,0.02356393,0.04276259,0.08179726,0.16871283,0.24082417,0.35193538
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-21 00:00:00.000000,0.04316762,0.07287974,0.12855185,90,152,268,47,87,163,0.02249904,0.04170965,0.07820291,0.16110767,0.23277496,0.34630604
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-22 00:00:00.000000,0.04076943,0.07077565,0.12308286,85,148,257,44,84,156,0.02141498,0.04048862,0.07482242,0.15614905,0.22340755,0.32361349
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-23 00:00:00.000000,0.03826126,0.06885147,0.11738560,80,144,245,42,82,149,0.02028616,0.03935292,0.07158749,0.15569807,0.21860581,0.31928393
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-24 00:00:00.000000,0.03577653,0.06688086,0.11094031,74,139,232,39,79,143,0.01910579,0.03793642,0.06836042,0.14861630,0.21714768,0.31332870
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-25 00:00:00.000000,0.03357244,0.06476701,0.10552068,70,135,220,37,76,135,0.01791125,0.03648621,0.06491990,0.14462508,0.21318966,0.30482586
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-26 00:00:00.000000,0.03228716,0.06178575,0.10137412,67,129,212,35,73,127,0.01712300,0.03508950,0.06117052,0.13581170,0.21222876,0.29382560
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-27 00:00:00.000000,0.03119104,0.05934088,0.09790834,65,124,204,34,70,119,0.01646558,0.03351608,0.05724276,0.13243081,0.21231434,0.27966232
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-28 00:00:00.000000,0.03010811,0.05725183,0.09319303,62,119,194,33,67,114,0.01588431,0.03211491,0.05477241,0.12428758,0.20573046,0.28116833
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-29 00:00:00.000000,0.02904047,0.05435186,0.08943987,60,113,187,32,64,108,0.01533432,0.03066360,0.05176515,0.12080643,0.20352301,0.28341081
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-04-30 00:00:00.000000,0.02799597,0.05206241,0.08520460,58,108,178,30,61,104,0.01479515,0.02941537,0.04995301,0.12298126,0.20232414,0.27745911
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-05-01 00:00:00.000000,0.02699292,0.04958384,0.08090033,56,103,169,29,59,100,0.01426567,0.02861435,0.04811494,0.12665294,0.20320986,0.27503110
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-05-02 00:00:00.000000,0.02557558,0.04744122,0.07780670,53,99,162,28,56,96,0.01375368,0.02720775,0.04630187,0.12552062,0.20231235,0.27440960
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-05-03 00:00:00.000000,0.02410733,0.04559838,0.07484723,50,95,156,27,54,93,0.01326718,0.02601986,0.04454256,0.13383585,0.20092787,0.27354611
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-05-04 00:00:00.000000,0.02295575,0.04398004,0.07120406,48,92,148,26,52,89,0.01281095,0.02507712,0.04284935,0.13357499,0.19916731,0.27277623
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-05-05 00:00:00.000000,0.02191825,0.04224095,0.06893650,45,88,144,25,50,85,0.01236623,0.02426870,0.04101303,0.13330667,0.20082414,0.26811920
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-05-06 00:00:00.000000,0.02098473,0.04092332,0.06753277,43,85,141,24,48,81,0.01194486,0.02310977,0.03902862,0.13307277,0.19922844,0.27083913
0,3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-11-13 12:55:00.933525,2020-05-07 00:00:00.000000,0.02013863,0.03924580,0.06491128,42,82,135,23,46,76,0.01146091,0.02222813,0.03678540,0.13308755,0.19793912,0.27354156
