FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-09 00:00:00.000000,0.00211265,0.00958011,0.03051176,4,19,61,1,9,36,0.00063360,0.00480079,0.01781226,0.38405242,0.54546733,0.77136740
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-10 00:00:00.000000,0.00285384,0.01106523,0.03468418,5,22,70,1,9,33,0.00085147,0.00488017,0.01636333,0.38398582,0.54545343,0.77136725
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-11 00:00:00.000000,0.00364889,0.01269947,0.03901897,7,25,79,2,10,35,0.00117684,0.00537379,0.01771401,0.38388707,0.54542643,0.77136689
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-12 00:00:00.000000,0.00437808,0.01450495,0.04391067,8,29,88,3,12,40,0.00158189,0.00615910,0.01979282,0.38374132,0.54537406,0.77136590
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-13 00:00:00.000000,0.00534278,0.01657348,0.04990213,10,33,101,4,14,44,0.00202908,0.00693356,0.02213903,0.38352751,0.54527283,0.77136287
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-14 00:00:00.000000,0.00631649,0.01811329,0.05616276,12,36,113,5,16,50,0.00249529,0.00796397,0.02469231,0.38321676,0.54507821,0.77135284
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-15 00:00:00.000000,0.00731182,0.01994104,0.06273293,14,40,127,6,18,55,0.00306526,0.00894375,0.02742069,0.38277114,0.54470809,0.77131833
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-16 00:00:00.000000,0.00878249,0.02309812,0.06780089,17,46,137,7,20,61,0.00370150,0.01003455,0.03030518,0.38214435,0.54401855,0.77119725
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-17 00:00:00.000000,0.01008987,0.02612620,0.07317117,20,52,148,9,22,67,0.00447766,0.01129453,0.03312421,0.38128727,0.53599308,0.77077046
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-18 00:00:00.000000,0.01155120,0.02998283,0.07878250,23,60,159,10,25,72,0.00519634,0.01277062,0.03595721,0.38016660,0.52156338,0.74902664
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-19 00:00:00.000000,0.01317964,0.03397570,0.08463189,26,68,171,11,28,78,0.00563687,0.01410815,0.03882012,0.37475921,0.51248574,0.72940922
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-20 00:00:00.000000,0.01456433,0.03721562,0.09067035,29,75,183,12,31,84,0.00602683,0.01572768,0.04171316,0.37334609,0.49494717,0.72509372
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-21 00:00:00.000000,0.01533124,0.04074259,0.09678276,31,82,196,13,35,90,0.00670489,0.01769866,0.04463851,0.34806844,0.46979218,0.71811076
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-22 00:00:00.000000,0.01610043,0.04458202,0.10279965,32,90,208,15,40,96,0.00740447,0.02001089,0.04760692,0.31289775,0.46187014,0.67772170
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-23 00:00:00.000000,0.01930510,0.04996184,0.10928389,39,101,221,16,44,102,0.00812390,0.02171674,0.05063436,0.30615220,0.44735659,0.67558204
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-24 00:00:00.000000,0.02251632,0.05304073,0.11563204,45,107,234,18,49,108,0.00925243,0.02424058,0.05371754,0.28309529,0.41867816,0.68116785
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-25 00:00:00.000000,0.02587755,0.05615301,0.12196236,52,113,247,21,54,115,0.01059678,0.02675790,0.05687956,0.26869051,0.40739536,0.65767809
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-26 00:00:00.000000,0.02930714,0.05908432,0.12767533,59,119,258,24,57,121,0.01207467,0.02836890,0.06013534,0.25967934,0.39929421,0.61737129
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-27 00:00:00.000000,0.03257085,0.06277476,0.13073220,66,127,264,27,61,128,0.01363415,0.03033516,0.06348758,0.23797091,0.38094270,0.55905887
0,3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-11-20 23:02:25.679621,2020-03-28 00:00:00.000000,0.03577861,0.06602910,0.13321791,72,133,270,30,66,135,0.01517080,0.03291656,0.06691650,0.22833085,0.36691938,0.54021471
