FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3595,CanadaOntarioToronto,Ontario,Toronto,2020-11-17 06:27:19.684671,2020-03-15 00:00:00.000000,0.01246939,0.01869421,0.03613220,372,558,1079,165,245,390,0.00554822,0.00823069,0.01308455,0.70900320,0.87203370,1.00777429
0,3595,CanadaOntarioToronto,Ontario,Toronto,2020-11-17 06:27:19.684671,2020-03-16 00:00:00.000000,0.01480281,0.02153466,0.04040136,442,643,1206,195,288,463,0.00653117,0.00966853,0.01551879,0.70900320,0.87098971,1.00777429
0,3595,CanadaOntarioToronto,Ontario,Toronto,2020-11-17 06:27:19.684671,2020-03-17 00:00:00.000000,0.01745320,0.02547046,0.04678271,521,760,1397,232,340,552,0.00776725,0.01138410,0.01848167,0.70900320,0.87015931,1.00777427
0,3595,CanadaOntarioToronto,Ontario,Toronto,2020-11-17 06:27:19.684671,2020-03-18 00:00:00.000000,0.02030127,0.03036780,0.05421547,606,907,1619,271,404,649,0.00908762,0.01352695,0.02174054,0.70900320,0.87015883,1.00777419
0,3595,CanadaOntarioToronto,Ontario,Toronto,2020-11-17 06:27:19.684671,2020-03-19 00:00:00.000000,0.02418019,0.03567642,0.06218283,722,1065,1857,313,475,759,0.01050095,0.01591982,0.02542647,0.70900319,0.87015721,1.00777382
0,3595,CanadaOntarioToronto,Ontario,Toronto,2020-11-17 06:27:19.684671,2020-03-20 00:00:00.000000,0.02882783,0.04162765,0.07017437,861,1243,2096,369,547,857,0.01236797,0.01832123,0.02869684,0.70900317,0.87015172,1.00777215
0,3595,CanadaOntarioToronto,Ontario,Toronto,2020-11-17 06:27:19.684671,2020-03-21 00:00:00.000000,0.03387805,0.04831020,0.07919646,1012,1443,2366,431,636,971,0.01445245,0.02130215,0.03250533,0.70900309,0.87013313,1.00776439
0,3595,CanadaOntarioToronto,Ontario,Toronto,2020-11-17 06:27:19.684671,2020-03-22 00:00:00.000000,0.03964577,0.05666941,0.09175058,1184,1693,2741,504,743,1125,0.01689838,0.02487730,0.03766137,0.70900272,0.87007017,1.00772835
0,3595,CanadaOntarioToronto,Ontario,Toronto,2020-11-17 06:27:19.684671,2020-03-23 00:00:00.000000,0.04639482,0.06612449,0.10629437,1386,1975,3175,591,876,1303,0.01981319,0.02932593,0.04363064,0.69493456,0.86985698,1.00756024
0,3595,CanadaOntarioToronto,Ontario,Toronto,2020-11-17 06:27:19.684671,2020-03-24 00:00:00.000000,0.05427784,0.07664212,0.12288972,1621,2289,3671,695,1024,1510,0.02326938,0.03429867,0.05054424,0.68290495,0.86280806,1.00659009
