FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-03 14:32:11.361411,2020-03-09 00:00:00.000000,0.00257277,0.02011992,0.07255170,7,61,220,1,31,112,0.00062533,0.01029023,0.03705754,0.54667302,0.70512505,1.01556004
0,3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-03 14:32:11.361411,2020-03-10 00:00:00.000000,0.00371847,0.02369582,0.07828287,11,72,238,2,33,121,0.00092292,0.01097920,0.03989130,0.54673308,0.70511658,1.01555988
0,3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-03 14:32:11.361411,2020-03-11 00:00:00.000000,0.00500893,0.02751476,0.08451451,15,83,257,4,36,130,0.00138419,0.01214059,0.04296293,0.54683817,0.70509919,1.01555959
0,3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-03 14:32:11.361411,2020-03-12 00:00:00.000000,0.00648277,0.03141914,0.09641815,19,95,293,5,40,140,0.00195996,0.01331478,0.04628731,0.54702142,0.70506349,1.01555906
0,3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-03 14:32:11.361411,2020-03-13 00:00:00.000000,0.00817561,0.03554990,0.11070260,24,108,336,8,45,151,0.00263851,0.01506005,0.04992148,0.54733918,0.70190799,1.01555795
0,3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-03 14:32:11.361411,2020-03-14 00:00:00.000000,0.00942482,0.04068358,0.12683339,28,123,385,10,52,167,0.00342423,0.01734878,0.05506202,0.54788475,0.70165481,1.01555516
0,3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-03 14:32:11.361411,2020-03-15 00:00:00.000000,0.01103541,0.04714493,0.14502409,33,143,441,12,59,192,0.00426672,0.01962624,0.06322406,0.54801184,0.70134362,1.01554648
0,3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-03 14:32:11.361411,2020-03-16 00:00:00.000000,0.01373993,0.05395016,0.16437280,41,164,500,14,67,220,0.00488194,0.02235027,0.07244905,0.51951037,0.69961936,1.01551458
0,3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-03 14:32:11.361411,2020-03-17 00:00:00.000000,0.01683230,0.06269219,0.18616832,51,190,566,18,77,251,0.00593880,0.02547477,0.08258632,0.50648765,0.69501772,1.01538575
0,3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-03 14:32:11.361411,2020-03-18 00:00:00.000000,0.02043490,0.07270469,0.21042273,62,221,640,22,89,285,0.00732579,0.02957056,0.09384499,0.50626646,0.68847492,1.01484240
