FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-15 00:00:00.000000,0.01186587,0.03764436,0.07350061,23,73,144,13,42,94,0.00670133,0.02175123,0.04806769,0.25055746,0.34730326,0.50285997
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-16 00:00:00.000000,0.01306380,0.03934200,0.07442736,25,77,145,13,41,89,0.00675897,0.02117227,0.04549651,0.25053837,0.34726328,0.50284347
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-17 00:00:00.000000,0.01442610,0.04101604,0.07620400,28,80,149,14,42,88,0.00716357,0.02158274,0.04489697,0.25050259,0.34719538,0.50281179
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-18 00:00:00.000000,0.01581630,0.04350609,0.07811541,31,85,153,15,44,89,0.00774580,0.02287107,0.04586516,0.25043556,0.34709507,0.50275095
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-19 00:00:00.000000,0.01722030,0.04666540,0.08061820,33,91,158,16,48,91,0.00841256,0.02452965,0.04658591,0.25031028,0.34689565,0.50263418
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-20 00:00:00.000000,0.01863796,0.04901052,0.08315007,36,96,163,18,51,93,0.00926303,0.02605367,0.04749195,0.25007700,0.34656564,0.50241008
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-21 00:00:00.000000,0.01974443,0.05144174,0.08505561,38,100,166,20,54,95,0.01023333,0.02759085,0.04848877,0.24851261,0.34457076,0.50197996
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-22 00:00:00.000000,0.02128000,0.05260671,0.08591805,41,103,168,22,56,97,0.01122381,0.02863937,0.04949508,0.24710523,0.34072424,0.50115284
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-23 00:00:00.000000,0.02300807,0.05342484,0.08770575,45,104,172,24,59,99,0.01231119,0.03011220,0.05047468,0.24734042,0.33636898,0.49951898
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-24 00:00:00.000000,0.02603219,0.05504886,0.08942485,51,107,175,26,60,100,0.01345152,0.03071107,0.05147312,0.23736095,0.32889977,0.49260978
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-25 00:00:00.000000,0.02814664,0.05600742,0.09098378,55,109,178,28,61,102,0.01462078,0.03149812,0.05245270,0.23140682,0.31063422,0.48406898
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-26 00:00:00.000000,0.02929478,0.05757949,0.09229465,57,112,181,31,64,104,0.01580389,0.03311542,0.05335931,0.22486771,0.29635208,0.47610557
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-27 00:00:00.000000,0.02922792,0.05919023,0.09321571,57,116,182,31,66,107,0.01623724,0.03367185,0.05460915,0.21655913,0.28547413,0.46446207
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-28 00:00:00.000000,0.02899598,0.05902087,0.09588789,56,115,188,34,66,111,0.01783275,0.03373335,0.05703094,0.19852285,0.27496066,0.44374145
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-29 00:00:00.000000,0.02989201,0.06002929,0.09548274,58,117,187,35,66,114,0.01832086,0.03375205,0.05817461,0.19323914,0.26401290,0.41864881
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-30 00:00:00.000000,0.03097800,0.06061222,0.09320043,60,118,182,36,65,116,0.01855322,0.03346371,0.05920646,0.18526689,0.25484899,0.40508585
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-03-31 00:00:00.000000,0.03203628,0.06042595,0.09112930,62,118,178,36,66,114,0.01864632,0.03413846,0.05852958,0.17787119,0.24427977,0.37810333
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-04-01 00:00:00.000000,0.03235523,0.05973465,0.08969969,63,117,175,36,67,111,0.01865667,0.03427315,0.05696768,0.16018885,0.23931148,0.33809324
0,2401,CanadaQuebecBas-Saint-Laurent,Quebec,Bas-Saint-Laurent,2020-12-03 14:06:33.973684,2020-04-02 00:00:00.000000,0.03184906,0.05969906,0.08818304,62,117,172,37,68,108,0.01896272,0.03488783,0.05555170,0.14641331,0.23032643,0.32165236
