FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-09 00:00:00.000000,0.00194689,0.01569541,0.05414244,0,2,9,0,1,4,0.00109032,0.00941522,0.02799902,0.35260534,0.49523066,0.63810286
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-10 00:00:00.000000,0.00231842,0.01742517,0.05596729,0,2,9,0,1,4,0.00106657,0.00878029,0.02808533,0.35260395,0.49522901,0.63810278
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-11 00:00:00.000000,0.00270490,0.01891589,0.05791241,0,3,9,0,1,4,0.00114124,0.00894573,0.02827048,0.35260090,0.49522530,0.63810254
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-12 00:00:00.000000,0.00309990,0.02004433,0.06258280,0,3,10,0,1,5,0.00128557,0.00945841,0.02931479,0.35259425,0.49521703,0.63810189
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-13 00:00:00.000000,0.00351033,0.02165679,0.06749527,0,3,11,0,1,5,0.00145731,0.01026807,0.03156387,0.35257975,0.49451689,0.63810006
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-14 00:00:00.000000,0.00394400,0.02351184,0.07250646,0,4,12,0,1,5,0.00164853,0.01116048,0.03434378,0.35254812,0.49425460,0.63809496
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-15 00:00:00.000000,0.00440303,0.02526731,0.07757702,0,4,13,0,2,6,0.00185588,0.01183966,0.03730715,0.35247917,0.49198225,0.63808077
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-16 00:00:00.000000,0.01080698,0.03569227,0.09550182,1,6,16,0,2,6,0.00207846,0.01244179,0.04037801,0.35059566,0.48965485,0.63804133
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-17 00:00:00.000000,0.01669588,0.04612344,0.11124710,2,7,18,0,2,7,0.00379898,0.01598486,0.04533171,0.33020405,0.47823605,0.63764039
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-18 00:00:00.000000,0.02283421,0.05620079,0.12788324,3,9,21,1,3,8,0.00620315,0.02034090,0.05145415,0.30498901,0.46286087,0.63373495
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-19 00:00:00.000000,0.02917323,0.06874718,0.14552160,4,11,24,1,4,9,0.00926172,0.02452699,0.05850961,0.29850312,0.44027984,0.63545940
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-20 00:00:00.000000,0.03416732,0.08237377,0.16426265,5,14,28,2,5,11,0.01216278,0.03099776,0.06637545,0.28342201,0.42584406,0.63769181
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-21 00:00:00.000000,0.03955928,0.09628555,0.18417897,6,16,31,2,6,12,0.01512395,0.03654853,0.07498120,0.26324548,0.40781300,0.63664898
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-22 00:00:00.000000,0.04596008,0.10940998,0.20197816,7,18,34,3,7,14,0.01763161,0.04384820,0.08428530,0.24891310,0.38046960,0.63044532
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-23 00:00:00.000000,0.06872017,0.12835973,0.21612782,11,21,36,3,8,16,0.02025576,0.05027688,0.09426703,0.23566009,0.34868293,0.61297508
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-24 00:00:00.000000,0.07982737,0.14700005,0.23041446,13,25,39,4,10,18,0.02877131,0.05934278,0.10568884,0.22098807,0.33128011,0.60439436
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-25 00:00:00.000000,0.09576917,0.16462448,0.24498676,16,28,41,5,12,19,0.03392071,0.07156244,0.11571541,0.20392724,0.30517892,0.58541102
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-26 00:00:00.000000,0.11116025,0.19060049,0.26134497,18,32,44,6,13,21,0.03812571,0.08198892,0.12446086,0.18415574,0.28675411,0.54850447
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-27 00:00:00.000000,0.11913000,0.20856936,0.28485588,20,35,48,8,15,22,0.04703954,0.09325361,0.13264893,0.16241005,0.27392669,0.50377280
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-28 00:00:00.000000,0.12658952,0.22021135,0.29929003,21,37,51,9,17,23,0.05627208,0.10266603,0.14019904,0.15142500,0.26096660,0.47464379
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-29 00:00:00.000000,0.13335111,0.22999941,0.32302578,22,39,55,10,19,25,0.06185009,0.11150021,0.14696953,0.14710430,0.23508896,0.47078507
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-30 00:00:00.000000,0.14426684,0.23711318,0.33438518,24,40,57,11,21,27,0.06573125,0.12315963,0.16193025,0.12585430,0.22404699,0.45931832
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-03-31 00:00:00.000000,0.15478934,0.24581236,0.34064195,26,41,58,12,22,29,0.07129995,0.12947769,0.17125100,0.11995555,0.21850513,0.42539849
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-04-01 00:00:00.000000,0.16247324,0.25565629,0.34415884,27,43,58,13,22,30,0.07646542,0.13330727,0.18075988,0.11236948,0.20785013,0.37927268
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-04-02 00:00:00.000000,0.16316041,0.25843158,0.34746402,27,44,59,13,23,32,0.08013917,0.13734029,0.18955607,0.10664760,0.19321079,0.37371732
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-04-03 00:00:00.000000,0.16379147,0.25624805,0.35169918,27,43,60,14,23,32,0.08353801,0.13954890,0.19280080,0.10289432,0.18435151,0.35866103
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-04-04 00:00:00.000000,0.16419672,0.25550357,0.35293661,28,43,60,14,23,33,0.08577768,0.14056384,0.19885814,0.09675117,0.16830931,0.28753419
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-04-05 00:00:00.000000,0.16460188,0.25316207,0.34985243,28,43,59,14,23,34,0.08771951,0.14040557,0.20427898,0.09189302,0.15914929,0.27144724
0,2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-03 13:52:40.784561,2020-04-06 00:00:00.000000,0.15800462,0.24406298,0.34270188,26,41,58,15,23,35,0.08945593,0.13656796,0.20851765,0.08597268,0.15096956,0.26858989
