FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-11-25 16:07:29.634513,2020-07-30 00:00:00.000000,0.00250834,0.00790416,0.01866806,2,7,18,0,3,8,0.00079414,0.00362119,0.00911843,0.32755922,0.50684942,0.71525679
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-11-25 16:07:29.634513,2020-07-31 00:00:00.000000,0.00391373,0.01021589,0.02168528,3,9,21,0,3,9,0.00094024,0.00395387,0.00939153,0.32755920,0.50685410,0.71524321
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-11-25 16:07:29.634513,2020-08-01 00:00:00.000000,0.00536983,0.01259657,0.02411674,5,12,23,1,4,9,0.00134040,0.00441799,0.01013933,0.32755913,0.50686512,0.71522354
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-11-25 16:07:29.634513,2020-08-02 00:00:00.000000,0.00691556,0.01523598,0.02818012,6,14,27,1,5,11,0.00172511,0.00525333,0.01144439,0.32755894,0.50689102,0.71519305
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-11-25 16:07:29.634513,2020-08-03 00:00:00.000000,0.00856861,0.01782229,0.03321114,8,17,32,2,6,12,0.00246880,0.00619225,0.01307594,0.32755836,0.50695170,0.71514176
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-11-25 16:07:29.634513,2020-08-04 00:00:00.000000,0.01034724,0.02065327,0.03826254,10,20,37,3,7,15,0.00318105,0.00738506,0.01549636,0.32755664,0.50674948,0.71504804
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-11-25 16:07:29.634513,2020-08-05 00:00:00.000000,0.01189189,0.02369518,0.04581733,11,23,44,3,8,17,0.00398205,0.00852374,0.01780271,0.32755157,0.50492218,0.71486406
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-11-25 16:07:29.634513,2020-08-06 00:00:00.000000,0.01388229,0.02744258,0.05093941,13,26,49,4,9,19,0.00487062,0.00996451,0.02044275,0.32753652,0.50466240,0.71414832
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-11-25 16:07:29.634513,2020-08-07 00:00:00.000000,0.01600048,0.03159888,0.05664621,15,30,55,5,11,23,0.00595202,0.01164153,0.02415293,0.32749196,0.50037946,0.71071777
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-11-25 16:07:29.634513,2020-08-08 00:00:00.000000,0.01827623,0.03555994,0.06936207,17,34,67,6,13,27,0.00699060,0.01353171,0.02777927,0.32736043,0.49271901,0.70575897
