FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-07-30 00:00:00.000000,0.01442785,0.03436119,0.05983509,5,12,21,2,5,12,0.00622747,0.01534531,0.03302386,0.28012287,0.38831084,0.58376153
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-07-31 00:00:00.000000,0.01773608,0.04269634,0.07278978,6,15,26,2,5,12,0.00657577,0.01624631,0.03310270,0.28012287,0.38830095,0.58376078
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-01 00:00:00.000000,0.02134210,0.05094058,0.09647032,7,18,35,3,7,12,0.00861608,0.01927096,0.03504481,0.28012287,0.38828198,0.58375861
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-02 00:00:00.000000,0.02503033,0.05965394,0.11629885,9,21,42,3,8,14,0.01054778,0.02212052,0.03980427,0.28012287,0.38816441,0.58375218
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-03 00:00:00.000000,0.02893799,0.06904540,0.13641341,10,25,49,4,9,16,0.01252920,0.02559442,0.04524740,0.28012288,0.38779525,0.58373218
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-04 00:00:00.000000,0.03309632,0.07913983,0.15677461,12,28,57,5,10,20,0.01464228,0.03004977,0.05571927,0.28012294,0.38715462,0.58345206
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-05 00:00:00.000000,0.03753541,0.08906164,0.17737064,13,32,64,6,12,24,0.01749442,0.03459333,0.06818627,0.28012334,0.38605302,0.58083421
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-06 00:00:00.000000,0.05166367,0.10296342,0.18484731,18,37,67,7,14,29,0.01954647,0.03959740,0.08033347,0.27664401,0.38471925,0.57170386
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-07 00:00:00.000000,0.06243432,0.11544731,0.19252545,22,42,70,8,16,31,0.02360385,0.04509470,0.08774790,0.27204920,0.38415533,0.56279088
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-08 00:00:00.000000,0.07675761,0.12485029,0.20970961,27,45,76,10,18,35,0.02909905,0.05123542,0.09760852,0.27170732,0.38144743,0.54942463
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-09 00:00:00.000000,0.08748342,0.13550141,0.23144723,31,49,84,12,21,38,0.03352138,0.05847339,0.10529957,0.26301712,0.37150401,0.51720096
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-10 00:00:00.000000,0.09287358,0.14468675,0.24788911,33,52,90,13,23,40,0.03775810,0.06535890,0.11105294,0.22558797,0.35570589,0.49171556
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-11 00:00:00.000000,0.09769354,0.15668800,0.25666606,35,57,93,15,26,42,0.04151851,0.07169388,0.11614129,0.21491094,0.33872184,0.47643992
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-12 00:00:00.000000,0.10531508,0.16951777,0.26500297,38,61,96,16,28,44,0.04522486,0.07784537,0.12180027,0.20596017,0.32183357,0.47135974
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-13 00:00:00.000000,0.10817736,0.17139530,0.27035503,39,62,98,18,30,48,0.05056450,0.08379969,0.13405668,0.19886641,0.31245783,0.44757446
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-14 00:00:00.000000,0.11046896,0.17687913,0.27526858,40,64,100,19,32,51,0.05312447,0.08914870,0.14242939,0.19311605,0.30344242,0.40945825
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-15 00:00:00.000000,0.10997471,0.17985693,0.27973591,40,65,101,20,33,53,0.05496898,0.09106233,0.14635199,0.18870021,0.28877473,0.37348716
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-16 00:00:00.000000,0.10897549,0.18120343,0.28390028,39,66,103,20,33,55,0.05644878,0.09173290,0.15242162,0.18528252,0.27019269,0.35944084
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-17 00:00:00.000000,0.10813896,0.18394251,0.28782002,39,67,104,21,33,57,0.05763871,0.09309332,0.15798764,0.17234272,0.25604748,0.33235932
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-18 00:00:00.000000,0.10764020,0.18464749,0.29500242,39,67,107,21,34,59,0.05860653,0.09454402,0.16310841,0.15753963,0.24539538,0.32673929
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-19 00:00:00.000000,0.10506254,0.18216072,0.30640799,38,66,111,21,34,61,0.05940822,0.09572506,0.16800949,0.14423774,0.23652614,0.31353931
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-20 00:00:00.000000,0.11044139,0.18557307,0.32231221,40,67,117,21,35,63,0.06008888,0.09654364,0.17285743,0.14380542,0.22904039,0.31080871
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-21 00:00:00.000000,0.11584066,0.19244450,0.33692633,42,70,122,22,35,65,0.06166522,0.09786025,0.17848239,0.14374245,0.22308622,0.31023609
0,4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-10 12:01:57.091114,2020-08-22 00:00:00.000000,0.12161273,0.19647145,0.34743934,44,71,126,23,36,67,0.06320459,0.09971554,0.18462619,0.14362642,0.21673877,0.30556655
