FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-07-30 00:00:00.000000,0.00137536,0.00717929,0.02470597,0,1,5,0,0,3,0.00089114,0.00402179,0.01410216,0.35686740,0.46427922,0.69094396
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-07-31 00:00:00.000000,0.00164845,0.00781128,0.02739721,0,1,6,0,0,3,0.00088898,0.00403888,0.01367635,0.35686653,0.46427922,0.69094396
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-01 00:00:00.000000,0.00192359,0.00861757,0.03003971,0,2,7,0,0,3,0.00094073,0.00411303,0.01397454,0.35686521,0.46427922,0.69094396
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-02 00:00:00.000000,0.00220657,0.00950317,0.03270599,0,2,7,0,1,3,0.00102811,0.00440359,0.01483141,0.35686323,0.46427921,0.69094394
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-03 00:00:00.000000,0.00250171,0.01049031,0.03544833,0,2,8,0,1,3,0.00113960,0.00465871,0.01584336,0.35686025,0.46427919,0.69094385
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-04 00:00:00.000000,0.00281249,0.01153916,0.03830615,0,2,9,0,1,3,0.00123096,0.00492376,0.01698182,0.35685582,0.46427911,0.69094351
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-05 00:00:00.000000,0.00314194,0.01245600,0.04131082,0,2,9,0,1,4,0.00131359,0.00522846,0.01823099,0.35684936,0.46427875,0.69094242
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-06 00:00:00.000000,0.00349289,0.01340297,0.04448882,0,3,10,0,1,4,0.00139072,0.00564210,0.01958105,0.35684048,0.46427724,0.69093903
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-07 00:00:00.000000,0.00374249,0.01447676,0.04786375,0,3,11,0,1,4,0.00147389,0.00614513,0.02101968,0.35683047,0.46252079,0.69092866
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-08 00:00:00.000000,0.00395922,0.01560647,0.05145767,0,3,12,0,1,5,0.00156232,0.00667342,0.02252314,0.35682920,0.45574621,0.69089718
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-09 00:00:00.000000,0.00419290,0.01686257,0.05529163,0,3,12,0,1,5,0.00165592,0.00722381,0.02406606,0.35144130,0.44836341,0.69080196
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-10 00:00:00.000000,0.00445323,0.01816043,0.05938252,1,4,13,0,1,6,0.00175542,0.00779213,0.02564347,0.34222960,0.44220624,0.69051523
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-11 00:00:00.000000,0.00475650,0.01946911,0.06343472,1,4,14,0,1,6,0.00186274,0.00837339,0.02726664,0.34008253,0.42688008,0.68966152
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-12 00:00:00.000000,0.00511635,0.02079973,0.06728434,1,4,15,0,2,6,0.00198139,0.00897816,0.02927168,0.32246770,0.42101142,0.68720598
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-13 00:00:00.000000,0.00553896,0.02210183,0.07153580,1,5,16,0,2,7,0.00211605,0.00965120,0.03142680,0.31297258,0.42260139,0.68078676
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-14 00:00:00.000000,0.00602209,0.02328886,0.07613580,1,5,17,0,2,7,0.00227092,0.01024958,0.03370858,0.30980354,0.42296302,0.66728613
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-15 00:00:00.000000,0.00641416,0.02456014,0.08099236,1,5,19,0,2,8,0.00244964,0.01083417,0.03613145,0.29353063,0.42109879,0.64644233
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-16 00:00:00.000000,0.00681153,0.02619633,0.08587543,1,6,20,0,2,9,0.00265280,0.01155446,0.03870944,0.28682388,0.40738948,0.63609901
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-17 00:00:00.000000,0.00720483,0.02718804,0.09049703,1,6,21,0,2,9,0.00288191,0.01232367,0.04145351,0.28512039,0.39305479,0.63673658
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-18 00:00:00.000000,0.00758565,0.02825823,0.09509653,1,6,22,0,3,10,0.00313867,0.01308588,0.04436000,0.27139496,0.37828020,0.63808437
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-19 00:00:00.000000,0.00795469,0.02903386,0.09983398,1,6,23,0,3,11,0.00342490,0.01379657,0.04733375,0.27044214,0.37417969,0.63990190
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-20 00:00:00.000000,0.00831991,0.02980376,0.10477073,1,7,24,0,3,11,0.00374247,0.01444485,0.05007461,0.27025400,0.36314036,0.64098219
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-21 00:00:00.000000,0.00868955,0.03062928,0.10994366,2,7,25,0,3,12,0.00393436,0.01501171,0.05247671,0.27059319,0.35809000,0.64046582
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-22 00:00:00.000000,0.00906908,0.03202584,0.11437790,2,7,26,0,3,12,0.00412560,0.01551292,0.05461259,0.26651275,0.35774113,0.63768363
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-23 00:00:00.000000,0.00946118,0.03276310,0.11694618,2,7,27,1,3,13,0.00431855,0.01579221,0.05654974,0.26364596,0.35652299,0.62987590
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-24 00:00:00.000000,0.00986263,0.03354843,0.11916942,2,7,28,1,3,14,0.00451484,0.01609409,0.06035758,0.27129924,0.35049270,0.61114271
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-25 00:00:00.000000,0.01024059,0.03437336,0.12107156,2,8,28,1,3,15,0.00471500,0.01665476,0.06446083,0.26745015,0.35041020,0.57553992
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-26 00:00:00.000000,0.01056400,0.03515528,0.12278232,2,8,28,1,4,16,0.00491405,0.01739874,0.06880452,0.26758043,0.34968108,0.55521056
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-27 00:00:00.000000,0.01458910,0.04143115,0.13538191,3,9,31,1,4,17,0.00510338,0.01810320,0.07332860,0.26447740,0.34922070,0.55236965
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-28 00:00:00.000000,0.02008309,0.05084966,0.14833387,4,11,34,1,4,18,0.00587926,0.02006843,0.07916406,0.26247578,0.34500695,0.55139355
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-29 00:00:00.000000,0.02423978,0.06001363,0.16179114,5,14,38,1,5,20,0.00708125,0.02299792,0.08594877,0.26098752,0.34091452,0.55118692
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-30 00:00:00.000000,0.02909866,0.06749689,0.17581962,6,15,41,2,6,21,0.00924962,0.02615289,0.09348259,0.25698114,0.33945355,0.55138442
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-08-31 00:00:00.000000,0.03457238,0.07397003,0.19041588,8,17,44,2,6,23,0.01149307,0.02940590,0.10139824,0.24289582,0.34244207,0.55171579
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-09-01 00:00:00.000000,0.03866536,0.08204578,0.20553315,9,19,48,3,8,25,0.01299565,0.03447010,0.10848533,0.23080815,0.34294829,0.55191593
0,4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-14 16:34:30.884302,2020-09-02 00:00:00.000000,0.04305150,0.08910071,0.22109724,10,20,51,3,8,27,0.01464700,0.03765297,0.11586561,0.22466469,0.34587593,0.53931177
