FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-07-30 00:00:00.000000,0.00334681,0.01352791,0.03003432,1,5,12,0,2,5,0.00061553,0.00587292,0.01383578,0.28663167,0.40258145,0.58337655
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-07-31 00:00:00.000000,0.00478533,0.01696122,0.03535992,1,6,14,0,2,5,0.00101074,0.00598637,0.01418379,0.28665021,0.40252063,0.58337652
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-01 00:00:00.000000,0.00606630,0.02012691,0.04063147,2,8,16,0,2,6,0.00160535,0.00723168,0.01533851,0.28667756,0.40244109,0.58337640
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-02 00:00:00.000000,0.00726098,0.02385271,0.04722219,2,9,19,0,3,7,0.00205301,0.00857817,0.01717100,0.28671743,0.40233710,0.58337602
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-03 00:00:00.000000,0.00848265,0.02797901,0.05416214,3,11,22,0,4,8,0.00244742,0.00990107,0.02007072,0.28800616,0.40220105,0.58337483
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-04 00:00:00.000000,0.00973750,0.03233305,0.06105636,3,13,24,1,4,9,0.00290256,0.01134462,0.02371776,0.29113232,0.40202232,0.58337105
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-05 00:00:00.000000,0.01103070,0.03641284,0.06789629,4,14,27,1,5,11,0.00340598,0.01287062,0.02752511,0.29140319,0.40178369,0.58335901
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-06 00:00:00.000000,0.01284353,0.04120995,0.07272493,5,16,29,1,6,12,0.00394939,0.01482757,0.03146303,0.29140329,0.39427854,0.58332079
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-07 00:00:00.000000,0.01364899,0.04600896,0.07834743,5,18,31,1,6,14,0.00464606,0.01664347,0.03491207,0.29140343,0.38562593,0.58319953
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-08 00:00:00.000000,0.01635922,0.05143910,0.08800278,6,20,35,2,7,15,0.00546223,0.01897235,0.03811205,0.29140193,0.37737114,0.58281636
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-09 00:00:00.000000,0.01952267,0.05567786,0.09744058,7,22,39,2,8,16,0.00636397,0.02104915,0.04120119,0.27721639,0.37235331,0.58162316
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-10 00:00:00.000000,0.02272175,0.06010235,0.10691776,9,24,43,2,9,18,0.00733377,0.02357646,0.04425906,0.26657591,0.35882328,0.56968243
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-11 00:00:00.000000,0.02519870,0.06493221,0.11651853,10,26,47,3,10,19,0.00836632,0.02618749,0.04732560,0.25209665,0.35102396,0.54425778
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-12 00:00:00.000000,0.02786548,0.07028985,0.12652653,11,28,51,3,11,21,0.00945010,0.02848211,0.05159135,0.23975255,0.34056351,0.51649278
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-13 00:00:00.000000,0.03088656,0.07581388,0.13119945,12,30,53,4,12,22,0.01058373,0.03091764,0.05484286,0.23283826,0.33458950,0.51558508
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-14 00:00:00.000000,0.03415348,0.08032513,0.14092264,13,32,57,4,13,24,0.01183855,0.03340151,0.05883922,0.23138588,0.32501612,0.51613257
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-15 00:00:00.000000,0.03749835,0.08448468,0.14624517,15,34,59,5,14,25,0.01319169,0.03601118,0.06264517,0.21874647,0.31869560,0.51330739
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-16 00:00:00.000000,0.04091020,0.08677393,0.16026720,16,35,65,5,15,27,0.01462703,0.03869741,0.06654419,0.21098442,0.31379615,0.51063095
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-17 00:00:00.000000,0.04373795,0.09046584,0.17170019,17,36,70,6,16,28,0.01613184,0.04060734,0.07036567,0.20738588,0.30364584,0.49276927
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-18 00:00:00.000000,0.04677169,0.09526957,0.18234504,19,38,74,7,17,30,0.01769429,0.04292426,0.07472873,0.19980928,0.29591582,0.46502324
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-19 00:00:00.000000,0.05008566,0.09828853,0.19290359,20,40,78,7,18,32,0.01919810,0.04519961,0.08005094,0.19439356,0.29050918,0.46383200
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-20 00:00:00.000000,0.05224801,0.09916435,0.19515974,21,40,79,8,19,35,0.02062769,0.04801842,0.08714760,0.18673605,0.28731209,0.46382858
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-21 00:00:00.000000,0.05360919,0.10088473,0.19636603,21,41,80,8,20,38,0.02195521,0.04966149,0.09372427,0.18377018,0.28699950,0.45669099
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-22 00:00:00.000000,0.05337323,0.10344577,0.20272403,21,42,82,9,21,40,0.02324278,0.05149537,0.09987256,0.18257396,0.28922817,0.46074248
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-23 00:00:00.000000,0.05518075,0.10613185,0.20556630,22,43,83,9,21,41,0.02447982,0.05275396,0.10284784,0.18264795,0.28282385,0.44457706
0,4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-08-24 00:00:00.000000,0.05709093,0.10849601,0.20709599,23,44,84,10,21,42,0.02537554,0.05280776,0.10478638,0.18076001,0.28817908,0.44071200
