FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-07-30 00:00:00.000000,0.00404475,0.00686357,0.01081384,13,23,37,4,10,17,0.00142996,0.00305869,0.00492564,0.25888871,0.44283358,0.62783333
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-07-31 00:00:00.000000,0.00497683,0.00870446,0.01281676,17,30,44,5,11,18,0.00168618,0.00322303,0.00524978,0.25888874,0.44291959,0.62780212
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-01 00:00:00.000000,0.00596073,0.01081091,0.01536982,20,37,53,7,12,21,0.00211391,0.00371648,0.00607352,0.25888880,0.44304968,0.62771229
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-02 00:00:00.000000,0.00702187,0.01309509,0.01820842,24,45,63,8,15,23,0.00245812,0.00435650,0.00683103,0.25888892,0.44324572,0.62744232
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-03 00:00:00.000000,0.00818079,0.01510365,0.02170730,28,52,75,9,18,26,0.00288764,0.00537213,0.00774603,0.25888919,0.44353954,0.62660689
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-04 00:00:00.000000,0.00945168,0.01707982,0.02535974,32,59,87,11,22,32,0.00345056,0.00645951,0.00937659,0.25888981,0.44397626,0.62399556
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-05 00:00:00.000000,0.01084038,0.01923069,0.02918619,37,66,100,14,25,39,0.00407985,0.00748352,0.01147481,0.25889136,0.44461739,0.61605373
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-06 00:00:00.000000,0.01199349,0.02092277,0.03098290,41,72,107,16,29,45,0.00477585,0.00865334,0.01320861,0.25889562,0.44554122,0.59460906
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-07 00:00:00.000000,0.01282350,0.02291544,0.03311185,44,79,114,19,33,52,0.00554005,0.00967541,0.01512349,0.25890826,0.44472180,0.58788440
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-08 00:00:00.000000,0.01357842,0.02470199,0.03655071,46,85,126,21,36,59,0.00622375,0.01058179,0.01720244,0.25880072,0.43778906,0.58481217
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-09 00:00:00.000000,0.01450945,0.02656933,0.03996232,50,91,138,23,40,67,0.00667003,0.01157986,0.01942156,0.25867376,0.41921016,0.57429116
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-10 00:00:00.000000,0.01552320,0.02840131,0.04326665,53,98,149,24,43,75,0.00711913,0.01257021,0.02174616,0.25155566,0.40069547,0.53176668
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-11 00:00:00.000000,0.01639671,0.02981829,0.04659194,56,103,161,26,47,82,0.00778018,0.01362131,0.02387555,0.24662558,0.38180315,0.51201015
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-12 00:00:00.000000,0.01730469,0.03140066,0.04983441,59,108,172,28,51,88,0.00827910,0.01473900,0.02557619,0.23334305,0.37044022,0.47725135
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-13 00:00:00.000000,0.01858541,0.03347315,0.05345710,64,115,184,30,54,94,0.00882577,0.01572274,0.02726860,0.22525412,0.34891767,0.45464684
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-10-28 02:22:34.630631,2020-08-14 00:00:00.000000,0.01988767,0.03527420,0.05705893,68,122,197,32,58,99,0.00943156,0.01681804,0.02875597,0.21830031,0.33548972,0.44040401
