FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaYukon,Yukon,,2020-12-01 13:12:04.242100,2020-03-09 00:00:00.000000,0.00075476,0.00928506,0.02665809,0,3,10,0,2,6,0.00048453,0.00520644,0.01575966,0.35091321,0.50390920,0.66450986
0,0,CanadaYukon,Yukon,,2020-12-01 13:12:04.242100,2020-03-10 00:00:00.000000,0.00075660,0.01003292,0.02932273,0,4,12,0,2,6,0.00046193,0.00506300,0.01630881,0.35091163,0.50386082,0.66178751
0,0,CanadaYukon,Yukon,,2020-12-01 13:12:04.242100,2020-03-11 00:00:00.000000,0.00077429,0.01094543,0.03226287,0,4,13,0,2,7,0.00046866,0.00532641,0.01774808,0.35090799,0.50376984,0.66038707
0,0,CanadaYukon,Yukon,,2020-12-01 13:12:04.242100,2020-03-12 00:00:00.000000,0.00080047,0.01189465,0.03550068,0,4,14,0,2,8,0.00048727,0.00575733,0.01952941,0.35089957,0.50359878,0.66038483
0,0,CanadaYukon,Yukon,,2020-12-01 13:12:04.242100,2020-03-13 00:00:00.000000,0.00083189,0.01294018,0.03906275,0,5,16,0,2,8,0.00051083,0.00622542,0.02077168,0.35088007,0.50327724,0.66037572
0,0,CanadaYukon,Yukon,,2020-12-01 13:12:04.242100,2020-03-14 00:00:00.000000,0.00086703,0.01382346,0.04200075,0,5,17,0,2,9,0.00053667,0.00668393,0.02208247,0.35083494,0.50267358,0.66033777
0,0,CanadaYukon,Yukon,,2020-12-01 13:12:04.242100,2020-03-15 00:00:00.000000,0.00090517,0.01473424,0.04453866,0,6,18,0,2,9,0.00056382,0.00721116,0.02347944,0.34657574,0.50154362,0.66017773
0,0,CanadaYukon,Yukon,,2020-12-01 13:12:04.242100,2020-03-16 00:00:00.000000,0.00461608,0.02006530,0.05215491,1,8,21,0,3,10,0.00059200,0.00768079,0.02495123,0.34638252,0.49530795,0.65949975
0,0,CanadaYukon,Yukon,,2020-12-01 13:12:04.242100,2020-03-17 00:00:00.000000,0.00650368,0.02538218,0.05992549,2,10,24,0,3,11,0.00168450,0.00946478,0.02783398,0.34360305,0.49233986,0.65831870
0,0,CanadaYukon,Yukon,,2020-12-01 13:12:04.242100,2020-03-18 00:00:00.000000,0.00849998,0.03175098,0.06818992,3,13,28,0,4,12,0.00236500,0.01196243,0.03158140,0.33613614,0.48501352,0.65707502
