FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-09 00:00:00.000000,0.00000452,0.00001562,0.00004323,1,4,13,0,2,7,0.00000237,0.00000833,0.00002336,0.36919467,0.47500089,0.59917853
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-10 00:00:00.000000,0.00000475,0.00001665,0.00004370,1,5,13,0,2,6,0.00000241,0.00000803,0.00002205,0.36919456,0.47499493,0.59917794
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-11 00:00:00.000000,0.00000500,0.00001726,0.00004436,1,5,13,0,2,6,0.00000255,0.00000854,0.00002176,0.36919423,0.47459914,0.59917659
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-12 00:00:00.000000,0.00000509,0.00001872,0.00004514,1,5,14,0,2,7,0.00000273,0.00000922,0.00002362,0.36919327,0.47277995,0.59917342
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-13 00:00:00.000000,0.00000536,0.00002003,0.00004628,1,6,14,0,3,7,0.00000296,0.00000967,0.00002554,0.36919046,0.47216223,0.59916596
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-14 00:00:00.000000,0.00000571,0.00002171,0.00004945,1,6,15,0,3,8,0.00000311,0.00001020,0.00002752,0.36898244,0.47214372,0.59914831
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-15 00:00:00.000000,0.00000597,0.00002286,0.00005279,1,7,16,1,3,9,0.00000327,0.00001101,0.00002957,0.35625642,0.47211356,0.59910635
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-16 00:00:00.000000,0.00001488,0.00003076,0.00006211,4,9,19,1,3,9,0.00000341,0.00001186,0.00003171,0.31712100,0.47050552,0.59900620
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-17 00:00:00.000000,0.00002000,0.00004193,0.00007190,6,13,22,1,4,11,0.00000643,0.00001489,0.00003570,0.31310777,0.46509257,0.59876637
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-18 00:00:00.000000,0.00002420,0.00005094,0.00008464,7,15,26,2,6,12,0.00000869,0.00001936,0.00004079,0.31040501,0.44386887,0.59818889
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-19 00:00:00.000000,0.00002935,0.00006000,0.00009787,9,18,30,3,7,14,0.00001127,0.00002523,0.00004660,0.30454501,0.42906767,0.59678241
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-20 00:00:00.000000,0.00003492,0.00006679,0.00011147,10,20,34,4,8,16,0.00001411,0.00002891,0.00005291,0.26418724,0.42014005,0.58373087
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-21 00:00:00.000000,0.00004056,0.00007751,0.00012527,12,24,38,5,10,18,0.00001617,0.00003434,0.00005948,0.25466510,0.38735633,0.56011861
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-22 00:00:00.000000,0.00004608,0.00008745,0.00014074,14,27,43,5,12,20,0.00001888,0.00003900,0.00006588,0.24402592,0.33871745,0.49774112
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-23 00:00:00.000000,0.00004856,0.00009174,0.00014533,15,28,45,6,13,24,0.00002163,0.00004412,0.00007800,0.20682630,0.32012693,0.48823370
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-24 00:00:00.000000,0.00005200,0.00009614,0.00015122,16,29,46,7,14,26,0.00002359,0.00004777,0.00008500,0.17561250,0.30728165,0.47239538
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-25 00:00:00.000000,0.00005584,0.00009922,0.00015270,17,30,47,7,15,28,0.00002509,0.00005024,0.00009077,0.16997685,0.28989339,0.46247230
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-26 00:00:00.000000,0.00005930,0.00010235,0.00015598,18,31,48,8,16,29,0.00002658,0.00005301,0.00009381,0.16928881,0.27160385,0.39693183
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-27 00:00:00.000000,0.00006180,0.00010553,0.00015980,19,32,49,8,16,30,0.00002766,0.00005458,0.00009808,0.16787636,0.24500036,0.34283962
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-28 00:00:00.000000,0.00006169,0.00010769,0.00015984,19,33,49,8,17,31,0.00002860,0.00005659,0.00010215,0.15407800,0.22257849,0.30778538
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-29 00:00:00.000000,0.00006227,0.00010792,0.00015753,19,33,48,9,18,32,0.00002943,0.00005886,0.00010457,0.13230274,0.20991790,0.29322662
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-30 00:00:00.000000,0.00006088,0.00010378,0.00015448,18,32,47,9,18,32,0.00003019,0.00005926,0.00010533,0.13196846,0.19951295,0.27787772
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-03-31 00:00:00.000000,0.00005933,0.00009955,0.00015179,18,30,47,9,17,32,0.00003022,0.00005764,0.00010461,0.13178994,0.19384715,0.26926379
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-04-01 00:00:00.000000,0.00005752,0.00009516,0.00014681,17,29,45,9,17,31,0.00002981,0.00005593,0.00010288,0.13118406,0.18539246,0.26474301
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-04-02 00:00:00.000000,0.00005558,0.00009028,0.00014172,17,28,43,9,17,31,0.00002914,0.00005501,0.00010021,0.12623483,0.18079106,0.26058922
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-04-03 00:00:00.000000,0.00005362,0.00008503,0.00013791,16,26,42,8,16,30,0.00002831,0.00005360,0.00009747,0.10673018,0.17325341,0.25525790
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-04-04 00:00:00.000000,0.00005169,0.00008054,0.00013621,16,24,42,8,15,29,0.00002740,0.00005142,0.00009524,0.10009281,0.16674924,0.25382427
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-04-05 00:00:00.000000,0.00004981,0.00007727,0.00013426,15,23,41,8,15,28,0.00002647,0.00004844,0.00009284,0.09933500,0.16322811,0.24264193
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-04-06 00:00:00.000000,0.00004798,0.00007383,0.00013101,14,22,40,7,14,28,0.00002553,0.00004588,0.00009131,0.09925281,0.16062749,0.24262238
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-04-07 00:00:00.000000,0.00004581,0.00006993,0.00012601,14,21,39,7,13,27,0.00002461,0.00004364,0.00008849,0.09750481,0.15425195,0.24250615
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-04-08 00:00:00.000000,0.00004306,0.00006570,0.00012324,13,20,38,7,13,26,0.00002371,0.00004204,0.00008545,0.09611072,0.15280628,0.24206553
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-04-09 00:00:00.000000,0.00003887,0.00006254,0.00012069,12,19,37,6,12,25,0.00002241,0.00004045,0.00008220,0.08799815,0.14870773,0.24041464
0,0,ChinaChongqing,Chongqing,,2020-11-25 19:08:29.085896,2020-04-10 00:00:00.000000,0.00003482,0.00005993,0.00011811,10,18,36,6,12,24,0.00002011,0.00003930,0.00007866,0.08028689,0.14215394,0.23494605
