FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-09 00:00:00.000000,0.00016628,0.00034800,0.00068756,40,84,166,17,36,66,0.00007245,0.00014860,0.00027249,0.63240873,0.79474612,0.96097941
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-10 00:00:00.000000,0.00022441,0.00041420,0.00078095,54,100,189,21,42,78,0.00008746,0.00017468,0.00032214,0.63232140,0.79474395,0.96097885
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-11 00:00:00.000000,0.00029006,0.00049289,0.00086934,70,119,210,26,50,88,0.00011013,0.00020871,0.00036658,0.63213064,0.79473857,0.96097777
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-12 00:00:00.000000,0.00034207,0.00057281,0.00095932,82,138,232,34,60,102,0.00014040,0.00024791,0.00042104,0.63117079,0.79472520,0.96097558
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-13 00:00:00.000000,0.00039669,0.00066593,0.00105764,96,161,256,39,72,116,0.00016218,0.00029796,0.00048095,0.62946687,0.79469174,0.96092325
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-14 00:00:00.000000,0.00045899,0.00076175,0.00122536,111,184,297,45,84,135,0.00018733,0.00034951,0.00055751,0.62645038,0.79460751,0.96070205
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-15 00:00:00.000000,0.00053012,0.00088360,0.00141807,128,214,343,53,98,155,0.00022240,0.00040675,0.00064330,0.62119483,0.79439405,0.94287936
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-16 00:00:00.000000,0.00061461,0.00101958,0.00162558,148,247,394,64,114,179,0.00026560,0.00047153,0.00074007,0.61612264,0.79393163,0.93996725
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-17 00:00:00.000000,0.00071086,0.00115627,0.00184605,172,280,447,77,131,205,0.00031941,0.00054222,0.00084970,0.61575349,0.78856937,0.93853124
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-18 00:00:00.000000,0.00082121,0.00131888,0.00210168,199,319,509,92,150,233,0.00038198,0.00062056,0.00096426,0.60515298,0.78200636,0.93559046
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-19 00:00:00.000000,0.00094096,0.00148452,0.00242123,228,359,586,109,171,269,0.00045326,0.00070720,0.00111149,0.55307230,0.77125181,0.92965308
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-20 00:00:00.000000,0.00107660,0.00164967,0.00274792,260,399,666,128,193,311,0.00052851,0.00080006,0.00128585,0.51598837,0.73570886,0.91660111
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-21 00:00:00.000000,0.00122350,0.00184056,0.00314259,296,446,761,144,218,356,0.00059535,0.00090177,0.00147263,0.50642613,0.68823767,0.90820292
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-22 00:00:00.000000,0.00137399,0.00202764,0.00358885,333,491,869,161,239,408,0.00066564,0.00098814,0.00168381,0.48582960,0.65369444,0.89728215
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-23 00:00:00.000000,0.00153235,0.00220712,0.00400540,371,535,970,179,262,456,0.00074187,0.00108295,0.00188330,0.42567737,0.60428063,0.83946340
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-24 00:00:00.000000,0.00167430,0.00239546,0.00437316,405,580,1060,198,290,511,0.00081865,0.00119933,0.00211064,0.39790538,0.56685002,0.76593648
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-25 00:00:00.000000,0.00181325,0.00258666,0.00469971,439,627,1139,218,322,563,0.00090050,0.00132924,0.00232451,0.36378337,0.51088686,0.68470042
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-26 00:00:00.000000,0.00188281,0.00273732,0.00499087,456,663,1209,237,345,610,0.00097802,0.00142496,0.00251761,0.33735571,0.46976349,0.60562695
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-27 00:00:00.000000,0.00194204,0.00283281,0.00526554,470,686,1276,247,370,653,0.00102101,0.00152824,0.00269408,0.31497399,0.43291022,0.57636556
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-28 00:00:00.000000,0.00198544,0.00292848,0.00553310,481,709,1341,256,391,703,0.00105910,0.00161549,0.00290302,0.29094530,0.39849921,0.56856932
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-29 00:00:00.000000,0.00201746,0.00302085,0.00569942,489,732,1381,264,406,750,0.00108975,0.00167668,0.00309549,0.25523122,0.37508693,0.53292815
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-30 00:00:00.000000,0.00203584,0.00311078,0.00588580,493,754,1426,273,418,786,0.00112715,0.00172608,0.00324431,0.24396701,0.35414542,0.47309183
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-03-31 00:00:00.000000,0.00210266,0.00316351,0.00609597,509,766,1477,282,429,793,0.00116704,0.00177231,0.00327451,0.23301905,0.33871807,0.44322719
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-01 00:00:00.000000,0.00209665,0.00316645,0.00620633,508,767,1504,286,440,824,0.00118346,0.00181648,0.00340185,0.22584199,0.32412404,0.44098815
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-02 00:00:00.000000,0.00209622,0.00317796,0.00633698,508,770,1536,285,447,850,0.00117674,0.00184458,0.00351024,0.22286897,0.31562896,0.43432468
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-03 00:00:00.000000,0.00211505,0.00318786,0.00645741,512,772,1565,283,451,875,0.00116953,0.00186448,0.00361221,0.20870645,0.30944976,0.39938427
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-04 00:00:00.000000,0.00211413,0.00317805,0.00647941,512,770,1570,282,449,895,0.00116534,0.00185409,0.00369574,0.20400078,0.30001303,0.39123727
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-05 00:00:00.000000,0.00208168,0.00313902,0.00641269,504,760,1554,279,448,911,0.00115447,0.00184947,0.00375837,0.19595114,0.29455378,0.38212234
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-06 00:00:00.000000,0.00204564,0.00308763,0.00631104,495,748,1529,274,454,905,0.00113057,0.00187321,0.00373547,0.17206417,0.28193787,0.36948386
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-07 00:00:00.000000,0.00200075,0.00301810,0.00618510,484,731,1499,264,451,896,0.00109040,0.00186170,0.00369777,0.16743388,0.26976519,0.35341517
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-08 00:00:00.000000,0.00195272,0.00294779,0.00602783,473,714,1461,259,442,886,0.00106962,0.00182739,0.00365534,0.16137202,0.26093810,0.35250965
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-09 00:00:00.000000,0.00190489,0.00289985,0.00582468,461,702,1411,254,437,875,0.00105020,0.00180535,0.00361004,0.14446733,0.24797063,0.34914613
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-10 00:00:00.000000,0.00185703,0.00281769,0.00565143,450,683,1369,250,431,863,0.00103146,0.00177957,0.00356270,0.13728422,0.22753098,0.33532082
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-11 00:00:00.000000,0.00177058,0.00270500,0.00556060,429,655,1347,243,421,851,0.00100407,0.00173921,0.00351325,0.11472604,0.21203100,0.30652695
0,0,ChinaShanghai,Shanghai,,2020-10-31 17:20:47.989794,2020-04-12 00:00:00.000000,0.00167046,0.00257795,0.00545604,404,624,1322,233,408,839,0.00096286,0.00168345,0.00346207,0.09324430,0.18740208,0.29321731
