FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-09 00:00:00.000000,0.00000555,0.00001290,0.00002429,2,6,11,0,2,4,0.00000052,0.00000417,0.00000947,0.36619605,0.50422025,0.62076385
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-10 00:00:00.000000,0.00000813,0.00001862,0.00003322,3,8,16,0,2,5,0.00000188,0.00000544,0.00001058,0.36619604,0.50401048,0.62074234
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-11 00:00:00.000000,0.00001110,0.00002401,0.00004505,5,11,21,1,3,6,0.00000277,0.00000700,0.00001333,0.36619601,0.50364368,0.62070493
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-12 00:00:00.000000,0.00001367,0.00002924,0.00005805,6,14,28,2,4,8,0.00000451,0.00000943,0.00001826,0.36619588,0.50300454,0.62064011
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-13 00:00:00.000000,0.00001626,0.00003434,0.00007169,7,16,34,2,5,11,0.00000578,0.00001222,0.00002424,0.36619540,0.50117017,0.62052821
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-14 00:00:00.000000,0.00001873,0.00003966,0.00008572,9,19,41,3,7,14,0.00000703,0.00001508,0.00003057,0.36619365,0.49963137,0.62033586
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-15 00:00:00.000000,0.00002098,0.00004466,0.00010012,10,21,48,4,8,18,0.00000836,0.00001788,0.00003737,0.36618714,0.49959296,0.62000494
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-16 00:00:00.000000,0.00002538,0.00005303,0.00010827,12,25,52,4,9,21,0.00000970,0.00002045,0.00004465,0.35030436,0.49665461,0.61942170
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-17 00:00:00.000000,0.00003023,0.00006024,0.00011628,14,29,56,5,11,24,0.00001129,0.00002346,0.00005135,0.34014440,0.48599803,0.61344871
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-18 00:00:00.000000,0.00003459,0.00006689,0.00012504,16,32,60,6,13,28,0.00001310,0.00002719,0.00005799,0.31570922,0.47410819,0.61140830
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-19 00:00:00.000000,0.00003885,0.00007396,0.00013600,18,35,65,7,15,31,0.00001491,0.00003116,0.00006450,0.27900722,0.45250913,0.60442455
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-20 00:00:00.000000,0.00004304,0.00008188,0.00014622,20,39,70,8,16,34,0.00001675,0.00003497,0.00007094,0.25464119,0.42726990,0.58276236
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-21 00:00:00.000000,0.00004715,0.00008842,0.00015610,22,42,75,9,18,37,0.00001988,0.00003873,0.00007706,0.24300971,0.38310197,0.54165364
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-22 00:00:00.000000,0.00005125,0.00009506,0.00016596,24,45,80,10,20,40,0.00002224,0.00004268,0.00008292,0.23820846,0.35146233,0.48726090
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-23 00:00:00.000000,0.00005408,0.00010181,0.00017612,26,49,85,11,22,42,0.00002456,0.00004624,0.00008800,0.23620454,0.33001668,0.45081284
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-24 00:00:00.000000,0.00005687,0.00010526,0.00018605,27,50,89,12,23,43,0.00002664,0.00004968,0.00009060,0.21358527,0.30924642,0.42195872
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-25 00:00:00.000000,0.00005958,0.00010707,0.00018796,28,51,90,13,25,44,0.00002855,0.00005301,0.00009205,0.20200308,0.29320999,0.42029335
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-26 00:00:00.000000,0.00006220,0.00010990,0.00019621,30,53,94,14,26,45,0.00003034,0.00005581,0.00009407,0.18904766,0.28155391,0.41682508
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-27 00:00:00.000000,0.00006472,0.00011201,0.00020647,31,54,99,15,28,48,0.00003202,0.00005827,0.00010027,0.17581835,0.26439128,0.37333937
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-28 00:00:00.000000,0.00006707,0.00011497,0.00020912,32,55,101,16,29,50,0.00003362,0.00006040,0.00010543,0.16670393,0.24795117,0.35698043
0,0,ChinaYunnan,Yunnan,,2020-12-01 17:12:01.953187,2020-03-29 00:00:00.000000,0.00006920,0.00011633,0.00021093,33,56,101,16,29,53,0.00003514,0.00006202,0.00011050,0.16145490,0.23455509,0.32530511
