FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-09 00:00:00.000000,0.01171949,0.01927863,0.03190774,1255,2064,3416,502,963,1554,0.00468937,0.00899941,0.01451824,0.56981868,0.74364241,0.95304754
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-10 00:00:00.000000,0.01355284,0.02206843,0.03572739,1451,2363,3826,607,1077,1774,0.00567057,0.01005989,0.01657095,0.56981810,0.74362893,0.95304562
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-11 00:00:00.000000,0.01558963,0.02536835,0.04052228,1669,2716,4339,718,1232,2060,0.00671283,0.01151065,0.01924038,0.56981681,0.74360309,0.95304041
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-12 00:00:00.000000,0.01795208,0.02905021,0.04583856,1922,3110,4908,860,1390,2360,0.00803650,0.01298054,0.02204598,0.56981398,0.74355351,0.95302623
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-13 00:00:00.000000,0.02089891,0.03282924,0.05290651,2238,3515,5665,992,1587,2690,0.00927083,0.01482034,0.02512436,0.56980777,0.74345828,0.95278696
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-14 00:00:00.000000,0.02395096,0.03683724,0.06036391,2564,3944,6464,1137,1811,3058,0.01062508,0.01691206,0.02856045,0.56979415,0.73646586,0.93315523
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-15 00:00:00.000000,0.02713534,0.04159494,0.06706879,2905,4454,7182,1314,2066,3440,0.01227279,0.01929347,0.03212466,0.56976422,0.73642366,0.93295103
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-16 00:00:00.000000,0.03091480,0.04718594,0.07285488,3310,5053,7802,1525,2340,3868,0.01424217,0.02185518,0.03612503,0.56969833,0.73007759,0.93218217
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-17 00:00:00.000000,0.03502238,0.05330438,0.08088300,3750,5708,8661,1769,2674,4309,0.01652402,0.02497398,0.04024356,0.56955300,0.72913451,0.92926652
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-18 00:00:00.000000,0.04022306,0.05990546,0.09259967,4307,6415,9916,2016,3033,4812,0.01882605,0.02832793,0.04493786,0.56534169,0.72238159,0.91835714
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-19 00:00:00.000000,0.04482386,0.06741618,0.10593807,4800,7219,11344,2320,3408,5331,0.02167157,0.03182593,0.04978454,0.54768583,0.71149603,0.90537802
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-20 00:00:00.000000,0.05056934,0.07467773,0.12101647,5415,7997,12959,2670,3803,6074,0.02493264,0.03551973,0.05672494,0.51261751,0.69721611,0.88936098
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-21 00:00:00.000000,0.05704992,0.08383279,0.13764245,6109,8977,14740,3008,4237,6908,0.02809613,0.03957394,0.06450882,0.47357244,0.65754252,0.84324656
0,0,Czechia,,,2020-12-04 09:23:40.304966,2020-03-22 00:00:00.000000,0.06421621,0.09108842,0.14905139,6876,9754,15961,3343,4734,7755,0.03122195,0.04420645,0.07241844,0.42955866,0.61034804,0.79209374
