FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-09 00:00:00.000000,0.00024726,0.00069487,0.00150593,9,27,60,2,13,28,0.00007036,0.00034408,0.00072630,0.55097981,0.68611773,0.86923097
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-10 00:00:00.000000,0.00034018,0.00087190,0.00174682,13,34,69,4,16,34,0.00012144,0.00042276,0.00085287,0.55097979,0.68593139,0.86921982
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-11 00:00:00.000000,0.00045238,0.00107624,0.00201929,18,42,80,7,20,40,0.00018629,0.00051473,0.00100667,0.55097976,0.68568475,0.86919547
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-12 00:00:00.000000,0.00055059,0.00128917,0.00232912,21,51,92,9,26,47,0.00024694,0.00066002,0.00118329,0.55097969,0.68536055,0.86914171
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-13 00:00:00.000000,0.00071507,0.00154457,0.00268044,28,61,106,13,31,54,0.00033988,0.00079931,0.00137676,0.55097949,0.68493725,0.86902148
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-14 00:00:00.000000,0.00088298,0.00180457,0.00308153,35,71,122,17,38,65,0.00043591,0.00095430,0.00164957,0.55097897,0.68438579,0.86874798
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-15 00:00:00.000000,0.00106781,0.00213836,0.00367295,42,85,146,21,45,79,0.00053933,0.00113032,0.00200520,0.55097736,0.68408390,0.86291730
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-16 00:00:00.000000,0.00126517,0.00252633,0.00428982,50,100,171,25,53,96,0.00063644,0.00133441,0.00241339,0.55097172,0.68361678,0.84201779
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-17 00:00:00.000000,0.00147455,0.00292660,0.00487538,58,116,194,29,63,113,0.00074125,0.00159000,0.00285515,0.55094942,0.67915318,0.81564129
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-18 00:00:00.000000,0.00170700,0.00340563,0.00567193,68,135,226,34,73,131,0.00086617,0.00184857,0.00329821,0.51491168,0.67457206,0.80410492
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-19 00:00:00.000000,0.00194394,0.00391176,0.00674727,77,156,269,40,86,151,0.00100676,0.00216612,0.00379326,0.49539241,0.66124388,0.78958656
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-20 00:00:00.000000,0.00220193,0.00443517,0.00800482,87,176,319,46,99,180,0.00116946,0.00249982,0.00452179,0.47322987,0.64159589,0.77315203
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-21 00:00:00.000000,0.00248884,0.00502415,0.00940379,99,200,375,53,114,214,0.00133245,0.00285945,0.00537402,0.43677088,0.62470398,0.76814974
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-22 00:00:00.000000,0.00280842,0.00564397,0.01039841,112,225,414,60,129,249,0.00151907,0.00324080,0.00626204,0.43293745,0.60301040,0.76529595
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-23 00:00:00.000000,0.00317092,0.00625501,0.01147948,126,249,457,68,145,276,0.00172306,0.00364049,0.00693511,0.43121829,0.57566648,0.76275384
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-24 00:00:00.000000,0.00351969,0.00688768,0.01286354,140,274,513,76,163,305,0.00191621,0.00408890,0.00765676,0.41629174,0.55970711,0.76170915
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-25 00:00:00.000000,0.00393736,0.00772820,0.01446379,157,308,576,84,182,341,0.00212870,0.00456987,0.00854942,0.41321346,0.54847715,0.76057257
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-26 00:00:00.000000,0.00440196,0.00862892,0.01613101,175,344,643,94,200,385,0.00238140,0.00501400,0.00967474,0.39334975,0.53791763,0.75740096
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-27 00:00:00.000000,0.00491089,0.00955372,0.01783344,195,381,711,106,220,433,0.00266345,0.00552141,0.01085776,0.39827016,0.52589298,0.74802644
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-28 00:00:00.000000,0.00547023,0.01051641,0.01954717,218,419,779,123,245,481,0.00308748,0.00615973,0.01208100,0.40661883,0.51346304,0.71494722
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-29 00:00:00.000000,0.00605558,0.01163371,0.02109071,241,464,841,135,275,531,0.00339935,0.00690124,0.01332965,0.40747279,0.50210043,0.68073061
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-30 00:00:00.000000,0.00668335,0.01302544,0.02250395,266,519,897,146,308,582,0.00368028,0.00773600,0.01459386,0.37319488,0.48697566,0.66607632
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-03-31 00:00:00.000000,0.00730481,0.01436337,0.02447575,291,572,976,160,342,634,0.00401223,0.00859486,0.01590068,0.35252578,0.47746973,0.66637378
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-01 00:00:00.000000,0.00796565,0.01579664,0.02680933,317,630,1069,177,377,677,0.00445094,0.00947162,0.01697419,0.34687694,0.46376001,0.63643501
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-02 00:00:00.000000,0.00853049,0.01714880,0.02884037,340,684,1150,193,413,716,0.00486062,0.01036424,0.01796237,0.34554126,0.45118933,0.61351768
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-03 00:00:00.000000,0.00900197,0.01857555,0.03124299,359,741,1246,210,452,757,0.00527774,0.01134606,0.01898989,0.32879619,0.43529451,0.60764225
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-04 00:00:00.000000,0.00947852,0.01992605,0.03376258,378,794,1346,224,490,841,0.00563686,0.01229444,0.02108420,0.31885046,0.41576649,0.56509045
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-05 00:00:00.000000,0.00977760,0.02128184,0.03641544,390,848,1452,234,532,912,0.00588894,0.01335465,0.02286192,0.31131397,0.39579168,0.53650056
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-06 00:00:00.000000,0.01040096,0.02243501,0.03919139,414,894,1563,242,566,968,0.00607352,0.01420181,0.02429005,0.29343061,0.38587917,0.52272892
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-07 00:00:00.000000,0.01106925,0.02423125,0.04202616,441,966,1676,251,604,1024,0.00630623,0.01514119,0.02568772,0.28002057,0.37836245,0.51583059
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-08 00:00:00.000000,0.01173065,0.02592653,0.04374165,467,1034,1744,273,641,1083,0.00685841,0.01607453,0.02715239,0.27323355,0.36899523,0.49131743
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-09 00:00:00.000000,0.01232435,0.02755550,0.04526890,491,1099,1805,297,692,1140,0.00746499,0.01735441,0.02858452,0.26894638,0.35758465,0.49115519
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-10 00:00:00.000000,0.01306659,0.02915219,0.04752596,521,1162,1895,324,743,1208,0.00812280,0.01863473,0.03028961,0.26394029,0.35151968,0.47077577
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-11 00:00:00.000000,0.01413600,0.03054786,0.05080100,563,1218,2026,341,792,1298,0.00856711,0.01987484,0.03253897,0.25930499,0.34290298,0.46663393
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-12 00:00:00.000000,0.01513439,0.03167165,0.05394598,603,1263,2151,356,828,1390,0.00892734,0.02077471,0.03485313,0.24546934,0.32899408,0.45246477
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-13 00:00:00.000000,0.01599991,0.03265281,0.05621478,638,1302,2242,368,861,1482,0.00924974,0.02160132,0.03715499,0.22631149,0.31341302,0.40943362
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-14 00:00:00.000000,0.01658404,0.03349441,0.05742411,661,1336,2290,379,893,1559,0.00950993,0.02240720,0.03908429,0.22166938,0.30083476,0.39345682
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-15 00:00:00.000000,0.01694808,0.03457724,0.05800709,676,1379,2314,398,929,1611,0.00999306,0.02328931,0.04040775,0.20997519,0.29019140,0.38600255
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-16 00:00:00.000000,0.01716113,0.03562403,0.05824534,684,1421,2323,415,962,1644,0.01042269,0.02413791,0.04121254,0.20288327,0.27697160,0.37476200
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-17 00:00:00.000000,0.01726030,0.03584606,0.05822746,688,1429,2322,428,995,1661,0.01075358,0.02496692,0.04165590,0.19488477,0.26526191,0.34708827
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-18 00:00:00.000000,0.01725441,0.03613879,0.05802030,688,1441,2314,438,1007,1669,0.01100125,0.02525614,0.04184438,0.17633674,0.25213051,0.33277112
0,0,Georgia,,,2020-11-13 14:37:35.343576,2020-04-19 00:00:00.000000,0.01715316,0.03644955,0.05807466,684,1454,2316,446,1020,1669,0.01118182,0.02557075,0.04184801,0.15957610,0.23873882,0.32673117
