FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-09 00:00:00.000000,0.00366221,0.01203793,0.02414527,4,13,27,2,6,14,0.00181678,0.00606929,0.01310292,0.42923653,0.57476241,0.73844561
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-10 00:00:00.000000,0.00401127,0.01291287,0.02661772,4,14,29,2,7,15,0.00178925,0.00645832,0.01404504,0.42921326,0.57470972,0.73827804
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-11 00:00:00.000000,0.00436995,0.01382896,0.02938381,4,15,33,2,7,17,0.00189900,0.00682428,0.01522158,0.42915570,0.57462738,0.73799412
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-12 00:00:00.000000,0.00474391,0.01508641,0.03237908,5,16,36,2,8,19,0.00206688,0.00730513,0.01698455,0.42896792,0.57449810,0.73751403
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-13 00:00:00.000000,0.00513763,0.01631511,0.03575246,5,18,40,2,8,21,0.00226140,0.00786442,0.01918835,0.42687857,0.57429363,0.73670499
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-14 00:00:00.000000,0.00555486,0.01751757,0.03947918,6,19,44,2,9,24,0.00247099,0.00839261,0.02162220,0.42381547,0.57396619,0.73534948
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-15 00:00:00.000000,0.00599899,0.01900077,0.04359198,6,21,49,3,10,26,0.00269231,0.00888973,0.02375147,0.41939388,0.57343096,0.73310016
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-16 00:00:00.000000,0.01464225,0.02819502,0.05277598,16,31,59,3,10,29,0.00292525,0.00961019,0.02607954,0.41315216,0.57252569,0.72942670
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-17 00:00:00.000000,0.02386405,0.03677141,0.06529832,26,41,73,6,14,34,0.00594109,0.01248411,0.03100361,0.40461326,0.56342319,0.72358035
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-18 00:00:00.000000,0.03266632,0.04690176,0.07899359,36,52,88,10,18,39,0.00947113,0.01662931,0.03487537,0.38901396,0.56111076,0.71906393
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-19 00:00:00.000000,0.04216056,0.05804941,0.09071941,47,65,102,15,24,47,0.01364426,0.02172782,0.04190328,0.35698060,0.55637649,0.71824567
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-20 00:00:00.000000,0.05231254,0.07023746,0.10643733,58,79,119,20,30,56,0.01838357,0.02734388,0.05027358,0.30740366,0.54080272,0.71615152
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-21 00:00:00.000000,0.05858456,0.08248368,0.12341954,65,92,138,26,37,67,0.02329171,0.03346168,0.06018273,0.27960505,0.51630802,0.71038181
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-22 00:00:00.000000,0.06806358,0.09515847,0.14119182,76,107,158,30,45,80,0.02726676,0.04002334,0.07163734,0.25710688,0.48013049,0.68173142
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-23 00:00:00.000000,0.07148535,0.10139510,0.15358793,80,114,172,35,52,92,0.03173243,0.04623790,0.08260749,0.21532159,0.42737952,0.62073570
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-24 00:00:00.000000,0.07484324,0.10597747,0.16586389,84,119,186,40,58,102,0.03599227,0.05234932,0.09082899,0.19390244,0.37536397,0.57154825
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-25 00:00:00.000000,0.07678786,0.10980727,0.18295544,86,123,205,43,63,114,0.03840845,0.05681304,0.10210472,0.17671695,0.32535812,0.47925490
0,0,Grenada,,,2020-11-11 12:40:19.215035,2020-03-26 00:00:00.000000,0.07845050,0.11246862,0.18416057,88,126,207,45,68,128,0.04032982,0.06085714,0.11426089,0.16713067,0.28476640,0.42973363
