FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-09 00:00:00.000000,0.00002485,0.00004440,0.00008060,342,612,1112,156,256,420,0.00001137,0.00001860,0.00003050,0.79193661,0.94968992,1.17911494
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-10 00:00:00.000000,0.00003016,0.00005326,0.00009384,416,734,1295,187,306,517,0.00001362,0.00002218,0.00003752,0.79193865,0.94968994,1.17911486
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-11 00:00:00.000000,0.00003619,0.00006360,0.00011114,499,877,1533,225,367,609,0.00001632,0.00002661,0.00004417,0.79194565,0.94968999,1.17911460
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-12 00:00:00.000000,0.00004360,0.00007482,0.00013194,601,1032,1820,272,437,718,0.00001974,0.00003174,0.00005205,0.79196963,0.94969017,1.17911371
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-13 00:00:00.000000,0.00005293,0.00008870,0.00015475,730,1224,2135,328,523,843,0.00002378,0.00003791,0.00006112,0.79205175,0.94969075,1.17911062
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-14 00:00:00.000000,0.00006417,0.00010452,0.00017998,885,1442,2483,393,626,989,0.00002850,0.00004542,0.00007169,0.79233249,0.94969265,1.17909998
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-15 00:00:00.000000,0.00007773,0.00012236,0.00020903,1072,1688,2884,469,750,1160,0.00003401,0.00005440,0.00008407,0.79328769,0.94969887,1.17906330
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-16 00:00:00.000000,0.00009253,0.00014351,0.00024265,1276,1980,3348,548,888,1360,0.00003978,0.00006441,0.00009860,0.79668585,0.94971910,1.17893685
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-17 00:00:00.000000,0.00010729,0.00016941,0.00028356,1480,2337,3913,642,1056,1599,0.00004654,0.00007659,0.00011594,0.81078140,0.94938457,1.17850186
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-18 00:00:00.000000,0.00012532,0.00020095,0.00033285,1729,2773,4593,758,1242,1879,0.00005500,0.00009006,0.00013620,0.81986964,0.93896966,1.17701822
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-19 00:00:00.000000,0.00014709,0.00023930,0.00039073,2029,3302,5392,899,1477,2197,0.00006519,0.00010703,0.00015923,0.82762813,0.93859025,1.19936713
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-20 00:00:00.000000,0.00017263,0.00028077,0.00045490,2382,3874,6277,1073,1751,2579,0.00007782,0.00012695,0.00018691,0.82754369,0.93984189,1.25834309
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-21 00:00:00.000000,0.00020534,0.00033175,0.00052998,2833,4578,7313,1281,2093,3028,0.00009289,0.00015169,0.00021943,0.82169885,0.94930798,1.26354697
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-22 00:00:00.000000,0.00024615,0.00039302,0.00062145,3396,5423,8576,1503,2482,3555,0.00010895,0.00017986,0.00025762,0.81738105,0.94207211,1.20403974
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-23 00:00:00.000000,0.00029518,0.00046978,0.00072863,4073,6482,10055,1762,2927,4183,0.00012775,0.00021212,0.00030316,0.81525336,0.94021637,1.22506305
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-24 00:00:00.000000,0.00035386,0.00056106,0.00085427,4883,7742,11789,2099,3444,4909,0.00015212,0.00024957,0.00035574,0.79909466,0.93588610,1.23579884
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-25 00:00:00.000000,0.00042413,0.00066124,0.00100157,5853,9125,13821,2478,4075,5765,0.00017964,0.00029535,0.00041779,0.78553889,0.92868092,1.23924370
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-26 00:00:00.000000,0.00050830,0.00078166,0.00117391,7014,10786,16200,2916,4797,6849,0.00021131,0.00034761,0.00049631,0.74697629,0.91818491,1.22960767
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-27 00:00:00.000000,0.00059602,0.00091440,0.00135513,8225,12618,18700,3425,5588,8138,0.00024822,0.00040496,0.00058973,0.66750457,0.89982893,1.22894651
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-28 00:00:00.000000,0.00068640,0.00106496,0.00153571,9472,14696,21192,3960,6589,9606,0.00028697,0.00047748,0.00069610,0.63253760,0.89104427,1.21299644
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-29 00:00:00.000000,0.00081617,0.00123789,0.00174816,11263,17082,24124,4577,7781,11278,0.00033167,0.00056384,0.00081728,0.62147088,0.87663934,1.12206855
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-30 00:00:00.000000,0.00097065,0.00144202,0.00204988,13394,19899,28288,5288,9188,12935,0.00038320,0.00066584,0.00093737,0.61836431,0.86014994,1.12229237
0,0,India,,,2020-11-13 14:37:32.769729,2020-03-31 00:00:00.000000,0.00114971,0.00169811,0.00240360,15866,23433,33169,6108,10895,14924,0.00044263,0.00078949,0.00108145,0.61748102,0.84121004,1.08066412
0,0,India,,,2020-11-13 14:37:32.769729,2020-04-01 00:00:00.000000,0.00132812,0.00197479,0.00281830,18328,27252,38892,7054,12899,17456,0.00051120,0.00093474,0.00126496,0.61716148,0.83390599,1.05360998
0,0,India,,,2020-11-13 14:37:32.769729,2020-04-02 00:00:00.000000,0.00152621,0.00228429,0.00330237,21061,31523,45572,8151,15176,20404,0.00059069,0.00109971,0.00147859,0.60069548,0.80627282,1.05068501
