FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-09 00:00:00.000000,0.00005734,0.00024456,0.00063120,1,7,18,0,2,8,0.00001524,0.00009324,0.00027735,0.52386728,0.73344942,1.00363925
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-10 00:00:00.000000,0.00009333,0.00032349,0.00074818,2,9,22,0,3,8,0.00002490,0.00011509,0.00030075,0.52407343,0.73322999,1.00363914
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-11 00:00:00.000000,0.00012734,0.00042260,0.00090010,3,12,26,1,4,10,0.00004265,0.00014718,0.00035139,0.52447592,0.73292998,1.00363886
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-12 00:00:00.000000,0.00015516,0.00055108,0.00109051,4,16,32,1,5,12,0.00005993,0.00019341,0.00043642,0.52526027,0.73252292,1.00363813
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-13 00:00:00.000000,0.00018589,0.00068675,0.00130550,5,20,38,2,6,15,0.00007486,0.00023585,0.00053508,0.52678062,0.73197632,1.00363627
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-14 00:00:00.000000,0.00021993,0.00082237,0.00154883,6,24,45,2,8,19,0.00009152,0.00029809,0.00064767,0.52969334,0.73125271,1.00363149
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-15 00:00:00.000000,0.00026548,0.00098867,0.00182454,7,29,54,3,11,22,0.00010995,0.00037700,0.00077548,0.53514487,0.73031318,1.00361922
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-16 00:00:00.000000,0.00033440,0.00115643,0.00207924,9,34,61,3,13,27,0.00013448,0.00046567,0.00092034,0.54490715,0.72912515,1.00358772
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-17 00:00:00.000000,0.00041358,0.00137985,0.00237599,12,40,70,5,16,31,0.00016899,0.00055683,0.00106867,0.55870303,0.72730673,1.00350686
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-18 00:00:00.000000,0.00050661,0.00162478,0.00286002,15,48,84,6,19,37,0.00021058,0.00066058,0.00127633,0.55742096,0.72364660,1.00304697
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-19 00:00:00.000000,0.00061984,0.00186628,0.00347608,18,55,102,7,22,46,0.00025991,0.00076824,0.00157116,0.53810150,0.73106917,1.00063533
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-20 00:00:00.000000,0.00076134,0.00216234,0.00410042,22,64,121,9,26,56,0.00031857,0.00089340,0.00191214,0.53153870,0.73370832,0.98822940
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-21 00:00:00.000000,0.00092837,0.00247925,0.00449567,27,73,133,11,30,62,0.00038929,0.00102610,0.00212405,0.52750931,0.73480584,0.99527519
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-22 00:00:00.000000,0.00112582,0.00285930,0.00488665,33,84,144,14,35,69,0.00047351,0.00118921,0.00234371,0.48717873,0.74119469,1.09153561
0,0,Jamaica,,,2020-11-07 04:18:49.582124,2020-03-23 00:00:00.000000,0.00141838,0.00326048,0.00568343,42,96,168,16,41,76,0.00057346,0.00138687,0.00256715,0.48145653,0.74681328,1.11107066
