FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Lebanon,,,2020-12-01 17:23:47.787156,2020-03-09 00:00:00.000000,0.00230208,0.00381248,0.00582742,157,260,397,71,114,186,0.00105263,0.00167407,0.00273793,0.47704614,0.61310315,0.83547099
0,0,Lebanon,,,2020-12-01 17:23:47.787156,2020-03-10 00:00:00.000000,0.00260009,0.00420356,0.00653915,177,286,446,77,123,192,0.00112908,0.00181366,0.00281446,0.47700927,0.61305512,0.83533151
0,0,Lebanon,,,2020-12-01 17:23:47.787156,2020-03-11 00:00:00.000000,0.00298842,0.00463488,0.00730784,203,316,498,88,134,205,0.00130320,0.00197454,0.00301344,0.47692627,0.61293404,0.83507281
0,0,Lebanon,,,2020-12-01 17:23:47.787156,2020-03-12 00:00:00.000000,0.00332152,0.00513352,0.00811766,226,350,554,97,147,226,0.00143434,0.00215593,0.00331776,0.47673969,0.61262938,0.83459339
0,0,Lebanon,,,2020-12-01 17:23:47.787156,2020-03-13 00:00:00.000000,0.00368747,0.00576869,0.00897842,251,393,612,108,167,256,0.00158260,0.00245299,0.00376529,0.47632184,0.61198060,0.83370623
0,0,Lebanon,,,2020-12-01 17:23:47.787156,2020-03-14 00:00:00.000000,0.00408948,0.00640718,0.00989923,279,437,675,119,185,286,0.00174900,0.00272220,0.00419296,0.47539408,0.61197867,0.83206911
0,0,Lebanon,,,2020-12-01 17:23:47.787156,2020-03-15 00:00:00.000000,0.00459152,0.00708849,0.01088902,313,483,743,134,205,316,0.00197019,0.00300704,0.00463365,0.47416125,0.61195538,0.82872061
0,0,Lebanon,,,2020-12-01 17:23:47.787156,2020-03-16 00:00:00.000000,0.00516472,0.00776528,0.01196209,352,530,816,150,227,349,0.00220696,0.00334025,0.00512080,0.47158700,0.61181503,0.82218122
0,0,Lebanon,,,2020-12-01 17:23:47.787156,2020-03-17 00:00:00.000000,0.00579909,0.00854685,0.01341161,395,583,915,162,247,386,0.00238167,0.00362493,0.00566075,0.46536069,0.60613241,0.78786511
0,0,Lebanon,,,2020-12-01 17:23:47.787156,2020-03-18 00:00:00.000000,0.00648865,0.00945905,0.01517610,442,645,1035,175,275,427,0.00256574,0.00404208,0.00625701,0.45142269,0.60509323,0.78495919
