FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-09 00:00:00.000000,0.00026010,0.00067398,0.00173742,1,3,9,0,1,4,0.00005201,0.00022774,0.00077914,0.50945083,0.70439047,1.11151223
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-10 00:00:00.000000,0.00035259,0.00099609,0.00220698,1,5,11,0,1,4,0.00010082,0.00030048,0.00087040,0.50945099,0.70437614,1.11151321
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-11 00:00:00.000000,0.00045802,0.00134325,0.00260176,2,7,14,0,2,5,0.00016214,0.00040716,0.00100468,0.50945015,0.70434686,1.11151709
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-12 00:00:00.000000,0.00059809,0.00164615,0.00312788,3,8,16,1,2,6,0.00021008,0.00055043,0.00117186,0.50944225,0.70428702,1.11153188
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-13 00:00:00.000000,0.00075905,0.00200678,0.00393179,4,10,21,1,3,7,0.00026521,0.00069294,0.00140417,0.50939389,0.70416490,1.11158767
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-14 00:00:00.000000,0.00094518,0.00242539,0.00482902,5,13,26,1,4,9,0.00033516,0.00089013,0.00176508,0.50913090,0.70391608,1.11179675
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-15 00:00:00.000000,0.00116045,0.00288189,0.00583203,6,15,31,2,6,12,0.00042822,0.00111566,0.00227487,0.50962664,0.70324659,1.11257597
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-16 00:00:00.000000,0.00143972,0.00344460,0.00662061,7,18,35,2,7,15,0.00051524,0.00132599,0.00282051,0.51162709,0.70374471,1.11544263
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-17 00:00:00.000000,0.00186472,0.00403280,0.00789688,10,21,42,3,8,18,0.00064431,0.00156357,0.00335859,0.51685577,0.70090762,1.12553766
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-18 00:00:00.000000,0.00233392,0.00475633,0.00904142,12,25,48,4,10,21,0.00077573,0.00188566,0.00392155,0.52929753,0.69112637,1.13172953
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-19 00:00:00.000000,0.00283704,0.00545746,0.01057406,15,29,57,4,12,24,0.00092402,0.00223151,0.00453043,0.52866309,0.69773992,1.13629254
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-20 00:00:00.000000,0.00331791,0.00626496,0.01254403,17,33,67,5,14,28,0.00109043,0.00265957,0.00524641,0.52149255,0.70319332,1.15632990
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-21 00:00:00.000000,0.00384586,0.00717062,0.01472510,20,38,79,6,16,33,0.00127607,0.00310755,0.00615868,0.51753642,0.70021435,1.22094129
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-22 00:00:00.000000,0.00439723,0.00838275,0.01708340,23,45,92,8,19,39,0.00148190,0.00354194,0.00730926,0.53065052,0.69281588,1.22278493
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-23 00:00:00.000000,0.00558662,0.00987742,0.01946951,30,53,105,9,22,46,0.00170937,0.00408710,0.00862099,0.53284185,0.69894655,1.21549301
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-24 00:00:00.000000,0.00671297,0.01157603,0.02200430,36,62,118,11,25,54,0.00215697,0.00479697,0.01003586,0.52261091,0.69526903,1.20944089
0,0,Maldives,,,2020-11-09 02:13:33.507989,2020-03-25 00:00:00.000000,0.00791350,0.01348214,0.02475493,42,72,133,16,29,62,0.00297706,0.00549540,0.01160857,0.51841387,0.69288124,1.20206440
