FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-09 00:00:00.000000,0.00190701,0.00332506,0.00594214,24,42,75,8,17,34,0.00070247,0.00138514,0.00271597,0.80331567,0.90824967,1.09219014
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-10 00:00:00.000000,0.00245638,0.00419634,0.00698540,31,53,88,13,23,42,0.00103006,0.00186278,0.00332234,0.80331555,0.90822738,1.09218975
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-11 00:00:00.000000,0.00314810,0.00518636,0.00831184,40,65,105,17,30,49,0.00141317,0.00238829,0.00392330,0.80331520,0.90818958,1.09218860
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-12 00:00:00.000000,0.00401023,0.00643273,0.01004138,51,81,127,23,38,61,0.00186923,0.00302430,0.00486895,0.80331416,0.90812461,1.09218514
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-13 00:00:00.000000,0.00497727,0.00789459,0.01221793,63,100,155,29,48,76,0.00232047,0.00379295,0.00599634,0.80331108,0.90801065,1.09217475
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-14 00:00:00.000000,0.00585445,0.00951773,0.01493699,74,121,189,35,58,93,0.00279384,0.00462989,0.00733864,0.80330196,0.90780510,1.09214356
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-15 00:00:00.000000,0.00731105,0.01144464,0.01782338,92,145,226,44,72,111,0.00353361,0.00573911,0.00873876,0.80327499,0.90742031,1.09204996
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-16 00:00:00.000000,0.00878024,0.01376101,0.02112744,111,175,268,53,88,131,0.00418193,0.00694911,0.01034033,0.80319522,0.90666730,1.09176920
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-17 00:00:00.000000,0.01030347,0.01679117,0.02490679,131,213,316,62,104,155,0.00491567,0.00824495,0.01225341,0.80295943,0.90512509,1.09092848
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-18 00:00:00.000000,0.01205852,0.01974701,0.02929464,153,251,372,73,124,183,0.00576987,0.00979139,0.01444367,0.80226421,0.90303995,1.08842386
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-19 00:00:00.000000,0.01408979,0.02341347,0.03411599,179,297,433,85,146,216,0.00675978,0.01150903,0.01699330,0.79031799,0.89737733,1.08107633
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-20 00:00:00.000000,0.01643869,0.02766453,0.03978007,209,351,505,100,173,253,0.00792669,0.01361888,0.01996882,0.76641255,0.89136400,1.06020237
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-21 00:00:00.000000,0.01915204,0.03248043,0.04625867,243,413,588,118,204,298,0.00933041,0.01609673,0.02344249,0.73216823,0.87662129,1.00880380
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-22 00:00:00.000000,0.02228212,0.03810453,0.05332665,283,484,678,138,241,349,0.01091922,0.01900874,0.02749712,0.71554261,0.84957699,0.99175871
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-23 00:00:00.000000,0.02581604,0.04415399,0.06064665,328,561,771,161,281,409,0.01271647,0.02214145,0.03222524,0.68796961,0.80696243,0.96863844
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-24 00:00:00.000000,0.02989849,0.05016399,0.07027922,380,637,893,185,330,479,0.01458743,0.02595272,0.03772225,0.61355319,0.77375730,0.92877706
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-25 00:00:00.000000,0.03458647,0.05684955,0.08001415,439,722,1017,214,378,558,0.01683786,0.02977929,0.04392855,0.57740119,0.74339609,0.89677914
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-26 00:00:00.000000,0.03996919,0.06376006,0.08964108,508,810,1140,247,435,638,0.01948025,0.03426392,0.05024243,0.48585987,0.70949401,0.87781078
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-27 00:00:00.000000,0.04614745,0.07055110,0.09909328,586,897,1260,286,489,715,0.02251565,0.03845529,0.05625212,0.43934846,0.64960538,0.84409342
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-28 00:00:00.000000,0.05312409,0.07620606,0.10797810,675,969,1373,330,537,794,0.02600811,0.04228173,0.06248765,0.38220164,0.60110090,0.79398657
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-29 00:00:00.000000,0.05804279,0.08069724,0.11833549,738,1026,1504,381,586,870,0.02997353,0.04612116,0.06842756,0.33241551,0.54059785,0.69710899
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-30 00:00:00.000000,0.05994780,0.08520586,0.12793320,762,1083,1627,425,621,932,0.03342987,0.04883463,0.07331639,0.32301355,0.47879864,0.64739964
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-03-31 00:00:00.000000,0.06472919,0.08895556,0.13595199,823,1131,1728,448,653,1012,0.03522852,0.05142266,0.07958176,0.30183856,0.44429743,0.56953559
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-04-01 00:00:00.000000,0.06788884,0.09221576,0.14228268,863,1172,1809,468,687,1053,0.03686227,0.05406934,0.08282957,0.29995824,0.42994312,0.54733910
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-04-02 00:00:00.000000,0.07066810,0.09368025,0.14700216,898,1191,1869,489,711,1093,0.03852304,0.05591590,0.08597792,0.25978692,0.40158557,0.52416927
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-04-03 00:00:00.000000,0.07246658,0.09591815,0.14999504,921,1219,1907,513,727,1146,0.04037564,0.05723170,0.09014128,0.24056208,0.36751658,0.52042333
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-04-04 00:00:00.000000,0.07155628,0.09670398,0.14987431,910,1229,1906,526,741,1204,0.04141993,0.05833360,0.09469321,0.18818164,0.34162637,0.46852106
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-04-05 00:00:00.000000,0.06968448,0.09485268,0.14764673,886,1206,1877,533,745,1216,0.04192608,0.05859795,0.09564354,0.15696487,0.28827994,0.46186330
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-04-06 00:00:00.000000,0.06701280,0.09028691,0.14412095,852,1148,1832,532,736,1219,0.04184826,0.05794607,0.09590308,0.13446324,0.24818254,0.41638788
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-04-07 00:00:00.000000,0.06384542,0.08610734,0.13790453,811,1095,1753,507,707,1199,0.03988414,0.05565361,0.09432670,0.11798035,0.19579345,0.31910794
0,0,Mauritius,,,2020-12-04 07:25:00.791946,2020-04-08 00:00:00.000000,0.05996518,0.08033539,0.13024236,762,1021,1656,479,682,1168,0.03767857,0.05368610,0.09189011,0.09417102,0.16250821,0.27590918
