FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-09 00:00:00.000000,0.00004341,0.00013006,0.00035147,55,166,449,25,77,237,0.00002033,0.00006084,0.00018559,0.56072744,0.81766915,1.07846477
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-10 00:00:00.000000,0.00005167,0.00016066,0.00039164,66,205,500,29,87,252,0.00002343,0.00006839,0.00019780,0.56072746,0.81771366,1.07845703
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-11 00:00:00.000000,0.00006078,0.00019179,0.00043300,77,245,553,35,100,277,0.00002764,0.00007830,0.00021718,0.56072751,0.81780287,1.07842668
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-12 00:00:00.000000,0.00007102,0.00022526,0.00049835,90,287,636,41,119,305,0.00003272,0.00009330,0.00023896,0.56072765,0.81798196,1.07830761
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-13 00:00:00.000000,0.00008264,0.00026270,0.00057379,105,335,733,49,138,345,0.00003863,0.00010815,0.00026998,0.56072803,0.81834172,1.07784082
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-14 00:00:00.000000,0.00009589,0.00030537,0.00066172,122,390,845,58,160,388,0.00004539,0.00012573,0.00030409,0.56072905,0.81895541,1.07602161
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-15 00:00:00.000000,0.00011107,0.00035446,0.00076169,141,452,973,67,186,459,0.00005310,0.00014612,0.00035946,0.56073185,0.81974967,1.06909801
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-16 00:00:00.000000,0.00012912,0.00040763,0.00085130,165,520,1087,79,214,541,0.00006189,0.00016805,0.00042408,0.56073958,0.82123128,1.04542936
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-17 00:00:00.000000,0.00014968,0.00046477,0.00098765,191,593,1262,92,249,635,0.00007210,0.00019495,0.00049738,0.56076096,0.82512544,1.01517038
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-18 00:00:00.000000,0.00017325,0.00053700,0.00115408,221,686,1474,107,293,717,0.00008385,0.00022945,0.00056183,0.56093509,0.83351469,1.03770789
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-19 00:00:00.000000,0.00020422,0.00062755,0.00132557,260,801,1693,124,339,842,0.00009733,0.00026575,0.00065953,0.56104063,0.84023654,1.07858159
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-20 00:00:00.000000,0.00024275,0.00072098,0.00152155,310,921,1944,144,392,969,0.00011281,0.00030752,0.00075883,0.57330639,0.84244595,1.10938371
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-21 00:00:00.000000,0.00028851,0.00082123,0.00174152,368,1049,2225,166,460,1114,0.00013065,0.00036030,0.00087215,0.58414538,0.84134716,1.12630376
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-22 00:00:00.000000,0.00034315,0.00096017,0.00198025,438,1227,2530,193,536,1278,0.00015141,0.00041947,0.00100011,0.59822764,0.86277055,1.12476252
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-23 00:00:00.000000,0.00040968,0.00111744,0.00224332,523,1428,2866,224,628,1459,0.00017593,0.00049198,0.00114234,0.57824867,0.85354605,1.12271937
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-24 00:00:00.000000,0.00049027,0.00129425,0.00253990,626,1653,3245,267,708,1661,0.00020908,0.00055458,0.00129986,0.57884203,0.85515311,1.11926318
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-25 00:00:00.000000,0.00058595,0.00149632,0.00287516,748,1912,3674,319,827,1885,0.00024967,0.00064733,0.00147573,0.58169510,0.84845576,1.11356957
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-26 00:00:00.000000,0.00069988,0.00175073,0.00325229,894,2237,4156,381,959,2138,0.00029829,0.00075094,0.00167319,0.58268183,0.85362662,1.10441964
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-27 00:00:00.000000,0.00083561,0.00204531,0.00367431,1067,2613,4695,455,1103,2421,0.00035635,0.00086378,0.00189510,0.55938562,0.85192011,1.10202149
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-28 00:00:00.000000,0.00099735,0.00232932,0.00414782,1274,2976,5300,543,1275,2739,0.00042560,0.00099794,0.00214402,0.55639923,0.83319422,1.09131531
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-29 00:00:00.000000,0.00119009,0.00264314,0.00468194,1520,3377,5983,649,1477,3096,0.00050816,0.00115596,0.00242326,0.56669320,0.83504508,1.11388214
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-30 00:00:00.000000,0.00142006,0.00304735,0.00542498,1814,3894,6932,775,1711,3498,0.00060657,0.00133917,0.00273729,0.56057510,0.81530754,1.08292510
0,0,Mexico,,,2020-12-15 07:00:35.369130,2020-03-31 00:00:00.000000,0.00169408,0.00348262,0.00632423,2164,4450,8081,925,1990,3950,0.00072393,0.00155791,0.00309138,0.55707744,0.80349590,1.09534037
