FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-09 00:00:00.000000,0.00008708,0.00014922,0.00028938,5,9,19,2,4,8,0.00003810,0.00006729,0.00012337,0.57718946,0.63464836,0.79284914
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-10 00:00:00.000000,0.00010745,0.00017976,0.00031932,7,11,21,2,4,7,0.00003736,0.00006496,0.00012014,0.57718939,0.63464511,0.79284715
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-11 00:00:00.000000,0.00012850,0.00020642,0.00035199,8,13,23,2,4,8,0.00004000,0.00006692,0.00012136,0.57718915,0.63463407,0.79284094
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-12 00:00:00.000000,0.00015060,0.00023313,0.00038750,9,15,25,2,4,8,0.00004448,0.00007201,0.00012578,0.57718819,0.63459627,0.79282151
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-13 00:00:00.000000,0.00017206,0.00026488,0.00042501,11,17,28,3,5,8,0.00005012,0.00007861,0.00013470,0.57718453,0.63446619,0.79276075
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-14 00:00:00.000000,0.00019555,0.00029286,0.00047025,12,19,31,3,5,9,0.00005752,0.00008774,0.00014737,0.57717039,0.63345896,0.79257092
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-15 00:00:00.000000,0.00022015,0.00032427,0.00051800,14,21,34,4,6,10,0.00006574,0.00009804,0.00016201,0.57711595,0.63130575,0.79197941
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-16 00:00:00.000000,0.00025586,0.00037330,0.00057962,16,24,38,4,7,11,0.00007434,0.00010883,0.00017849,0.57483161,0.62546448,0.79015156
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-17 00:00:00.000000,0.00029535,0.00042227,0.00064466,19,27,42,5,8,13,0.00008528,0.00012152,0.00019678,0.56611639,0.61631347,0.78464554
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-18 00:00:00.000000,0.00033487,0.00047413,0.00072356,22,31,47,6,9,14,0.00009827,0.00013650,0.00021865,0.55213766,0.60238704,0.78127972
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-19 00:00:00.000000,0.00037832,0.00052728,0.00079919,25,34,52,7,10,16,0.00011259,0.00015324,0.00024183,0.53367203,0.58845868,0.77538505
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-20 00:00:00.000000,0.00041751,0.00058201,0.00087778,27,38,58,8,11,17,0.00012799,0.00017197,0.00026687,0.50758992,0.58057236,0.76556633
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-21 00:00:00.000000,0.00045913,0.00063788,0.00095929,30,42,63,9,12,19,0.00014389,0.00019097,0.00029393,0.48447939,0.57372173,0.73409376
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-22 00:00:00.000000,0.00050195,0.00069665,0.00104561,33,46,69,10,14,21,0.00016016,0.00021139,0.00032303,0.47535581,0.56353636,0.73033508
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-23 00:00:00.000000,0.00053022,0.00074305,0.00113886,35,49,75,11,15,23,0.00017726,0.00023316,0.00035391,0.47185346,0.55966342,0.72795179
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-24 00:00:00.000000,0.00056139,0.00080912,0.00123893,37,53,82,12,16,25,0.00019280,0.00025364,0.00038700,0.47007120,0.55946167,0.72627863
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-25 00:00:00.000000,0.00059303,0.00087444,0.00134591,39,57,89,13,18,27,0.00020747,0.00027497,0.00042241,0.46962490,0.55938807,0.73052085
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-26 00:00:00.000000,0.00062509,0.00094007,0.00145773,41,62,96,14,19,30,0.00022175,0.00029997,0.00046030,0.47007178,0.55675174,0.79024995
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-27 00:00:00.000000,0.00065916,0.00101231,0.00160546,43,67,106,15,21,33,0.00023596,0.00032477,0.00050233,0.47183626,0.54700558,0.82388169
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-28 00:00:00.000000,0.00069504,0.00109070,0.00176264,46,72,116,16,23,36,0.00025050,0.00035205,0.00055450,0.47476387,0.54255539,0.82769935
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-29 00:00:00.000000,0.00073244,0.00117367,0.00194854,48,77,129,17,25,40,0.00026616,0.00038290,0.00060866,0.48038748,0.53933693,0.82809989
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-30 00:00:00.000000,0.00081808,0.00127383,0.00216254,54,84,143,18,27,44,0.00028126,0.00041272,0.00067592,0.49115592,0.54253666,0.82813554
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-03-31 00:00:00.000000,0.00089893,0.00140156,0.00239654,59,92,158,20,29,49,0.00030315,0.00044587,0.00075152,0.49130464,0.54274605,0.82813207
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-04-01 00:00:00.000000,0.00097206,0.00153847,0.00260879,64,101,172,21,31,55,0.00032872,0.00048181,0.00083590,0.49019189,0.54973385,0.82810517
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-04-02 00:00:00.000000,0.00104818,0.00168367,0.00288299,69,111,190,23,34,59,0.00035701,0.00052073,0.00090371,0.49022322,0.56103679,0.82797550
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-04-03 00:00:00.000000,0.00112764,0.00183865,0.00318418,74,121,210,25,37,65,0.00038739,0.00056954,0.00098998,0.49206786,0.56879181,0.82720945
0,0,Nicaragua,,,2020-10-19 14:32:15.221178,2020-04-04 00:00:00.000000,0.00121121,0.00200698,0.00351270,80,132,232,27,41,72,0.00041722,0.00062174,0.00109445,0.49526783,0.58409890,0.81846222
