FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-09 00:00:00.000000,0.00095774,0.00164264,0.00292973,333,571,1019,155,279,506,0.00044528,0.00080274,0.00145470,0.64597909,0.78136738,1.04035246
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-10 00:00:00.000000,0.00115009,0.00189273,0.00335052,400,658,1166,195,334,580,0.00056272,0.00096115,0.00166625,0.64562710,0.78131651,1.04035246
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-11 00:00:00.000000,0.00138232,0.00218231,0.00376741,481,759,1311,243,392,688,0.00069935,0.00112618,0.00197679,0.64509974,0.78124178,1.04035245
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-12 00:00:00.000000,0.00165920,0.00254340,0.00433513,577,885,1509,297,457,808,0.00085366,0.00131433,0.00232183,0.64431172,0.78112995,1.04035241
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-13 00:00:00.000000,0.00198239,0.00293237,0.00502337,690,1020,1748,349,533,937,0.00100298,0.00153277,0.00269288,0.64313882,0.78095771,1.04035225
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-14 00:00:00.000000,0.00232861,0.00338055,0.00582352,810,1176,2027,407,622,1085,0.00116912,0.00178865,0.00311884,0.64140326,0.77861866,1.04035165
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-15 00:00:00.000000,0.00273501,0.00389273,0.00675191,952,1355,2350,468,716,1253,0.00134655,0.00205952,0.00360153,0.63885720,0.77685175,1.04034941
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-16 00:00:00.000000,0.00315215,0.00453886,0.00781601,1097,1580,2721,535,834,1445,0.00153719,0.00239712,0.00415085,0.63516916,0.77556609,1.04016242
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-17 00:00:00.000000,0.00355903,0.00523830,0.00905050,1239,1823,3150,597,977,1663,0.00171684,0.00280648,0.00477765,0.62992380,0.77312852,1.02652981
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-18 00:00:00.000000,0.00401817,0.00603475,0.01042004,1398,2100,3627,668,1119,1912,0.00191965,0.00321683,0.00549344,0.61917552,0.77156430,1.00597005
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-19 00:00:00.000000,0.00460479,0.00696196,0.01214247,1603,2423,4227,762,1285,2199,0.00219133,0.00369268,0.00631916,0.60598514,0.76994819,0.99543905
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-20 00:00:00.000000,0.00512853,0.00792275,0.01412265,1785,2758,4916,870,1480,2603,0.00250130,0.00425120,0.00747698,0.58433530,0.75373436,0.98180219
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-21 00:00:00.000000,0.00599143,0.00900813,0.01628769,2085,3136,5670,994,1699,3074,0.00285751,0.00488034,0.00883051,0.57040352,0.72563237,0.91345252
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-22 00:00:00.000000,0.00686411,0.01012673,0.01885963,2389,3525,6565,1135,1913,3614,0.00326046,0.00549555,0.01038234,0.54773155,0.68506819,0.85348599
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-23 00:00:00.000000,0.00764475,0.01136926,0.02112835,2661,3958,7355,1279,2138,4053,0.00367609,0.00614163,0.01164421,0.52228441,0.63456345,0.81643533
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-24 00:00:00.000000,0.00835093,0.01259075,0.02275542,2907,4383,7922,1413,2389,4500,0.00406013,0.00686492,0.01292820,0.45282767,0.59070220,0.77077212
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-25 00:00:00.000000,0.00901443,0.01381888,0.02451770,3138,4810,8535,1560,2658,4933,0.00448287,0.00763602,0.01417053,0.42640052,0.55107431,0.68336825
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-26 00:00:00.000000,0.00976492,0.01489053,0.02640193,3399,5183,9191,1723,2934,5345,0.00495102,0.00842785,0.01535390,0.39717636,0.51675625,0.63673086
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-27 00:00:00.000000,0.01069657,0.01611047,0.02843996,3723,5608,9901,1895,3199,5753,0.00544461,0.00919061,0.01652586,0.38012102,0.48213366,0.60364187
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-28 00:00:00.000000,0.01135606,0.01716045,0.03069372,3953,5974,10685,2073,3488,6172,0.00595672,0.01002054,0.01773051,0.37744065,0.46770126,0.59813563
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-29 00:00:00.000000,0.01203390,0.01816969,0.03321130,4189,6325,11562,2192,3720,6613,0.00629640,0.01068812,0.01899546,0.36989805,0.45465391,0.58487875
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-30 00:00:00.000000,0.01272596,0.01942091,0.03602424,4430,6761,12541,2310,3983,7080,0.00663706,0.01144206,0.02033779,0.36823138,0.45587019,0.58978466
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-03-31 00:00:00.000000,0.01345650,0.02076149,0.03834394,4684,7227,13349,2432,4296,7578,0.00698849,0.01234257,0.02176977,0.36811512,0.45295162,0.59557720
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-04-01 00:00:00.000000,0.01446898,0.02221310,0.04075713,5037,7733,14189,2560,4558,8112,0.00735607,0.01309327,0.02330223,0.36836189,0.45210798,0.59851538
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-04-02 00:00:00.000000,0.01559122,0.02363002,0.04334557,5427,8226,15090,2694,4840,8684,0.00774080,0.01390446,0.02494653,0.36921567,0.45318531,0.59991358
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-04-03 00:00:00.000000,0.01686707,0.02501699,0.04622243,5872,8709,16091,2867,5165,9300,0.00823787,0.01483870,0.02671623,0.37007241,0.45622594,0.62280146
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-04-04 00:00:00.000000,0.01815898,0.02684005,0.04970226,6321,9344,17303,3097,5542,10052,0.00889725,0.01592180,0.02887435,0.37049656,0.47038661,0.63157481
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-04-05 00:00:00.000000,0.01938228,0.02899740,0.05300664,6747,10095,18453,3359,5950,10918,0.00964959,0.01709308,0.03136363,0.37257733,0.48420867,0.64028183
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-04-06 00:00:00.000000,0.02080743,0.03149898,0.05635103,7243,10966,19617,3658,6326,11842,0.01050970,0.01817165,0.03401702,0.39660465,0.49788228,0.64339390
0,0,SaudiArabia,,,2020-12-01 17:13:09.021859,2020-04-07 00:00:00.000000,0.02242649,0.03411192,0.06145635,7807,11875,21395,3999,6711,12833,0.01148775,0.01927738,0.03686199,0.42217406,0.51536518,0.67729285
