FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-09 00:00:00.000000,0.01572662,0.04038899,0.07690794,5,13,25,1,5,12,0.00324460,0.01615285,0.03716150,0.56784548,0.74384423,0.97395336
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-10 00:00:00.000000,0.02342803,0.05159601,0.09095870,7,17,30,2,6,14,0.00678291,0.02024998,0.04227237,0.56784568,0.74383112,0.97388917
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-11 00:00:00.000000,0.03109746,0.06418441,0.10732628,10,21,35,3,8,17,0.01155988,0.02674986,0.05132847,0.56784668,0.74383066,0.97388664
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-12 00:00:00.000000,0.03970242,0.07940762,0.13203787,13,26,43,5,11,20,0.01601200,0.03539818,0.06217418,0.56785148,0.74387342,0.97388000
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-13 00:00:00.000000,0.04562102,0.09589176,0.16299262,15,31,54,7,14,25,0.02120339,0.04369352,0.07543045,0.56787470,0.74403163,0.97386228
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-14 00:00:00.000000,0.05214880,0.11578459,0.19731338,17,38,65,9,17,31,0.02721661,0.05304392,0.09365772,0.56798833,0.74445856,0.97381420
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-15 00:00:00.000000,0.06462231,0.13789970,0.23536203,21,45,78,10,21,38,0.03193232,0.06442044,0.11468979,0.57228067,0.74542860,0.97368248
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-16 00:00:00.000000,0.08676698,0.16500603,0.26374794,28,54,87,13,25,45,0.03922884,0.07710834,0.13806857,0.58218058,0.74727764,0.97331939
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-17 00:00:00.000000,0.10657036,0.19501227,0.29925034,35,64,99,16,31,52,0.05104823,0.09398458,0.15892745,0.58278482,0.74226313,0.97231624
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-18 00:00:00.000000,0.12837346,0.22972682,0.35623212,42,76,118,21,36,61,0.06433033,0.11030604,0.18375743,0.59233177,0.73022509,0.96955380
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-19 00:00:00.000000,0.15306362,0.26834412,0.42287566,50,89,140,26,44,72,0.07864399,0.13372518,0.21899301,0.58968235,0.72943246,0.96206348
1017,0,USAlabamaChambers,Alabama,Chambers,2020-11-16 03:02:40.884788,2020-03-20 00:00:00.000000,0.18081387,0.31066771,0.50031154,60,103,166,31,52,86,0.09431105,0.15700283,0.26022732,0.57572624,0.73167966,0.94265121
