FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-09 00:00:00.000000,0.00388787,0.02807077,0.09458320,0,3,11,0,1,6,0.00201152,0.01541322,0.05013275,0.43890027,0.59294420,0.82063187
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-10 00:00:00.000000,0.00452479,0.03154349,0.10282062,0,3,12,0,1,6,0.00214321,0.01568990,0.05411010,0.43890280,0.59293720,0.82047576
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-11 00:00:00.000000,0.00522344,0.03522802,0.11161121,0,4,14,0,2,7,0.00239540,0.01661238,0.05859302,0.43890840,0.59292554,0.82016889
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-12 00:00:00.000000,0.00600576,0.03960380,0.12114561,0,4,15,0,2,7,0.00272634,0.01760229,0.06352629,0.43892081,0.59052723,0.81956836
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-13 00:00:00.000000,0.00688911,0.04396793,0.13588968,0,5,17,0,2,8,0.00312136,0.01928779,0.06889164,0.43894823,0.58735157,0.81840327
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-14 00:00:00.000000,0.00788895,0.04814261,0.15031005,0,6,18,0,2,9,0.00357812,0.02126273,0.07469307,0.43900869,0.58711822,0.81618029
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-15 00:00:00.000000,0.00901913,0.05192972,0.16120781,1,6,20,0,2,10,0.00409995,0.02341707,0.07976904,0.43914146,0.58659476,0.81207107
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-16 00:00:00.000000,0.01838390,0.07109631,0.18632949,2,8,23,0,3,10,0.00469263,0.02592779,0.08522473,0.43866803,0.58540497,0.80490143
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-17 00:00:00.000000,0.02759251,0.08883904,0.21974491,3,11,27,0,3,11,0.00752832,0.03095000,0.09327572,0.43734334,0.58148039,0.79356860
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-18 00:00:00.000000,0.03788488,0.10405385,0.25523644,4,13,32,1,4,13,0.01165125,0.03835669,0.10721288,0.43189670,0.57081572,0.77818255
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-19 00:00:00.000000,0.04937326,0.12074549,0.29301653,6,15,36,2,5,15,0.01671070,0.04671428,0.12292078,0.42108651,0.56117568,0.76110894
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-20 00:00:00.000000,0.06219047,0.13880886,0.33077951,7,17,41,2,7,16,0.02260709,0.05612988,0.13478140,0.40828894,0.54465622,0.75420442
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-21 00:00:00.000000,0.07110805,0.15931598,0.37577455,8,20,47,3,8,18,0.02819654,0.06560859,0.14775302,0.38266601,0.51869195,0.77044979
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-22 00:00:00.000000,0.07910294,0.18083526,0.42996397,9,22,54,4,9,22,0.03321958,0.07371997,0.17596526,0.36164817,0.50690830,0.79668118
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-23 00:00:00.000000,0.09077119,0.20917432,0.46768692,11,26,58,4,10,24,0.03870221,0.08638786,0.19268124,0.34092084,0.49976875,0.81646339
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-24 00:00:00.000000,0.10312575,0.23897451,0.50425377,12,30,63,5,12,26,0.04480024,0.09939875,0.20868138,0.33260875,0.49625331,0.82205783
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-25 00:00:00.000000,0.11641287,0.26998013,0.55131671,14,33,69,6,14,30,0.05088290,0.11282526,0.23956747,0.32974038,0.49107002,0.81712972
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-26 00:00:00.000000,0.13074892,0.29935846,0.61123677,16,37,76,7,16,34,0.05764813,0.12849723,0.27089487,0.32964067,0.48860991,0.80209985
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-27 00:00:00.000000,0.14626065,0.33152225,0.66451067,18,41,83,8,18,38,0.06533838,0.14514844,0.30302528,0.31359597,0.47294676,0.77300949
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-28 00:00:00.000000,0.16548387,0.36312282,0.72124625,20,45,90,9,20,42,0.07718549,0.16547269,0.33634978,0.30804931,0.46763705,0.72583828
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-29 00:00:00.000000,0.19029959,0.40271184,0.78075405,23,50,98,11,23,45,0.08979924,0.18609230,0.36069714,0.29580540,0.45296634,0.65178968
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-30 00:00:00.000000,0.22002330,0.44509173,0.87744029,27,56,110,12,25,48,0.10229934,0.20513921,0.38918980,0.29402296,0.44333708,0.65284450
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-03-31 00:00:00.000000,0.25281503,0.48757781,0.93978590,31,61,118,14,29,53,0.11162427,0.23103450,0.42652156,0.29445625,0.44032387,0.65012718
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-04-01 00:00:00.000000,0.28336781,0.52973176,1.00427865,35,66,126,15,32,58,0.12114068,0.25826774,0.46624649,0.28723311,0.43557711,0.63317501
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-04-02 00:00:00.000000,0.30583797,0.58037781,1.07156924,38,73,134,16,35,63,0.13347834,0.28140053,0.50833294,0.28867579,0.43688605,0.61869663
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-04-03 00:00:00.000000,0.34151694,0.63515350,1.18576355,42,79,149,19,38,69,0.15244329,0.30719878,0.55240472,0.29722803,0.43416020,0.61967348
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-04-04 00:00:00.000000,0.38069842,0.68565563,1.30855490,47,86,164,21,42,75,0.17306458,0.33771710,0.59624855,0.29861671,0.43102225,0.62336669
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-04-05 00:00:00.000000,0.42408013,0.75250934,1.36816618,53,94,172,24,45,80,0.19536131,0.36287171,0.64312302,0.29365502,0.43029463,0.63444384
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-04-06 00:00:00.000000,0.46580695,0.82879133,1.42430717,58,104,179,27,48,86,0.21945596,0.38782980,0.69006588,0.28983375,0.42755698,0.65146054
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-04-07 00:00:00.000000,0.51208912,0.90289707,1.49592247,64,113,188,30,53,92,0.24155204,0.42240349,0.73870557,0.28850171,0.42841201,0.65851373
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-04-08 00:00:00.000000,0.56246215,0.99452230,1.63985619,70,125,206,33,58,100,0.26283416,0.46473706,0.79948345,0.28785081,0.42551687,0.65374333
1023,0,USAlabamaChoctaw,Alabama,Choctaw,2020-11-09 16:55:32.149071,2020-04-09 00:00:00.000000,0.61698832,1.06637664,1.79166793,77,134,225,36,63,108,0.28787312,0.50407059,0.86407520,0.28382417,0.42868048,0.64415061
