FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-09 00:00:00.000000,0.00074241,0.00459492,0.01589461,0,2,8,0,1,5,0.00041804,0.00238022,0.01022384,0.44775476,0.58316092,0.74823185
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-10 00:00:00.000000,0.00086829,0.00522213,0.01746344,0,2,9,0,1,5,0.00043156,0.00240280,0.01016997,0.44775476,0.58315747,0.74820330
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-11 00:00:00.000000,0.00099457,0.00582430,0.01903960,0,3,10,0,1,5,0.00046734,0.00267642,0.01043680,0.44775476,0.58315123,0.74810493
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-12 00:00:00.000000,0.00112525,0.00650628,0.02067574,0,3,11,0,1,6,0.00051436,0.00301959,0.01091014,0.44775476,0.58313996,0.74772737
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-13 00:00:00.000000,0.00126329,0.00723705,0.02240722,0,3,12,0,1,6,0.00057562,0.00340598,0.01152773,0.44775476,0.58157467,0.74616420
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-14 00:00:00.000000,0.00141100,0.00802494,0.02510290,0,4,13,0,2,6,0.00064677,0.00376426,0.01253203,0.44775475,0.58057576,0.73947930
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-15 00:00:00.000000,0.00157034,0.00887331,0.02811750,0,4,15,0,2,7,0.00072762,0.00421372,0.01418087,0.44775472,0.58057063,0.72803448
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-16 00:00:00.000000,0.00354238,0.01161070,0.03400578,1,6,18,0,2,8,0.00081872,0.00471334,0.01598870,0.44775459,0.57752692,0.71639235
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-17 00:00:00.000000,0.00571004,0.01416611,0.04018110,3,7,22,0,3,10,0.00131953,0.00561142,0.01868157,0.43858691,0.56895762,0.71584848
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-18 00:00:00.000000,0.00779909,0.01816067,0.04685007,4,10,25,1,3,12,0.00208778,0.00681900,0.02198868,0.42462676,0.55896730,0.71376551
1033,0,USAlabamaColbert,Alabama,Colbert,2020-11-26 22:07:09.688123,2020-03-19 00:00:00.000000,0.00928399,0.02206690,0.05473817,5,12,30,1,4,13,0.00302918,0.00820968,0.02527109,0.40691873,0.54505315,0.70752926
