FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-09 00:00:00.000000,0.00736765,0.03365203,0.08563679,1,4,12,0,2,6,0.00413597,0.01680741,0.04624972,0.45469548,0.61412114,0.79196664
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-10 00:00:00.000000,0.00869561,0.03815057,0.09656940,1,5,14,0,2,6,0.00456603,0.01746933,0.04698001,0.45468045,0.61411990,0.79196644
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-11 00:00:00.000000,0.01007085,0.04157136,0.10824391,1,6,15,0,2,7,0.00499708,0.01861937,0.04850342,0.45465233,0.61411729,0.79196570
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-12 00:00:00.000000,0.01155742,0.04603122,0.12082969,1,6,17,0,3,7,0.00559269,0.02084760,0.05387851,0.45460003,0.61411178,0.79196287
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-13 00:00:00.000000,0.01305059,0.05154677,0.13427686,1,7,19,0,3,8,0.00619628,0.02333034,0.06051404,0.45450381,0.61410016,0.79195200
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-14 00:00:00.000000,0.01484843,0.05713160,0.14884155,2,8,21,1,3,9,0.00687346,0.02554947,0.06700905,0.45442482,0.61407564,0.79191017
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-15 00:00:00.000000,0.01685535,0.06278662,0.16467620,2,9,24,1,4,10,0.00761018,0.02792636,0.07428093,0.45436440,0.61402405,0.79175047
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-16 00:00:00.000000,0.03408149,0.08056002,0.19336515,4,11,28,1,4,12,0.00840019,0.03086932,0.08233508,0.45421194,0.61205363,0.78939122
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-17 00:00:00.000000,0.04354929,0.10084658,0.22343331,6,14,32,1,5,13,0.01318509,0.03712585,0.09340426,0.45382296,0.60822391,0.78939608
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-18 00:00:00.000000,0.05306533,0.12112116,0.25495746,7,17,37,2,6,15,0.01831100,0.04488892,0.10682840,0.45282376,0.60542363,0.78659542
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-19 00:00:00.000000,0.06291127,0.14188016,0.28965385,9,20,42,3,7,18,0.02407363,0.05396904,0.12630088,0.44988805,0.58370573,0.77835246
1065,0,USAlabamaHale,Alabama,Hale,2020-11-01 04:56:03.127762,2020-03-20 00:00:00.000000,0.07363151,0.16237606,0.32560438,10,23,47,4,9,20,0.02878122,0.06281284,0.14230495,0.41904872,0.56451621,0.74565324
