FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-09 00:00:00.000000,0.00247223,0.00564578,0.01461726,2,5,14,1,2,7,0.00121776,0.00286529,0.00740719,0.53328472,0.70924478,0.99435530
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-10 00:00:00.000000,0.00285199,0.00653225,0.01656512,2,6,16,1,3,7,0.00130323,0.00312334,0.00758927,0.53328470,0.70923262,0.99435523
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-11 00:00:00.000000,0.00324162,0.00731944,0.01882407,3,7,18,1,3,8,0.00154159,0.00356879,0.00851397,0.53328466,0.70920516,0.99435509
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-12 00:00:00.000000,0.00366283,0.00819848,0.02142224,3,7,20,1,3,9,0.00170518,0.00404385,0.00980176,0.53328447,0.70914322,0.99435484
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-13 00:00:00.000000,0.00412809,0.00942567,0.02435176,3,9,23,1,4,10,0.00192950,0.00444695,0.01124474,0.53328358,0.70900366,0.99435435
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-14 00:00:00.000000,0.00464724,0.01087140,0.02729099,4,10,26,2,4,12,0.00217441,0.00492929,0.01287277,0.53327941,0.70869046,0.99435332
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-15 00:00:00.000000,0.00522940,0.01254031,0.03060260,5,12,29,2,5,14,0.00245398,0.00567643,0.01471700,0.53325953,0.70799408,0.99435098
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-16 00:00:00.000000,0.00798695,0.01633587,0.03697573,7,15,35,2,6,16,0.00276950,0.00655062,0.01681106,0.53316473,0.70647805,0.99434524
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-17 00:00:00.000000,0.01039841,0.02053220,0.04289065,10,19,41,3,7,18,0.00366453,0.00825461,0.01936726,0.53271535,0.70570134,0.99433012
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-18 00:00:00.000000,0.01272201,0.02493065,0.05019013,12,24,48,4,10,21,0.00475303,0.01037238,0.02241849,0.53065343,0.69574642,0.99428806
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-19 00:00:00.000000,0.01583439,0.03037179,0.05819257,15,29,56,5,12,25,0.00608638,0.01258813,0.02652624,0.52245158,0.68773023,0.99416698
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-20 00:00:00.000000,0.01896946,0.03635420,0.07009562,18,35,67,7,14,31,0.00736300,0.01529840,0.03254869,0.50604392,0.69590219,0.96150122
1095,0,USAlabamaMarshall,Alabama,Marshall,2020-11-16 03:39:36.189605,2020-03-21 00:00:00.000000,0.02239464,0.04337049,0.08436482,21,41,81,8,17,37,0.00881404,0.01816506,0.03855676,0.49932682,0.69531923,0.91975216
