FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-09 00:00:00.000000,0.00088195,0.00219832,0.00513876,1,4,11,0,1,4,0.00018817,0.00076506,0.00192966,0.46439840,0.67485718,0.96507221
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-10 00:00:00.000000,0.00131071,0.00309441,0.00716146,2,7,16,0,2,5,0.00032663,0.00090984,0.00222311,0.46440549,0.67484936,0.96507192
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-11 00:00:00.000000,0.00165900,0.00412831,0.01053561,3,9,23,1,2,5,0.00048321,0.00120340,0.00260522,0.46442097,0.67482612,0.96507143
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-12 00:00:00.000000,0.00204881,0.00506531,0.01355491,4,11,30,1,3,8,0.00063592,0.00160615,0.00368533,0.46445487,0.67476475,0.96507061
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-13 00:00:00.000000,0.00252679,0.00623871,0.01614962,5,14,36,1,4,11,0.00080012,0.00209740,0.00510035,0.46452932,0.67461260,0.96506920
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-14 00:00:00.000000,0.00307518,0.00770965,0.01906136,6,17,43,2,5,14,0.00101174,0.00264878,0.00657853,0.46469299,0.67425201,0.96506680
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-15 00:00:00.000000,0.00370821,0.00929150,0.02233821,8,21,50,2,7,17,0.00125912,0.00321236,0.00791489,0.46505691,0.67343633,0.96506272
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-16 00:00:00.000000,0.00446986,0.01109284,0.02589382,10,25,58,3,8,21,0.00154658,0.00388890,0.00942292,0.46585527,0.67254400,0.96505576
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-17 00:00:00.000000,0.00534878,0.01329696,0.02992241,12,30,67,4,10,26,0.00188519,0.00466007,0.01161049,0.46758166,0.67055661,0.96504383
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-18 00:00:00.000000,0.00636733,0.01535720,0.03447658,14,34,78,5,12,32,0.00228043,0.00566735,0.01442072,0.47120862,0.67118928,0.96492561
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-19 00:00:00.000000,0.00754952,0.01823424,0.03926362,17,41,88,6,15,38,0.00274047,0.00682206,0.01708634,0.47837482,0.66896603,0.94749396
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-20 00:00:00.000000,0.00892272,0.02106056,0.04552395,20,47,103,7,18,43,0.00327513,0.00799067,0.01927054,0.47458053,0.66102925,0.92652850
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-21 00:00:00.000000,0.01051850,0.02419958,0.05208927,23,54,117,8,21,48,0.00389630,0.00959040,0.02143502,0.46577851,0.63411498,0.92368036
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-22 00:00:00.000000,0.01237339,0.02779648,0.05884512,28,62,133,10,25,53,0.00461795,0.01116050,0.02370305,0.46333501,0.62677676,0.93421388
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-23 00:00:00.000000,0.01656773,0.03211494,0.06446647,37,72,146,12,29,60,0.00545647,0.01287230,0.02675069,0.46242792,0.61224287,0.92373128
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-24 00:00:00.000000,0.01971563,0.03641517,0.07029434,44,82,159,14,33,69,0.00643263,0.01461872,0.03047367,0.45612130,0.60191393,0.92372682
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-25 00:00:00.000000,0.02213461,0.04145980,0.07754215,50,93,175,18,37,78,0.00800307,0.01671345,0.03476714,0.45014256,0.59294383,0.92371635
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-26 00:00:00.000000,0.02479398,0.04674409,0.08854740,56,105,200,23,42,89,0.01018906,0.01894205,0.03962678,0.43480491,0.58728299,0.92369719
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-27 00:00:00.000000,0.02773934,0.05134931,0.09998030,62,116,226,27,48,102,0.01231898,0.02139835,0.04507043,0.42638425,0.58444026,0.92366230
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-28 00:00:00.000000,0.03100035,0.05743318,0.11089049,70,130,251,31,53,115,0.01402249,0.02372008,0.05116756,0.39997376,0.57450967,0.92359570
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-29 00:00:00.000000,0.03461177,0.06327788,0.11899968,78,143,269,36,61,131,0.01590536,0.02721769,0.05799156,0.39270227,0.56650393,0.92341246
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-30 00:00:00.000000,0.03863720,0.07015041,0.13276506,87,158,300,40,69,148,0.01798471,0.03052249,0.06562901,0.39244551,0.55706459,0.91653677
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-03-31 00:00:00.000000,0.04314344,0.07835504,0.14830903,97,177,335,46,77,167,0.02041417,0.03421924,0.07415774,0.39272776,0.55076702,0.89826203
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-01 00:00:00.000000,0.04821492,0.08790542,0.16562213,109,199,375,52,87,189,0.02317916,0.03842831,0.08366361,0.39253255,0.54841514,0.87083251
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-02 00:00:00.000000,0.05387735,0.09774680,0.18489822,122,221,418,58,96,213,0.02562737,0.04256452,0.09421714,0.38720425,0.54558196,0.82390222
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-03 00:00:00.000000,0.06015671,0.10923695,0.20471230,136,247,463,64,106,233,0.02826491,0.04682440,0.10289473,0.36891146,0.53444424,0.78163284
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-04 00:00:00.000000,0.06708668,0.11983355,0.22398776,151,271,507,70,114,250,0.03114976,0.05048076,0.11056755,0.36878828,0.52420738,0.74186274
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-05 00:00:00.000000,0.07467941,0.13171801,0.24245828,169,298,549,77,125,272,0.03430225,0.05555668,0.12017303,0.36879498,0.51567783,0.71939477
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-06 00:00:00.000000,0.08421968,0.14190719,0.26138265,190,321,591,85,138,301,0.03774588,0.06130203,0.13317691,0.36880807,0.50713146,0.72373565
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-07 00:00:00.000000,0.09428477,0.15414689,0.28104001,213,349,636,94,153,332,0.04167913,0.06771341,0.14671018,0.36885801,0.50204885,0.71770370
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-08 00:00:00.000000,0.10483382,0.16590253,0.30122558,237,375,682,104,169,364,0.04610171,0.07480377,0.16096720,0.36271498,0.49458748,0.70317064
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-09 00:00:00.000000,0.11447130,0.17805696,0.32879542,259,403,744,114,187,398,0.05044122,0.08282104,0.17616485,0.34033572,0.48616019,0.68194905
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-10 00:00:00.000000,0.12427547,0.19523241,0.36590063,281,442,828,124,206,433,0.05484013,0.09110779,0.19120651,0.33075844,0.47489371,0.66532924
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-11 00:00:00.000000,0.13499866,0.21011671,0.40467566,305,475,916,135,228,462,0.05988734,0.10090755,0.20436048,0.31946726,0.46466566,0.64025469
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-12 00:00:00.000000,0.14565646,0.22962965,0.44483506,329,520,1007,146,248,505,0.06479488,0.10981579,0.22316023,0.31271302,0.46176125,0.59980171
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-13 00:00:00.000000,0.15845724,0.24591771,0.48631801,358,556,1101,159,268,560,0.07032079,0.11861712,0.24729398,0.31265044,0.45063620,0.59057294
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-14 00:00:00.000000,0.17245211,0.26256760,0.53062330,390,594,1201,173,290,615,0.07664515,0.12808743,0.27187808,0.31269963,0.44377557,0.59329344
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-15 00:00:00.000000,0.18400539,0.27977941,0.57783811,416,633,1308,189,308,668,0.08366575,0.13635676,0.29536165,0.30252896,0.43990828,0.59332167
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-16 00:00:00.000000,0.19817006,0.29978033,0.62614608,448,678,1418,206,335,724,0.09139450,0.14812652,0.32008476,0.29420030,0.43170812,0.58196169
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-17 00:00:00.000000,0.21385587,0.32111086,0.67170470,484,727,1521,226,357,783,0.09985995,0.15801358,0.34611540,0.29427985,0.42967469,0.58113474
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-18 00:00:00.000000,0.23232187,0.34100451,0.71462560,526,772,1618,243,380,846,0.10759795,0.16782849,0.37358892,0.29453790,0.42161014,0.58002523
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-19 00:00:00.000000,0.24827737,0.36237422,0.75818388,562,820,1717,264,403,911,0.11657975,0.17819196,0.40265130,0.29484106,0.42173908,0.58231486
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-20 00:00:00.000000,0.26883107,0.38709321,0.80450738,608,876,1822,281,428,981,0.12438554,0.18925401,0.43341700,0.29591400,0.42352983,0.57594263
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-21 00:00:00.000000,0.29157520,0.41057556,0.85358402,660,929,1933,307,455,1054,0.13567413,0.20126195,0.46564164,0.30067410,0.42143757,0.57082176
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-22 00:00:00.000000,0.31086441,0.44130877,0.90561948,704,999,2051,331,483,1130,0.14631437,0.21359826,0.49926887,0.30452896,0.41952869,0.56361379
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-23 00:00:00.000000,0.32820903,0.47319726,0.96143819,743,1071,2177,359,511,1209,0.15872503,0.22566967,0.53406963,0.30463665,0.41721975,0.56542481
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-24 00:00:00.000000,0.34279231,0.50212238,1.03434206,776,1137,2342,386,538,1290,0.17058526,0.23782562,0.56973314,0.30426259,0.40196900,0.56810725
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-25 00:00:00.000000,0.35720159,0.53224590,1.10928072,809,1205,2512,409,567,1372,0.18059100,0.25068651,0.60605451,0.30564499,0.40356581,0.56862063
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-26 00:00:00.000000,0.37192279,0.56281840,1.18694112,842,1274,2688,432,598,1456,0.19113230,0.26407181,0.64308622,0.30580434,0.40961133,0.57353196
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-27 00:00:00.000000,0.39014339,0.60059481,1.25446466,883,1360,2841,457,632,1542,0.20206552,0.27927621,0.68111165,0.30986524,0.41022692,0.56988558
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-28 00:00:00.000000,0.41232438,0.64329014,1.32991459,933,1456,3012,478,684,1632,0.21140089,0.30218701,0.72083243,0.31172216,0.41156823,0.56755398
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-29 00:00:00.000000,0.43899138,0.69255003,1.41752822,994,1568,3210,502,732,1728,0.22196193,0.32327378,0.76329487,0.31298324,0.40917409,0.56389880
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-04-30 00:00:00.000000,0.46876718,0.73296133,1.51565284,1061,1660,3432,530,782,1834,0.23420380,0.34565169,0.81005971,0.31674597,0.40929934,0.56179871
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-05-01 00:00:00.000000,0.48998890,0.78653134,1.62146955,1109,1781,3672,562,838,1952,0.24818456,0.37036735,0.86189993,0.32646673,0.40899382,0.57224483
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-05-02 00:00:00.000000,0.51519723,0.83983139,1.73429060,1166,1902,3927,597,895,2080,0.26377406,0.39540621,0.91878921,0.32153131,0.40807615,0.57521163
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-05-03 00:00:00.000000,0.53500836,0.89459811,1.85431376,1211,2026,4199,636,966,2220,0.28085988,0.42694980,0.98056013,0.32172784,0.40905220,0.57375801
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-05-04 00:00:00.000000,0.55575690,0.95286245,1.98164818,1258,2158,4488,678,1032,2371,0.29966270,0.45581190,1.04713150,0.32164722,0.40693300,0.56235991
1101,0,USAlabamaMontgomery,Alabama,Montgomery,2020-11-01 04:40:24.274240,2020-05-05 00:00:00.000000,0.59037738,1.01761756,2.11681940,1337,2304,4794,726,1096,2533,0.32076491,0.48417034,1.11846920,0.32258362,0.40857708,0.54014350
