FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-09 00:00:00.000000,0.00146255,0.00813722,0.02949246,0,4,17,0,2,8,0.00071410,0.00391270,0.01386739,0.45143246,0.58180139,0.79349327
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-10 00:00:00.000000,0.00167675,0.00910286,0.03172303,0,5,18,0,2,8,0.00079441,0.00412399,0.01511566,0.45136062,0.58180129,0.79345132
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-11 00:00:00.000000,0.00188107,0.01030162,0.03409573,1,5,19,0,2,9,0.00084030,0.00435979,0.01578863,0.45125195,0.58180115,0.79337468
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-12 00:00:00.000000,0.00210751,0.01142300,0.03680765,1,6,21,0,2,9,0.00089094,0.00467677,0.01676270,0.45108838,0.58178130,0.79323457
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-13 00:00:00.000000,0.00231268,0.01246207,0.04057058,1,7,23,0,2,10,0.00096590,0.00509483,0.01826696,0.45084397,0.58168547,0.79297782
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-14 00:00:00.000000,0.00251794,0.01348479,0.04466182,1,7,25,0,3,11,0.00106014,0.00553247,0.01998814,0.45048266,0.58147984,0.79250392
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-15 00:00:00.000000,0.00274212,0.01455953,0.04912191,1,8,28,0,3,12,0.00117099,0.00600929,0.02192015,0.44995686,0.58079794,0.79161061
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-16 00:00:00.000000,0.00637110,0.01953652,0.05570685,3,11,32,0,3,13,0.00129731,0.00654089,0.02406567,0.44920833,0.57801215,0.78640158
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-17 00:00:00.000000,0.01000083,0.02364541,0.06524048,5,13,37,1,4,15,0.00223492,0.00754574,0.02672129,0.44709753,0.57583075,0.74649371
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-18 00:00:00.000000,0.01304918,0.02863304,0.07585445,7,16,43,1,5,17,0.00277502,0.00901222,0.02981882,0.44018882,0.56979594,0.74816434
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-19 00:00:00.000000,0.01548147,0.03447563,0.08680401,8,19,50,2,6,19,0.00399178,0.01086021,0.03331618,0.43462667,0.56048172,0.77301003
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-20 00:00:00.000000,0.01777929,0.04020876,0.09646771,10,23,55,3,7,22,0.00557296,0.01364749,0.03815192,0.41854882,0.55877976,0.76105794
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-21 00:00:00.000000,0.02015996,0.04489042,0.10741864,11,26,62,3,9,25,0.00682214,0.01605627,0.04452106,0.40605184,0.54606342,0.74125616
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-22 00:00:00.000000,0.02262936,0.04956036,0.11760742,13,28,68,4,10,29,0.00818071,0.01862600,0.05004213,0.39374355,0.53466749,0.72851887
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-23 00:00:00.000000,0.02776749,0.05666240,0.12762472,16,32,73,5,12,33,0.00963551,0.02136705,0.05696808,0.37237842,0.50700365,0.71780235
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-24 00:00:00.000000,0.03236544,0.06505824,0.13707099,18,37,79,6,14,37,0.01187220,0.02466726,0.06412929,0.34410316,0.49779788,0.73203986
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-25 00:00:00.000000,0.03687814,0.07249604,0.14639136,21,42,84,7,16,41,0.01372684,0.02820078,0.07098204,0.34285011,0.48208677,0.68319830
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-26 00:00:00.000000,0.04317634,0.08024211,0.16081322,25,46,93,9,17,45,0.01575827,0.03096425,0.07777659,0.34464039,0.46943653,0.64046589
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-27 00:00:00.000000,0.04753386,0.08886071,0.18235229,27,51,105,10,19,48,0.01790342,0.03415705,0.08361631,0.33275531,0.46503103,0.63997747
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-28 00:00:00.000000,0.05127955,0.09741296,0.20061704,29,56,116,11,22,51,0.02016438,0.03861750,0.08953472,0.32218109,0.46077473,0.63934222
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-29 00:00:00.000000,0.05592193,0.10460060,0.21425537,32,60,124,13,24,55,0.02249608,0.04188555,0.09569798,0.31233365,0.44609245,0.63698378
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-30 00:00:00.000000,0.05847123,0.11381119,0.22790421,33,65,132,14,26,59,0.02486787,0.04544043,0.10229640,0.29112422,0.44330320,0.60117769
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-03-31 00:00:00.000000,0.06290473,0.12489741,0.24852494,36,72,144,15,29,63,0.02682924,0.05090184,0.10904104,0.28256001,0.42302179,0.58033905
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-01 00:00:00.000000,0.06597826,0.13686103,0.26842944,38,79,155,16,32,67,0.02854039,0.05595767,0.11627067,0.28011032,0.41821644,0.56635171
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-02 00:00:00.000000,0.06915912,0.14971823,0.28523527,40,86,165,17,35,71,0.03011333,0.06097873,0.12372140,0.27951158,0.41568654,0.56603632
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-03 00:00:00.000000,0.07248920,0.15813186,0.30071839,42,91,174,18,38,76,0.03171019,0.06642481,0.13136507,0.26773069,0.40622064,0.56507757
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-04 00:00:00.000000,0.07588213,0.16737336,0.31436515,43,97,182,19,41,80,0.03392156,0.07170183,0.13915107,0.25435371,0.39488579,0.56054749
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-05 00:00:00.000000,0.07944084,0.17942212,0.32602526,46,103,188,20,44,85,0.03561353,0.07744604,0.14775628,0.24313614,0.38124615,0.55765937
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-06 00:00:00.000000,0.08489247,0.19296611,0.33642539,49,111,194,21,48,92,0.03741460,0.08323825,0.15940093,0.23769866,0.37439235,0.55895602
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-07 00:00:00.000000,0.09056705,0.21075807,0.34537241,52,122,200,23,52,99,0.04022367,0.08976260,0.17127179,0.23531432,0.36577419,0.55040219
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-08 00:00:00.000000,0.09648735,0.22283700,0.35310785,55,129,204,25,55,106,0.04352176,0.09661093,0.18317230,0.23436214,0.35973687,0.53873138
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-09 00:00:00.000000,0.10265728,0.23197529,0.36080864,59,134,209,26,59,111,0.04498970,0.10331266,0.19306594,0.23336701,0.35538147,0.53570415
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-10 00:00:00.000000,0.10908607,0.24058354,0.38163902,63,139,221,27,63,115,0.04732708,0.10899909,0.19875771,0.23394459,0.35042792,0.52339446
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-11 00:00:00.000000,0.11578473,0.25063744,0.40242693,67,145,233,29,66,117,0.05030295,0.11520659,0.20267204,0.23443365,0.34710914,0.51401908
1113,0,USAlabamaRussell,Alabama,Russell,2020-11-26 21:47:30.625612,2020-04-12 00:00:00.000000,0.12035916,0.26127740,0.42226881,69,151,244,30,71,121,0.05344197,0.12302753,0.20922364,0.22780419,0.33968173,0.52134641
