FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-09 00:00:00.000000,0.00174925,0.01517325,0.05132857,0,6,20,0,3,9,0.00082636,0.00754853,0.02285707,0.56424673,0.73965374,0.97602631
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-10 00:00:00.000000,0.00210549,0.01733003,0.05997229,0,6,24,0,3,10,0.00097049,0.00832205,0.02622791,0.56424687,0.73970490,0.97602662
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-11 00:00:00.000000,0.00249981,0.01989406,0.06977248,1,8,28,0,3,12,0.00118791,0.00951406,0.02975589,0.56424757,0.73978469,0.97602569
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-12 00:00:00.000000,0.00293922,0.02289554,0.08100166,1,9,32,0,4,13,0.00145011,0.01124457,0.03424116,0.56425006,0.73990933,0.97601826
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-13 00:00:00.000000,0.00344917,0.02599932,0.09366441,1,10,37,0,5,16,0.00174772,0.01281221,0.04009276,0.56425806,0.74010586,0.97598164
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-14 00:00:00.000000,0.00403677,0.02927090,0.10596201,1,11,42,0,6,18,0.00208175,0.01497937,0.04680574,0.56428252,0.74042610,0.97277787
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-15 00:00:00.000000,0.00470913,0.03425879,0.12304753,1,13,49,0,7,21,0.00245865,0.01741063,0.05449543,0.56435558,0.74100141,0.96950735
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-16 00:00:00.000000,0.01325117,0.04682990,0.14562788,5,18,58,1,8,25,0.00288651,0.01991633,0.06325247,0.56457124,0.74003583,0.96950386
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-17 00:00:00.000000,0.02176271,0.06044472,0.17109319,8,24,69,2,10,30,0.00572998,0.02569528,0.07476015,0.56520262,0.73622229,0.96949727
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-18 00:00:00.000000,0.02626695,0.07564506,0.20010198,10,30,80,4,13,36,0.01008859,0.03250769,0.08928839,0.56685476,0.73458359,0.96946195
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-19 00:00:00.000000,0.03116537,0.09408314,0.23298560,12,37,94,4,16,42,0.01223372,0.04032439,0.10573588,0.57200217,0.72819209,0.96197581
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-20 00:00:00.000000,0.03664323,0.11098637,0.26999995,14,44,108,5,19,49,0.01467558,0.04939245,0.12280807,0.58484924,0.71906491,0.95048533
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-21 00:00:00.000000,0.04280215,0.13154528,0.32337950,17,53,130,7,24,58,0.01742786,0.05987700,0.14370945,0.60138968,0.72389615,0.96921901
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-22 00:00:00.000000,0.04968089,0.15585812,0.37511275,20,62,151,8,29,67,0.02052491,0.07247788,0.16744118,0.59909371,0.71791737,0.92288588
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-23 00:00:00.000000,0.06950719,0.18614663,0.42883599,28,75,173,9,35,78,0.02468748,0.08722893,0.19414889,0.59488126,0.72688831,0.91651456
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-24 00:00:00.000000,0.09025731,0.22445028,0.48831709,36,90,197,12,42,91,0.03097605,0.10450926,0.22731534,0.58881510,0.72559830,0.94447027
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-25 00:00:00.000000,0.11323132,0.25823505,0.55381859,45,104,223,16,50,106,0.03994760,0.12619623,0.26504620,0.58236753,0.71559439,0.96504399
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-26 00:00:00.000000,0.13884586,0.30424521,0.62596206,56,122,252,20,59,122,0.05084775,0.14794959,0.30469951,0.57149496,0.70759344,0.98652951
1123,0,USAlabamaTallapoosa,Alabama,Tallapoosa,2020-11-16 02:55:10.250688,2020-03-27 00:00:00.000000,0.16676427,0.35734310,0.70562123,67,144,284,25,69,140,0.06340515,0.17150689,0.34927370,0.55939994,0.70090539,0.96678915
