FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1125,0,USAlabamaTuscaloosa,Alabama,Tuscaloosa,2020-10-17 04:13:38.831533,2020-03-09 00:00:00.000000,0.00075078,0.00187644,0.00409275,1,3,8,0,1,3,0.00012210,0.00071811,0.00182829,0.42422200,0.53834200,0.73338969
1125,0,USAlabamaTuscaloosa,Alabama,Tuscaloosa,2020-10-17 04:13:38.831533,2020-03-10 00:00:00.000000,0.00112811,0.00253015,0.00523422,2,5,10,0,1,4,0.00028658,0.00087098,0.00198862,0.42422165,0.53834180,0.73333331
1125,0,USAlabamaTuscaloosa,Alabama,Tuscaloosa,2020-10-17 04:13:38.831533,2020-03-11 00:00:00.000000,0.00146098,0.00328778,0.00661958,3,6,13,0,2,5,0.00046804,0.00110796,0.00240066,0.42422082,0.53834119,0.73321492
1125,0,USAlabamaTuscaloosa,Alabama,Tuscaloosa,2020-10-17 04:13:38.831533,2020-03-12 00:00:00.000000,0.00180145,0.00402816,0.00790554,3,8,16,1,3,6,0.00066890,0.00146229,0.00313580,0.42421883,0.53708379,0.73296651
1125,0,USAlabamaTuscaloosa,Alabama,Tuscaloosa,2020-10-17 04:13:38.831533,2020-03-13 00:00:00.000000,0.00218739,0.00478747,0.00958903,4,10,20,1,3,8,0.00085569,0.00189933,0.00393305,0.42421393,0.53543109,0.73244623
1125,0,USAlabamaTuscaloosa,Alabama,Tuscaloosa,2020-10-17 04:13:38.831533,2020-03-14 00:00:00.000000,0.00261441,0.00556982,0.01152844,5,11,24,2,5,10,0.00106859,0.00241796,0.00496934,0.42420091,0.53541025,0.73136063
1125,0,USAlabamaTuscaloosa,Alabama,Tuscaloosa,2020-10-17 04:13:38.831533,2020-03-15 00:00:00.000000,0.00308831,0.00663161,0.01362966,6,13,28,2,6,12,0.00124683,0.00294235,0.00597695,0.42415565,0.53533692,0.72961936
1125,0,USAlabamaTuscaloosa,Alabama,Tuscaloosa,2020-10-17 04:13:38.831533,2020-03-16 00:00:00.000000,0.00406826,0.00775619,0.01551383,8,16,32,3,7,15,0.00143859,0.00348107,0.00722777,0.42241008,0.53505057,0.72954475
1125,0,USAlabamaTuscaloosa,Alabama,Tuscaloosa,2020-10-17 04:13:38.831533,2020-03-17 00:00:00.000000,0.00468451,0.00887683,0.01855525,9,18,38,3,8,17,0.00177921,0.00418653,0.00850024,0.41618206,0.53072390,0.72937285
1125,0,USAlabamaTuscaloosa,Alabama,Tuscaloosa,2020-10-17 04:13:38.831533,2020-03-18 00:00:00.000000,0.00531285,0.01010066,0.02201244,11,21,46,4,10,20,0.00225928,0.00491607,0.00981332,0.39365355,0.52395454,0.72806045
