FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1133,0,USAlabamaWinston,Alabama,Winston,2020-11-16 03:35:28.006602,2020-03-09 00:00:00.000000,0.00115453,0.01051935,0.04222833,0,2,9,0,1,5,0.00035977,0.00603003,0.02461763,0.42306824,0.54609307,0.70338686
1133,0,USAlabamaWinston,Alabama,Winston,2020-11-16 03:35:28.006602,2020-03-10 00:00:00.000000,0.00131301,0.01181493,0.04402375,0,2,10,0,1,5,0.00041428,0.00589107,0.02377305,0.42306812,0.54609299,0.70336973
1133,0,USAlabamaWinston,Alabama,Winston,2020-11-16 03:35:28.006602,2020-03-11 00:00:00.000000,0.00147907,0.01286474,0.04793534,0,3,11,0,1,5,0.00047974,0.00607452,0.02266545,0.42306786,0.54609282,0.70332708
1133,0,USAlabamaWinston,Alabama,Winston,2020-11-16 03:35:28.006602,2020-03-12 00:00:00.000000,0.00165507,0.01406038,0.05184423,0,3,12,0,1,5,0.00054829,0.00643654,0.02188544,0.42306730,0.54596054,0.70322088
1133,0,USAlabamaWinston,Alabama,Winston,2020-11-16 03:35:28.006602,2020-03-13 00:00:00.000000,0.00184342,0.01524590,0.05515797,0,3,13,0,1,5,0.00062224,0.00684044,0.02294786,0.42306611,0.54336918,0.70295668
1133,0,USAlabamaWinston,Alabama,Winston,2020-11-16 03:35:28.006602,2020-03-14 00:00:00.000000,0.00204649,0.01643751,0.05906832,0,3,13,0,1,5,0.00070323,0.00735398,0.02441452,0.42306355,0.53905406,0.70247707
1133,0,USAlabamaWinston,Alabama,Winston,2020-11-16 03:35:28.006602,2020-03-15 00:00:00.000000,0.00226622,0.01792591,0.06316332,0,4,14,0,1,6,0.00079261,0.00787498,0.02611962,0.42305807,0.53732473,0.70242139
1133,0,USAlabamaWinston,Alabama,Winston,2020-11-16 03:35:28.006602,2020-03-16 00:00:00.000000,0.00731010,0.02523291,0.07582613,1,5,17,0,2,6,0.00089152,0.00849071,0.02802566,0.41495491,0.53638390,0.70222434
1133,0,USAlabamaWinston,Alabama,Winston,2020-11-16 03:35:28.006602,2020-03-17 00:00:00.000000,0.01088756,0.03324286,0.08870447,2,7,20,0,2,7,0.00213793,0.00988516,0.03108751,0.41371710,0.52952549,0.70152233
1133,0,USAlabamaWinston,Alabama,Winston,2020-11-16 03:35:28.006602,2020-03-18 00:00:00.000000,0.01490061,0.04109544,0.10140938,3,9,23,0,2,8,0.00360274,0.01253483,0.03491907,0.41156520,0.52041402,0.69902958
