FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-09 00:00:00.000000,0.00421285,0.01002089,0.01958709,4,9,18,0,3,6,0.00065987,0.00320344,0.00689953,0.45967247,0.62844277,0.84127920
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-10 00:00:00.000000,0.00656932,0.01395569,0.02820485,6,13,27,1,4,8,0.00151501,0.00444174,0.00873712,0.45967242,0.62838426,0.84128176
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-11 00:00:00.000000,0.00914619,0.01830219,0.03795165,8,17,36,2,5,11,0.00251450,0.00613035,0.01189059,0.45967235,0.62818561,0.84128612
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-12 00:00:00.000000,0.01131722,0.02327094,0.04824004,10,22,46,3,8,15,0.00367058,0.00827738,0.01631840,0.45967224,0.62780307,0.84129347
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-13 00:00:00.000000,0.01352530,0.02822537,0.06069557,13,27,58,4,9,22,0.00458141,0.01009729,0.02273488,0.45967205,0.62706756,0.84130569
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-14 00:00:00.000000,0.01538392,0.03292220,0.07524873,14,31,72,5,12,28,0.00562431,0.01258221,0.02981522,0.45967160,0.62609766,0.84132537
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-15 00:00:00.000000,0.01738982,0.03866323,0.09026766,16,37,87,6,14,36,0.00679872,0.01482126,0.03758132,0.45966997,0.62500832,0.84135501
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-16 00:00:00.000000,0.02145429,0.04590231,0.10035231,20,44,97,7,17,43,0.00811285,0.01772855,0.04458873,0.45966197,0.62272700,0.84138462
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-17 00:00:00.000000,0.02576961,0.05410060,0.11109184,24,52,107,9,20,49,0.00964869,0.02118817,0.05078347,0.45961741,0.61881992,0.83814188
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-18 00:00:00.000000,0.02879236,0.06195611,0.12229657,27,60,118,10,23,55,0.01123087,0.02468231,0.05683693,0.45766094,0.60942918,0.82775962
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-19 00:00:00.000000,0.03436416,0.06846851,0.13603211,33,66,131,12,28,61,0.01320389,0.02925938,0.06300091,0.42875087,0.59545275,0.82600929
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-20 00:00:00.000000,0.03844924,0.07736104,0.14895195,37,74,144,14,32,67,0.01519398,0.03347120,0.06932852,0.38903950,0.56957922,0.82134158
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-21 00:00:00.000000,0.04206484,0.08819507,0.16269653,40,85,157,16,36,74,0.01695393,0.03803044,0.07664221,0.36028224,0.54846020,0.80880106
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-22 00:00:00.000000,0.04564233,0.09694321,0.17753416,44,93,171,17,42,82,0.01847646,0.04389748,0.08486371,0.34680882,0.52418483,0.77340193
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-23 00:00:00.000000,0.05280240,0.10464940,0.18500777,51,101,179,19,46,89,0.02021034,0.04850541,0.09226863,0.33278475,0.50542492,0.71504434
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-24 00:00:00.000000,0.06003521,0.11375263,0.19144274,58,110,185,22,50,95,0.02271613,0.05260001,0.09890031,0.30789475,0.48115614,0.70908045
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-25 00:00:00.000000,0.06728958,0.12508192,0.19881312,65,121,192,26,55,102,0.02695239,0.05742875,0.10599389,0.29635218,0.46121957,0.70494685
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-26 00:00:00.000000,0.07452791,0.13489335,0.20943949,72,130,202,29,61,108,0.03074798,0.06352832,0.11164470,0.28557764,0.45215772,0.68125653
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-27 00:00:00.000000,0.07796665,0.14873039,0.22557133,75,144,218,32,67,112,0.03363476,0.06980647,0.11605215,0.26718859,0.42610640,0.64595228
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-28 00:00:00.000000,0.08112058,0.15811804,0.23131848,78,153,224,34,73,121,0.03601456,0.07551056,0.12592433,0.24461167,0.39649884,0.62978703
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-29 00:00:00.000000,0.08834843,0.16470475,0.23599779,85,159,228,37,77,128,0.03922054,0.08026455,0.13291408,0.22281603,0.36529882,0.61274015
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-30 00:00:00.000000,0.08748122,0.16916583,0.24024790,84,163,232,39,83,133,0.04086212,0.08606568,0.13817913,0.21155447,0.34161911,0.57543901
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-03-31 00:00:00.000000,0.08690722,0.17385061,0.24526605,84,168,237,40,87,137,0.04215841,0.09057137,0.14246798,0.20944797,0.31850522,0.50706584
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-01 00:00:00.000000,0.08802107,0.17656217,0.25060419,85,170,242,42,89,141,0.04369027,0.09271926,0.14621580,0.20875217,0.30670733,0.49075401
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-02 00:00:00.000000,0.08874536,0.18118392,0.25413533,85,175,246,43,89,144,0.04502717,0.09291472,0.14950426,0.19968569,0.28995883,0.48984151
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-03 00:00:00.000000,0.08859677,0.17852142,0.25517031,85,172,247,43,91,147,0.04521292,0.09463053,0.15209849,0.18211102,0.26174342,0.48024294
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-04 00:00:00.000000,0.08719886,0.17528174,0.25379027,84,169,245,43,93,148,0.04502770,0.09658020,0.15379236,0.16364207,0.25107549,0.44875375
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-05 00:00:00.000000,0.08476724,0.17035594,0.25138854,82,164,243,43,93,149,0.04502296,0.09647333,0.15425474,0.15355047,0.23721578,0.39429533
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-06 00:00:00.000000,0.08374443,0.16733933,0.24761728,81,162,239,43,93,148,0.04473840,0.09675589,0.15362515,0.15094897,0.22200053,0.35166536
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-07 00:00:00.000000,0.08218731,0.16391834,0.24715481,79,158,239,42,92,147,0.04435497,0.09545290,0.15203405,0.14338939,0.21635268,0.33019242
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-08 00:00:00.000000,0.08052762,0.15927761,0.25186920,77,154,243,42,90,145,0.04389234,0.09294533,0.14996309,0.13468787,0.20539248,0.31414867
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-09 00:00:00.000000,0.07888920,0.15622324,0.25640269,76,151,248,42,87,142,0.04337379,0.09055938,0.14742267,0.12040537,0.19552359,0.29589967
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-10 00:00:00.000000,0.07732527,0.15399674,0.26023777,74,149,252,41,87,144,0.04280246,0.09023057,0.14869775,0.11626077,0.18699354,0.28503457
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-11 00:00:00.000000,0.07587987,0.15162935,0.25865778,73,146,250,40,86,146,0.04215837,0.08890913,0.15111511,0.11628443,0.17640918,0.27019360
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-12 00:00:00.000000,0.07455528,0.14483164,0.25432457,72,140,246,40,84,146,0.04142131,0.08725879,0.15144054,0.11631738,0.17116032,0.26047858
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-13 00:00:00.000000,0.07106124,0.14033945,0.24603581,68,135,238,39,83,145,0.04059962,0.08654150,0.14985048,0.11624286,0.16500669,0.25511332
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-14 00:00:00.000000,0.06765385,0.13419187,0.23732698,65,129,229,38,80,141,0.03927411,0.08278091,0.14611236,0.11392951,0.16088644,0.24988258
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-15 00:00:00.000000,0.06429054,0.12939365,0.22811999,62,125,220,36,77,136,0.03791037,0.07999727,0.14139199,0.11310521,0.15601884,0.24227068
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-16 00:00:00.000000,0.06104085,0.12536127,0.21841539,59,121,211,35,74,131,0.03660298,0.07666680,0.13611157,0.11025167,0.15412620,0.24085755
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-17 00:00:00.000000,0.05795037,0.12092578,0.20791545,56,117,201,34,71,126,0.03531960,0.07364850,0.13045606,0.10848273,0.15218417,0.24166386
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-18 00:00:00.000000,0.05505778,0.11450937,0.19684503,53,110,190,32,68,120,0.03387794,0.07034507,0.12448760,0.10462962,0.15051768,0.24631090
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-19 00:00:00.000000,0.05241237,0.11003258,0.18651825,50,106,180,31,64,114,0.03222294,0.06694826,0.11819114,0.10570388,0.14944592,0.24874770
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-20 00:00:00.000000,0.05096672,0.10517809,0.17784224,49,101,172,29,61,108,0.03066315,0.06379782,0.11167867,0.09973741,0.14700687,0.24939699
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-21 00:00:00.000000,0.05044632,0.10108415,0.17639455,48,97,170,28,59,101,0.02931339,0.06132590,0.10492977,0.09829168,0.14677711,0.24729686
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-22 00:00:00.000000,0.05077933,0.09670357,0.16411090,49,93,158,27,56,100,0.02816992,0.05855586,0.10329244,0.09760299,0.14784584,0.24273134
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-23 00:00:00.000000,0.05081713,0.09343982,0.15441565,49,90,149,26,54,96,0.02760873,0.05606565,0.09938171,0.09649619,0.14773763,0.24263023
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-24 00:00:00.000000,0.04768218,0.08799835,0.14751169,46,85,142,26,51,91,0.02776126,0.05360371,0.09465534,0.09599810,0.14743051,0.24253738
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-25 00:00:00.000000,0.04697792,0.08335093,0.14130833,45,80,136,26,49,88,0.02762593,0.05123745,0.09157885,0.09693343,0.15058176,0.23927835
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-26 00:00:00.000000,0.04622721,0.07936541,0.13618158,44,76,131,24,47,85,0.02571996,0.04901755,0.08862867,0.09651878,0.15028603,0.22458944
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-27 00:00:00.000000,0.04296338,0.07691020,0.13070902,41,74,126,23,45,83,0.02441410,0.04717645,0.08581497,0.09601012,0.14908234,0.22161118
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-28 00:00:00.000000,0.04009008,0.07502486,0.12568586,38,72,121,22,44,80,0.02372139,0.04551573,0.08289512,0.09524265,0.15056391,0.22267489
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-29 00:00:00.000000,0.03863459,0.07309716,0.12095497,37,70,117,22,42,77,0.02295251,0.04420681,0.07995778,0.09444332,0.14954686,0.22113652
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-04-30 00:00:00.000000,0.03722743,0.07190221,0.11656010,36,69,112,21,41,74,0.02216824,0.04292775,0.07706038,0.09455453,0.14850159,0.22259795
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-01 00:00:00.000000,0.03587362,0.07085349,0.11816206,34,68,114,20,40,71,0.02133331,0.04205888,0.07424649,0.09511345,0.15254117,0.22350797
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-02 00:00:00.000000,0.03457198,0.06952728,0.12078392,33,67,116,19,39,69,0.02046815,0.04118077,0.07158314,0.09716074,0.15394906,0.22357951
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-03 00:00:00.000000,0.03331308,0.06771140,0.12338870,32,65,119,19,38,67,0.01967272,0.03991690,0.06924143,0.10264357,0.15486929,0.22359076
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-04 00:00:00.000000,0.03307917,0.06455613,0.12281017,32,62,118,18,38,65,0.01894088,0.03941841,0.06740099,0.10549602,0.15552173,0.22374749
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-05 00:00:00.000000,0.03282546,0.06294455,0.12224513,31,60,118,17,36,64,0.01830619,0.03817940,0.06612460,0.10818244,0.15835746,0.22573846
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-06 00:00:00.000000,0.03202763,0.06206668,0.12165707,31,60,117,17,35,63,0.01774509,0.03703585,0.06522427,0.11113055,0.15875355,0.22920503
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-07 00:00:00.000000,0.03123045,0.06103689,0.12118859,30,59,117,16,34,62,0.01724316,0.03588343,0.06455050,0.11262586,0.16285026,0.23463564
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-08 00:00:00.000000,0.03051223,0.06149011,0.12100189,29,59,117,16,33,61,0.01679256,0.03504389,0.06399955,0.11554110,0.16466552,0.23489075
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-09 00:00:00.000000,0.02987881,0.05965264,0.12130293,28,57,117,15,33,61,0.01638637,0.03416979,0.06350552,0.11496716,0.17404990,0.24011394
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-10 00:00:00.000000,0.02897768,0.05862832,0.12220068,28,56,118,15,31,61,0.01602338,0.03302500,0.06303267,0.11512664,0.17808253,0.26078203
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-11 00:00:00.000000,0.02714916,0.05668395,0.12037935,26,54,116,15,31,60,0.01571117,0.03227030,0.06294274,0.11532270,0.18458826,0.27575454
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-12 00:00:00.000000,0.02538833,0.05455388,0.11857248,24,52,114,14,29,60,0.01494741,0.03097162,0.06296592,0.11571063,0.18575227,0.29534845
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-13 00:00:00.000000,0.02344479,0.05201941,0.11565400,22,50,112,13,29,60,0.01399444,0.03007342,0.06297137,0.11688297,0.18841390,0.29891900
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-14 00:00:00.000000,0.02157881,0.04973666,0.11268925,20,48,109,12,28,60,0.01298516,0.02902050,0.06287545,0.11951799,0.19005896,0.29018504
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-15 00:00:00.000000,0.01982781,0.04774778,0.10973609,19,46,106,11,27,60,0.01198720,0.02808524,0.06251100,0.11992886,0.19526575,0.31510141
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-16 00:00:00.000000,0.01821448,0.04575631,0.10702391,17,44,103,10,25,59,0.01103468,0.02654628,0.06194773,0.11967248,0.20074039,0.32894561
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-17 00:00:00.000000,0.01675572,0.04400953,0.10498407,16,42,101,9,24,59,0.01014605,0.02548234,0.06126526,0.12147882,0.21235331,0.34225947
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-18 00:00:00.000000,0.01543882,0.04238517,0.10324871,14,41,99,9,24,58,0.00933303,0.02483516,0.06024279,0.12495108,0.21807827,0.34997297
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-19 00:00:00.000000,0.01424323,0.04115071,0.10159495,13,39,98,8,23,56,0.00859580,0.02436273,0.05862707,0.12860426,0.22322135,0.35567979
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-20 00:00:00.000000,0.01317065,0.04021021,0.10000120,12,38,96,7,22,55,0.00792711,0.02367815,0.05720031,0.13278989,0.22912828,0.36054565
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-21 00:00:00.000000,0.01226724,0.03945961,0.09847023,11,38,95,7,22,54,0.00732410,0.02289656,0.05595068,0.13834558,0.23601207,0.37234233
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-22 00:00:00.000000,0.01162895,0.03855314,0.09723934,11,37,94,6,21,53,0.00680069,0.02227882,0.05484164,0.14608707,0.24032010,0.38257179
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-23 00:00:00.000000,0.01123759,0.03779599,0.09798587,10,36,94,6,21,52,0.00639368,0.02177855,0.05386541,0.15464559,0.25173631,0.40681223
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-24 00:00:00.000000,0.01096857,0.03698421,0.09678188,10,35,93,5,20,51,0.00611329,0.02137211,0.05352910,0.16304462,0.25997670,0.41463074
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-25 00:00:00.000000,0.01379412,0.03907934,0.09530988,13,37,92,5,20,51,0.00592233,0.02087291,0.05364337,0.16448825,0.27081730,0.40677827
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-26 00:00:00.000000,0.01666258,0.04100798,0.09385593,16,39,90,6,20,52,0.00674833,0.02106123,0.05415449,0.16980130,0.27921662,0.44447560
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-27 00:00:00.000000,0.01733679,0.04408180,0.09427845,16,42,91,7,20,52,0.00805246,0.02158404,0.05442827,0.16833815,0.28799437,0.48626484
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-28 00:00:00.000000,0.01815797,0.04767573,0.09668295,17,46,93,9,21,52,0.00942721,0.02240552,0.05459768,0.17703822,0.30198120,0.50517741
2090,0,USAlaskaFairbanksNorthStar,Alaska,Fairbanks North Star,2020-11-26 21:50:58.284290,2020-05-29 00:00:00.000000,0.01910233,0.05193609,0.10077033,18,50,97,9,23,53,0.00973683,0.02406517,0.05531709,0.17899840,0.31728983,0.51188544
