FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-09 00:00:00.000000,0.00134780,0.00316854,0.00542871,60,142,243,23,65,113,0.00053438,0.00145603,0.00252473,0.66792102,0.83418412,1.00060459
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-10 00:00:00.000000,0.00175393,0.00379711,0.00637061,78,170,285,30,75,124,0.00066949,0.00168098,0.00277224,0.66793447,0.83412443,1.00059338
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-11 00:00:00.000000,0.00221189,0.00450714,0.00742313,99,202,332,39,89,150,0.00088653,0.00198545,0.00335422,0.66795927,0.83391455,1.00056615
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-12 00:00:00.000000,0.00280694,0.00524817,0.00861947,125,235,386,52,104,178,0.00116139,0.00233098,0.00398883,0.66800490,0.83167595,1.00049674
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-13 00:00:00.000000,0.00355276,0.00614878,0.00999192,159,275,448,67,123,206,0.00150052,0.00274900,0.00461266,0.66808862,0.82991632,1.00031273
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-14 00:00:00.000000,0.00445822,0.00718548,0.01157275,199,322,519,85,146,239,0.00191519,0.00325775,0.00532939,0.66824128,0.82944435,0.99979961
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-15 00:00:00.000000,0.00537106,0.00843718,0.01339671,240,378,600,107,173,276,0.00238870,0.00386550,0.00615435,0.66851660,0.83090196,0.99850925
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-16 00:00:00.000000,0.00656174,0.01001808,0.01549148,294,449,694,127,205,327,0.00283358,0.00458512,0.00730610,0.66900312,0.83110031,0.98851463
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-17 00:00:00.000000,0.00793700,0.01173107,0.01791206,356,526,803,152,242,390,0.00340007,0.00540249,0.00870128,0.66983063,0.82672436,0.98495290
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-18 00:00:00.000000,0.00951120,0.01384208,0.02070702,426,620,928,179,283,464,0.00399276,0.00631681,0.01035403,0.67113814,0.82385664,0.97380778
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-19 00:00:00.000000,0.01111930,0.01638520,0.02440368,498,734,1094,209,328,552,0.00467989,0.00733354,0.01231985,0.63108749,0.81733194,0.96250216
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-20 00:00:00.000000,0.01283731,0.01898882,0.02900796,575,851,1301,248,381,657,0.00553212,0.00851588,0.01465657,0.61118756,0.80070602,0.96151018
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-21 00:00:00.000000,0.01485979,0.02234061,0.03440486,666,1002,1543,292,446,781,0.00652341,0.00994939,0.01742993,0.58863773,0.78327832,0.95984483
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-22 00:00:00.000000,0.01773515,0.02567063,0.04051798,795,1151,1817,342,524,900,0.00764673,0.01168939,0.02007965,0.56778227,0.76491631,0.95011700
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-23 00:00:00.000000,0.02100450,0.02942913,0.04698865,942,1320,2107,399,620,1026,0.00890726,0.01382847,0.02288432,0.54926205,0.73862892,0.91441126
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-24 00:00:00.000000,0.02402785,0.03425922,0.05378222,1077,1536,2412,460,730,1165,0.01026987,0.01629678,0.02598766,0.49308941,0.71222974,0.91384318
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-25 00:00:00.000000,0.02746508,0.03936256,0.06126691,1231,1765,2748,529,855,1357,0.01180383,0.01906234,0.03026562,0.47567138,0.68177328,0.92479983
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-26 00:00:00.000000,0.03138972,0.04455770,0.06972244,1407,1998,3127,605,984,1576,0.01350758,0.02195978,0.03513750,0.46589515,0.64464975,0.93340239
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-27 00:00:00.000000,0.03499095,0.05010900,0.07914386,1569,2247,3549,689,1119,1822,0.01537212,0.02495623,0.04064093,0.44463340,0.61279424,0.92602818
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-28 00:00:00.000000,0.03876435,0.05586259,0.08556578,1738,2505,3837,782,1270,1968,0.01745609,0.02833126,0.04388643,0.37965449,0.57869615,0.84253494
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-29 00:00:00.000000,0.04284720,0.06186605,0.09117995,1921,2774,4089,888,1443,2087,0.01981383,0.03218748,0.04653742,0.35720248,0.54988487,0.77524374
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-30 00:00:00.000000,0.04720792,0.06725650,0.10002627,2117,3016,4486,1022,1626,2224,0.02278696,0.03625720,0.04960297,0.33591076,0.52417899,0.75918615
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-03-31 00:00:00.000000,0.05192923,0.07300541,0.10718393,2329,3274,4807,1164,1786,2486,0.02595793,0.03983296,0.05542416,0.32463242,0.49617247,0.68588692
4013,0,USArizonaMaricopa,Arizona,Maricopa,2020-11-16 03:16:09.097438,2020-04-01 00:00:00.000000,0.05693340,0.07896646,0.11453258,2553,3541,5137,1286,1926,2727,0.02869241,0.04294605,0.06081538,0.30808611,0.46831840,0.58948883
