FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-09 00:00:00.000000,0.00156378,0.00593309,0.02001552,0,2,9,0,1,4,0.00054926,0.00260168,0.00939967,0.38211370,0.49028707,0.63924373
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-10 00:00:00.000000,0.00267677,0.00828352,0.02291665,1,3,10,0,1,4,0.00062077,0.00293544,0.01013348,0.38211340,0.48995707,0.63913580
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-11 00:00:00.000000,0.00397101,0.01079465,0.02592142,1,5,12,0,1,5,0.00079959,0.00354948,0.01131770,0.38211294,0.48941288,0.63898445
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-12 00:00:00.000000,0.00507966,0.01317179,0.02909396,2,6,13,0,2,5,0.00106041,0.00439020,0.01278735,0.38211225,0.48852023,0.63876954
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-13 00:00:00.000000,0.00595060,0.01561174,0.03397780,2,7,15,0,2,6,0.00157350,0.00536960,0.01445652,0.38211121,0.48706884,0.63845773
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-14 00:00:00.000000,0.00687738,0.01834429,0.03971026,3,8,18,1,3,7,0.00216632,0.00663233,0.01658759,0.38210963,0.48474243,0.63699918
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-15 00:00:00.000000,0.00786842,0.02142460,0.04582157,3,9,21,1,3,8,0.00261614,0.00808606,0.01878736,0.38210713,0.48086781,0.63698256
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-16 00:00:00.000000,0.01004152,0.02543549,0.04979340,4,11,23,1,4,9,0.00304034,0.00979834,0.02143642,0.38210091,0.47630677,0.63683823
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-17 00:00:00.000000,0.01317733,0.02942027,0.05634766,6,13,26,1,5,11,0.00366650,0.01150807,0.02512468,0.37018176,0.47049475,0.63472556
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-18 00:00:00.000000,0.01611904,0.03332155,0.06379784,7,15,29,2,6,13,0.00468616,0.01342779,0.02908932,0.35887915,0.45654655,0.61281593
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-19 00:00:00.000000,0.01833062,0.03761988,0.07151086,8,17,33,2,7,15,0.00614424,0.01548698,0.03334812,0.32760921,0.44930864,0.59906119
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-20 00:00:00.000000,0.02054383,0.04115434,0.07890975,9,19,36,3,8,17,0.00776595,0.01730877,0.03782988,0.30439414,0.42483687,0.57275904
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-21 00:00:00.000000,0.02284240,0.04484330,0.08460224,10,20,39,4,9,19,0.00950435,0.01968579,0.04110038,0.28181744,0.40359207,0.55908293
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-22 00:00:00.000000,0.02534490,0.04921397,0.09225077,11,22,42,5,10,20,0.01112520,0.02224219,0.04389004,0.27239478,0.38991625,0.52893444
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-23 00:00:00.000000,0.03035590,0.05361570,0.09895688,14,24,46,5,11,22,0.01244405,0.02478986,0.04804705,0.27228586,0.37135523,0.50803701
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-24 00:00:00.000000,0.03469438,0.05840214,0.10775157,16,27,50,6,12,24,0.01415189,0.02695307,0.05241059,0.26860446,0.35697449,0.49293240
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-25 00:00:00.000000,0.03688143,0.06434049,0.11579262,17,29,53,7,13,26,0.01527981,0.02945263,0.05749766,0.26435240,0.33749576,0.48402211
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-26 00:00:00.000000,0.03908303,0.07042312,0.12358437,18,32,57,7,14,29,0.01642034,0.03209632,0.06277619,0.24383038,0.32953118,0.45976726
4023,0,USArizonaSantaCruz,Arizona,Santa Cruz,2020-11-26 21:40:55.143544,2020-03-27 00:00:00.000000,0.04130094,0.07615479,0.13033265,19,35,60,8,16,30,0.01859541,0.03512852,0.06624285,0.23217927,0.32197167,0.44715840
