FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-09 00:00:00.000000,0.00331668,0.01884700,0.07305354,0,3,14,0,1,8,0.00173255,0.00985830,0.04223115,0.39321864,0.51855421,0.64864215
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-10 00:00:00.000000,0.00369019,0.02075032,0.07774245,0,4,15,0,1,8,0.00175671,0.01000764,0.04324502,0.39321864,0.51855232,0.64840817
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-11 00:00:00.000000,0.00407101,0.02266141,0.08265349,0,4,16,0,2,9,0.00187824,0.01054294,0.04593305,0.39321861,0.51733693,0.64799843
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-12 00:00:00.000000,0.00446743,0.02459010,0.08832337,0,4,17,0,2,9,0.00202708,0.01144141,0.04831133,0.39321851,0.51521952,0.64728245
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-13 00:00:00.000000,0.00488555,0.02650712,0.09537706,0,5,18,0,2,9,0.00220468,0.01263882,0.05078943,0.39321811,0.51400524,0.64402954
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-14 00:00:00.000000,0.00533023,0.02878460,0.10254702,1,5,20,0,2,10,0.00240130,0.01348613,0.05369476,0.39215109,0.50891845,0.64143420
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-15 00:00:00.000000,0.00580576,0.03080190,0.10974033,1,6,21,0,2,11,0.00261071,0.01408892,0.05690892,0.39051326,0.50889941,0.64049730
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-16 00:00:00.000000,0.01275119,0.03971087,0.11947778,2,7,23,0,2,11,0.00283568,0.01507519,0.06037435,0.38966479,0.50879900,0.63461030
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-17 00:00:00.000000,0.01675901,0.04875783,0.13085809,3,9,25,0,3,12,0.00448777,0.01761064,0.06575297,0.38676380,0.50172818,0.62283032
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-18 00:00:00.000000,0.01957148,0.05949342,0.14449576,3,11,28,1,4,14,0.00704684,0.02087942,0.07235224,0.37712790,0.49318378,0.60967842
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-19 00:00:00.000000,0.02321143,0.06784193,0.15854472,4,13,31,1,5,15,0.00902208,0.02551725,0.07975511,0.35960949,0.48173993,0.58741830
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-20 00:00:00.000000,0.02847129,0.07704409,0.18119134,5,15,35,2,5,17,0.01059559,0.03024270,0.08774118,0.32878451,0.46391746,0.57391752
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-21 00:00:00.000000,0.03411315,0.08844364,0.21001294,6,17,41,2,7,18,0.01341998,0.03602419,0.09593072,0.27617560,0.44072125,0.57057848
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-22 00:00:00.000000,0.04010393,0.09999646,0.22247384,7,19,43,3,8,20,0.01651791,0.04178336,0.10679960,0.26434569,0.41865419,0.56873099
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-23 00:00:00.000000,0.04704591,0.11434748,0.23549217,9,22,46,3,9,23,0.01989520,0.04742784,0.11781899,0.26253001,0.39974661,0.56391038
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-24 00:00:00.000000,0.05437578,0.12631276,0.24829179,10,24,48,4,10,24,0.02365086,0.05434476,0.12493576,0.24990986,0.37919412,0.54526653
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-25 00:00:00.000000,0.06218071,0.14334372,0.26073476,12,28,51,5,11,25,0.02700601,0.06101969,0.13222200,0.24523576,0.36681684,0.53827155
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-26 00:00:00.000000,0.06847596,0.15132699,0.27845056,13,29,54,5,13,27,0.02895946,0.06823503,0.13937105,0.24466119,0.34641763,0.50100950
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-27 00:00:00.000000,0.07221008,0.16801415,0.29218147,14,33,57,6,14,30,0.03083183,0.07530051,0.15708614,0.22945551,0.32920673,0.48578645
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-28 00:00:00.000000,0.07601909,0.18305669,0.30485479,14,35,59,6,16,32,0.03267945,0.08335158,0.16752279,0.21559973,0.31334111,0.46667001
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-29 00:00:00.000000,0.07989829,0.19564309,0.31284804,15,38,61,6,17,35,0.03452959,0.09103651,0.18038986,0.21284242,0.30055223,0.45936620
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-30 00:00:00.000000,0.09501413,0.20317105,0.33526993,18,39,65,7,19,37,0.03758391,0.09820564,0.19255596,0.20880614,0.28688240,0.45795572
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-03-31 00:00:00.000000,0.11021193,0.21624996,0.35702488,21,42,70,8,20,40,0.04103536,0.10494038,0.20567454,0.19683578,0.27900455,0.45680924
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-01 00:00:00.000000,0.12633508,0.22826099,0.37395866,24,44,73,9,21,43,0.04622065,0.11063701,0.21941085,0.19084459,0.27298558,0.41689538
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-02 00:00:00.000000,0.13325112,0.23740848,0.38443732,26,46,75,10,23,45,0.05275163,0.11849129,0.23346300,0.18067769,0.26619422,0.39147046
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-03 00:00:00.000000,0.14048536,0.25122895,0.39125602,27,49,76,11,24,48,0.05992804,0.12471509,0.24740992,0.17187849,0.26273885,0.38698376
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-04 00:00:00.000000,0.15577792,0.26675417,0.40827599,30,52,80,13,25,51,0.06759901,0.13159487,0.26065437,0.15945218,0.25368497,0.37440856
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-05 00:00:00.000000,0.16329684,0.27464580,0.43762517,32,53,86,14,26,53,0.07546280,0.13726961,0.27261878,0.15375193,0.23987414,0.36265390
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-06 00:00:00.000000,0.16745094,0.28185826,0.45393990,32,55,89,16,28,55,0.08485370,0.14299504,0.28166735,0.14847260,0.23037969,0.34705782
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-07 00:00:00.000000,0.17013860,0.28409743,0.45634285,33,55,89,17,29,56,0.08928414,0.15115732,0.28799656,0.14398299,0.22016707,0.33294500
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-08 00:00:00.000000,0.17224855,0.28761750,0.45653561,33,56,89,18,30,57,0.09419549,0.15597513,0.29262090,0.14399791,0.21661209,0.33524144
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-09 00:00:00.000000,0.17342052,0.28576970,0.45570679,34,56,89,18,31,58,0.09643537,0.15816650,0.29611486,0.14467408,0.21200269,0.32279471
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-10 00:00:00.000000,0.17374429,0.28903045,0.46260915,34,56,90,18,31,58,0.09656394,0.16247417,0.29882871,0.13905711,0.20894557,0.31393989
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-11 00:00:00.000000,0.17374869,0.29395446,0.46818981,34,57,92,18,32,59,0.09654433,0.16642192,0.30110033,0.13513658,0.20403239,0.31050998
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-12 00:00:00.000000,0.17361399,0.29522649,0.47711115,34,58,93,18,33,59,0.09637321,0.16885310,0.30308790,0.13271594,0.20214114,0.30779561
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-13 00:00:00.000000,0.17183333,0.29612183,0.48173388,33,58,94,18,34,60,0.09661065,0.17325712,0.30678895,0.13186189,0.19883546,0.28936149
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-14 00:00:00.000000,0.17016480,0.29941991,0.48515539,33,58,95,18,34,60,0.09656369,0.17584102,0.30697580,0.13087831,0.19504913,0.28616214
5003,0,USArkansasAshley,Arkansas,Ashley,2020-11-26 21:30:59.463668,2020-04-15 00:00:00.000000,0.16928629,0.30844857,0.48893260,33,60,96,18,34,60,0.09597884,0.17706375,0.30762478,0.13017483,0.19171342,0.28086429
