FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-09 00:00:00.000000,0.00103721,0.00971251,0.03977240,0,4,16,0,2,8,0.00059503,0.00535016,0.01912893,0.36372555,0.51227070,0.67757300
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-10 00:00:00.000000,0.00115073,0.01036121,0.04199711,0,4,17,0,2,8,0.00056151,0.00533456,0.01929917,0.36372353,0.51227069,0.67755093
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-11 00:00:00.000000,0.00125941,0.01109162,0.04434010,0,4,18,0,2,8,0.00056566,0.00531171,0.01984672,0.36371948,0.51219618,0.67750178
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-12 00:00:00.000000,0.00136469,0.01196207,0.04680505,0,5,19,0,2,8,0.00059121,0.00563248,0.02063891,0.36371138,0.51113811,0.67739233
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-13 00:00:00.000000,0.00146780,0.01271127,0.04939771,0,5,20,0,2,9,0.00062873,0.00580615,0.02160269,0.36369519,0.50901677,0.67714869
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-14 00:00:00.000000,0.00156981,0.01350390,0.05210653,0,5,21,0,2,9,0.00067285,0.00591127,0.02269062,0.36366287,0.50845216,0.67660675
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-15 00:00:00.000000,0.00167151,0.01430268,0.05494510,0,5,23,0,2,10,0.00072059,0.00628422,0.02387703,0.36224548,0.50844882,0.67540341
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-16 00:00:00.000000,0.00574784,0.01896765,0.05852038,2,7,24,0,2,10,0.00077036,0.00652802,0.02514882,0.35562009,0.50343486,0.67274267
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-17 00:00:00.000000,0.00828551,0.02434698,0.06224950,3,10,26,0,3,11,0.00165850,0.00747871,0.02661425,0.34907338,0.49213327,0.66692173
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-18 00:00:00.000000,0.01225065,0.02882110,0.06616881,5,12,27,1,3,11,0.00248310,0.00929290,0.02822965,0.32411642,0.48246834,0.65458832
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-19 00:00:00.000000,0.01463135,0.03285271,0.07027516,6,13,29,1,4,12,0.00379287,0.01128142,0.02997115,0.31735736,0.46977925,0.63074687
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-20 00:00:00.000000,0.01681411,0.03902187,0.07856775,7,16,32,2,5,13,0.00504100,0.01325783,0.03182517,0.31547607,0.44573561,0.60797606
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-21 00:00:00.000000,0.01913990,0.04412746,0.08766468,8,18,36,2,6,14,0.00621001,0.01560918,0.03378374,0.30082047,0.42068551,0.58220522
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-22 00:00:00.000000,0.02161831,0.04988474,0.09938070,9,20,41,3,7,16,0.00776435,0.01810381,0.03915388,0.28890442,0.40587554,0.56871618
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-23 00:00:00.000000,0.02843039,0.05349056,0.10445960,11,22,43,3,8,19,0.00945649,0.02046847,0.04610034,0.27934679,0.37574212,0.55551929
5005,0,USArkansasBaxter,Arkansas,Baxter,2020-12-06 01:08:08.854606,2020-03-24 00:00:00.000000,0.03409702,0.05830994,0.12180990,14,24,51,4,9,20,0.01148339,0.02305637,0.04871423,0.24795750,0.35953197,0.54359423
