FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-09 00:00:00.000000,0.00068382,0.00510471,0.01375884,0,6,16,0,3,10,0.00044723,0.00293010,0.00841605,0.41489271,0.56633549,0.82988557
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-10 00:00:00.000000,0.00075681,0.00592712,0.01603890,0,7,19,0,3,10,0.00043187,0.00293060,0.00819552,0.41488963,0.56633540,0.82987877
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-11 00:00:00.000000,0.00082986,0.00654299,0.01838101,1,8,22,0,3,10,0.00043532,0.00294897,0.00835249,0.41488161,0.56633512,0.82985637
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-12 00:00:00.000000,0.00090522,0.00704602,0.02085378,1,8,25,0,3,10,0.00045152,0.00305840,0.00877720,0.41486073,0.56633425,0.82978263
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-13 00:00:00.000000,0.00098448,0.00781046,0.02351138,1,9,28,0,4,11,0.00047678,0.00331351,0.00958724,0.41480644,0.56533113,0.82953997
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-14 00:00:00.000000,0.00106882,0.00844175,0.02605145,1,10,31,0,4,13,0.00050891,0.00353159,0.01067938,0.41466553,0.56323164,0.82874319
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-15 00:00:00.000000,0.00115918,0.00897075,0.02912286,1,10,35,0,4,14,0.00054664,0.00377866,0.01193184,0.41430149,0.56146276,0.82614538
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-16 00:00:00.000000,0.00267870,0.01187619,0.03338195,3,14,40,0,4,15,0.00058930,0.00405211,0.01279783,0.41337229,0.55690843,0.81786843
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-17 00:00:00.000000,0.00420762,0.01440253,0.03737552,5,17,45,1,5,16,0.00089728,0.00457841,0.01376781,0.41251118,0.55632968,0.79332483
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-18 00:00:00.000000,0.00582179,0.01690846,0.04134537,7,20,50,1,6,18,0.00139429,0.00544520,0.01497117,0.41072164,0.54568484,0.79007221
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-19 00:00:00.000000,0.00753975,0.02015947,0.04501139,9,24,55,2,7,21,0.00203466,0.00632207,0.01730561,0.39450500,0.51832600,0.78997515
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-20 00:00:00.000000,0.00871453,0.02245731,0.05089019,10,27,62,3,9,23,0.00252082,0.00751560,0.01915940,0.37878587,0.50037189,0.78840686
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-21 00:00:00.000000,0.00985844,0.02450465,0.05563988,12,30,68,3,10,25,0.00297760,0.00880365,0.02103726,0.33461389,0.48409269,0.76189437
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-22 00:00:00.000000,0.01101841,0.02637894,0.06058882,13,32,74,4,12,28,0.00346353,0.01003891,0.02327695,0.32564229,0.47108104,0.71160850
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-23 00:00:00.000000,0.01292946,0.02911506,0.06497562,15,35,79,4,13,31,0.00397282,0.01085803,0.02574711,0.31308393,0.45736326,0.70835591
5125,0,USArkansasSaline,Arkansas,Saline,2020-11-01 04:00:10.679261,2020-03-24 00:00:00.000000,0.01461344,0.03234756,0.06964608,17,39,85,5,14,34,0.00459549,0.01214644,0.02818364,0.29414965,0.43856729,0.70828156
