FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-09 00:00:00.000000,0.00110214,0.00300119,0.00605368,12,34,69,5,15,41,0.00045783,0.00131200,0.00356556,0.59754680,0.78936924,1.09912165
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-10 00:00:00.000000,0.00105831,0.00328635,0.00700956,12,37,80,7,20,48,0.00068812,0.00177592,0.00417295,0.59754966,0.78936926,1.09912155
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-11 00:00:00.000000,0.00152874,0.00404332,0.00847488,17,46,97,9,25,57,0.00078705,0.00224583,0.00496556,0.59755753,0.78936937,1.09912130
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-12 00:00:00.000000,0.00210153,0.00478819,0.00991495,24,55,114,13,31,65,0.00116927,0.00273410,0.00566243,0.59757924,0.78936982,1.09912068
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-13 00:00:00.000000,0.00281314,0.00571721,0.01182983,32,65,136,18,38,73,0.00159342,0.00335843,0.00641109,0.59763888,0.78937164,1.09911909
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-14 00:00:00.000000,0.00347012,0.00693659,0.01405860,40,80,162,22,46,84,0.00195014,0.00400948,0.00733831,0.59780187,0.78937872,1.09911477
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-15 00:00:00.000000,0.00416739,0.00810400,0.01663472,48,93,191,27,53,98,0.00236387,0.00464725,0.00853574,0.59824096,0.78940581,1.09910165
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-16 00:00:00.000000,0.00493990,0.00932336,0.01868952,56,107,215,32,62,115,0.00282189,0.00544721,0.00998756,0.59937965,0.78673643,1.09905350
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-17 00:00:00.000000,0.00576577,0.01068730,0.02101468,66,123,242,38,73,139,0.00333401,0.00638342,0.01206983,0.60206326,0.78372373,1.09882804
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-18 00:00:00.000000,0.00669465,0.01265389,0.02508448,77,145,289,47,84,168,0.00409426,0.00729676,0.01456466,0.60717889,0.78296517,1.09730767
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-19 00:00:00.000000,0.00766759,0.01485953,0.02986910,88,171,344,54,99,200,0.00475107,0.00864980,0.01742030,0.61201516,0.76863894,1.08911373
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-20 00:00:00.000000,0.00869719,0.01708368,0.03391733,100,197,391,62,117,238,0.00541792,0.01016198,0.02065646,0.60566838,0.76745012,1.04928012
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-21 00:00:00.000000,0.00988037,0.01985795,0.03852137,113,229,444,71,137,285,0.00616437,0.01195762,0.02472695,0.58604202,0.75702111,1.03368273
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-22 00:00:00.000000,0.01123448,0.02313425,0.04538694,129,266,523,80,158,331,0.00700317,0.01374850,0.02872454,0.58336791,0.75325728,0.99804443
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-23 00:00:00.000000,0.01289173,0.02650022,0.05203846,148,305,600,91,181,383,0.00796678,0.01576534,0.03321660,0.58480479,0.74656317,0.95998993
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-24 00:00:00.000000,0.01508430,0.03073943,0.05902491,174,354,680,105,209,440,0.00916560,0.01818417,0.03820798,0.56241209,0.73248902,0.93982115
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-25 00:00:00.000000,0.01785991,0.03554822,0.06762083,206,410,780,124,238,505,0.01077936,0.02067040,0.04380939,0.54040647,0.70980342,0.93046656
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-26 00:00:00.000000,0.02094853,0.04011257,0.07713172,241,462,889,146,272,569,0.01274295,0.02365370,0.04939305,0.52848950,0.69754262,0.92590713
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-27 00:00:00.000000,0.02388803,0.04691279,0.08726960,275,541,1006,167,305,657,0.01450592,0.02650125,0.05701597,0.52610019,0.68544390,0.92306461
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-28 00:00:00.000000,0.02665206,0.05244875,0.10208270,307,605,1177,190,352,741,0.01650597,0.03056435,0.06432371,0.50778095,0.67119318,0.92112588
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-29 00:00:00.000000,0.02947417,0.05703321,0.11906965,339,657,1373,213,396,854,0.01854983,0.03435165,0.07404106,0.49833913,0.63491416,0.91540075
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-30 00:00:00.000000,0.03242751,0.06297435,0.13745756,374,726,1585,236,438,995,0.02047407,0.03805710,0.08627946,0.47858361,0.61674049,0.83270046
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-03-31 00:00:00.000000,0.03550217,0.06980073,0.15830686,409,805,1826,259,496,1115,0.02251807,0.04304389,0.09666406,0.45723454,0.59079256,0.79205814
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-04-01 00:00:00.000000,0.03855121,0.07589375,0.17416913,444,875,2009,282,556,1207,0.02452618,0.04821613,0.10470434,0.42737844,0.57644540,0.76173681
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-04-02 00:00:00.000000,0.04358234,0.08396735,0.18611313,502,968,2146,307,620,1309,0.02667007,0.05377344,0.11351733,0.41181386,0.55787738,0.75483455
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-04-03 00:00:00.000000,0.04902792,0.09048624,0.19471328,565,1043,2246,327,673,1412,0.02838118,0.05840635,0.12248616,0.37047419,0.51491848,0.72973563
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-04-04 00:00:00.000000,0.05159462,0.09771939,0.20022546,595,1127,2309,356,719,1504,0.03093493,0.06236025,0.13046624,0.31838622,0.49005208,0.68093574
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-04-05 00:00:00.000000,0.05537987,0.10348840,0.20425750,638,1193,2356,394,764,1622,0.03422598,0.06629066,0.14066999,0.30482362,0.45865404,0.59811261
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-04-06 00:00:00.000000,0.05957494,0.10719207,0.20842234,687,1236,2404,426,803,1693,0.03699438,0.06969497,0.14676987,0.29732487,0.41726203,0.57859909
6013,0,USCaliforniaContraCosta,California,Contra Costa,2020-09-29 11:01:23.452798,2020-04-07 00:00:00.000000,0.06315038,0.11150099,0.21589371,728,1286,2490,436,827,1713,0.03784033,0.07173261,0.14857933,0.29014458,0.38694659,0.56892418
