FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-09 00:00:00.000000,0.00165949,0.00947198,0.03708820,0,2,10,0,1,6,0.00078323,0.00515038,0.02307711,0.38699849,0.55755497,0.73949907
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-10 00:00:00.000000,0.00198712,0.01071219,0.04065951,0,2,11,0,1,6,0.00082880,0.00525443,0.02235870,0.38699799,0.55750442,0.73949322
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-11 00:00:00.000000,0.00231500,0.01185639,0.04431397,0,3,12,0,1,6,0.00092024,0.00535615,0.02260858,0.38699666,0.55739034,0.73948338
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-12 00:00:00.000000,0.00265389,0.01305332,0.04816521,0,3,13,0,1,6,0.00104436,0.00574425,0.02351190,0.38699308,0.55713415,0.73946680
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-13 00:00:00.000000,0.00301155,0.01410581,0.05228156,0,3,14,0,1,6,0.00119362,0.00600688,0.02487080,0.38698333,0.55656527,0.73943880
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-14 00:00:00.000000,0.00337376,0.01534918,0.05877678,0,4,16,0,1,7,0.00136397,0.00657669,0.02657430,0.38695646,0.55533293,0.73939085
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-15 00:00:00.000000,0.00356996,0.01677134,0.06167984,0,4,17,0,2,7,0.00152508,0.00725815,0.02863849,0.38688194,0.55336655,0.73930532
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-16 00:00:00.000000,0.00539128,0.02178778,0.07070371,1,6,19,0,2,8,0.00161238,0.00790936,0.03097843,0.38671093,0.55316011,0.73913519
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-17 00:00:00.000000,0.00864757,0.02783265,0.08018904,2,7,22,0,2,9,0.00197494,0.00887736,0.03430425,0.37545312,0.53885393,0.73579238
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-18 00:00:00.000000,0.01108618,0.03470088,0.09040363,3,9,25,0,3,10,0.00252787,0.01099703,0.03837881,0.36555815,0.52287726,0.71186762
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-19 00:00:00.000000,0.01360346,0.04098512,0.10144165,3,11,28,1,3,11,0.00392953,0.01319900,0.04307831,0.36262829,0.50831236,0.69022627
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-20 00:00:00.000000,0.01622430,0.04743190,0.11337573,4,13,31,1,4,13,0.00531410,0.01603424,0.04834441,0.33084422,0.49464502,0.69677199
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-21 00:00:00.000000,0.01897197,0.05408044,0.12623514,5,15,35,1,5,15,0.00660153,0.01883263,0.05415496,0.30411580,0.47608436,0.66158167
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-22 00:00:00.000000,0.02186502,0.06170066,0.13976969,6,17,38,2,6,16,0.00789042,0.02264567,0.06050131,0.28624785,0.45692859,0.64369617
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-23 00:00:00.000000,0.02601244,0.06964264,0.15332073,7,19,42,2,7,18,0.00947595,0.02616855,0.06732742,0.27333705,0.42760402,0.60567044
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-24 00:00:00.000000,0.03157848,0.07682371,0.16435156,8,21,45,3,8,20,0.01104353,0.02987871,0.07446315,0.26169515,0.41043426,0.56268827
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-25 00:00:00.000000,0.03552656,0.08355173,0.17496140,9,23,48,3,9,22,0.01249309,0.03403329,0.08129398,0.25639809,0.39257553,0.54921695
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-26 00:00:00.000000,0.03867192,0.08966629,0.18573177,10,24,51,3,10,24,0.01412391,0.03757904,0.08782905,0.24429224,0.38188947,0.54696400
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-27 00:00:00.000000,0.04086811,0.09586161,0.19664635,11,26,54,4,11,26,0.01596818,0.04023952,0.09420591,0.24083233,0.37691723,0.54466213
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-28 00:00:00.000000,0.04299083,0.10246585,0.21021729,11,28,58,4,12,27,0.01777862,0.04405803,0.10051340,0.23593559,0.37021395,0.53898063
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-29 00:00:00.000000,0.04473553,0.11067369,0.22870927,12,30,63,5,13,29,0.01884105,0.04762579,0.10677960,0.22983331,0.36523906,0.51274365
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-30 00:00:00.000000,0.04459861,0.11506326,0.23863474,12,32,66,5,14,31,0.02034577,0.05255058,0.11298325,0.22955910,0.36188978,0.50198264
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-03-31 00:00:00.000000,0.04688274,0.11947189,0.24743402,13,33,68,6,15,32,0.02190379,0.05558043,0.11811771,0.22902527,0.35133366,0.48721665
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-01 00:00:00.000000,0.04939942,0.12479112,0.25572825,13,34,71,6,16,34,0.02339904,0.05776202,0.12246856,0.21760392,0.34743878,0.46673961
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-02 00:00:00.000000,0.05205997,0.12888186,0.26460369,14,35,73,6,16,35,0.02386865,0.05988257,0.12711752,0.20925674,0.34554634,0.46106835
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-03 00:00:00.000000,0.05361837,0.13048577,0.28013451,14,36,77,6,17,37,0.02417546,0.06318214,0.13325238,0.20678228,0.33823066,0.45503965
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-04 00:00:00.000000,0.05372312,0.13522980,0.29708785,14,37,82,6,18,38,0.02440191,0.06516539,0.13933865,0.20201742,0.33080649,0.46267921
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-05 00:00:00.000000,0.05378018,0.13886389,0.30188321,14,38,83,6,18,41,0.02457887,0.06726790,0.14759870,0.19788088,0.32522056,0.44095838
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-06 00:00:00.000000,0.05377633,0.14404256,0.30124627,14,40,83,6,19,42,0.02470650,0.06879521,0.15415382,0.19604936,0.31893621,0.44585474
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-07 00:00:00.000000,0.05361469,0.14702438,0.31014693,14,40,86,6,19,44,0.02479191,0.07121813,0.15905916,0.19415045,0.31219750,0.46554799
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-08 00:00:00.000000,0.05265373,0.14805174,0.31879770,14,41,88,6,20,44,0.02482310,0.07271138,0.15930477,0.18960858,0.30306358,0.45463632
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-09 00:00:00.000000,0.05318086,0.15139401,0.32660314,14,42,90,6,20,44,0.02492446,0.07472755,0.16110812,0.18785081,0.29757761,0.45104094
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-10 00:00:00.000000,0.05383012,0.15484745,0.33401554,14,43,92,7,21,46,0.02543628,0.07739329,0.16618173,0.18731877,0.29358378,0.44926942
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-11 00:00:00.000000,0.05446912,0.15792169,0.34176570,15,43,95,7,22,47,0.02588472,0.08082438,0.17090768,0.18763962,0.28670286,0.44057444
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-12 00:00:00.000000,0.05422212,0.15994607,0.35308645,15,44,98,7,23,48,0.02629008,0.08369514,0.17534857,0.18846245,0.28373808,0.43462724
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-13 00:00:00.000000,0.05838695,0.16813298,0.37085497,16,46,103,7,23,49,0.02666648,0.08593640,0.17931392,0.18830812,0.27981705,0.43086592
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-14 00:00:00.000000,0.06256295,0.17807823,0.38851505,17,49,108,7,24,51,0.02859247,0.08737823,0.18354495,0.18604140,0.27753249,0.42669866
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-15 00:00:00.000000,0.06684956,0.19345818,0.40614555,18,53,112,8,25,52,0.03157950,0.09093541,0.18771209,0.17733607,0.27720433,0.42579757
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-16 00:00:00.000000,0.07109447,0.20634406,0.42386328,19,57,117,9,26,53,0.03442373,0.09452102,0.19154071,0.16974194,0.27980228,0.43691890
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-17 00:00:00.000000,0.07517832,0.21379338,0.44180679,20,59,122,9,27,54,0.03546823,0.10045464,0.19684681,0.17042602,0.28392051,0.43718664
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-18 00:00:00.000000,0.07902235,0.22719231,0.46000049,21,63,127,10,29,57,0.03648187,0.10689862,0.20548915,0.17109026,0.28550889,0.43739796
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-19 00:00:00.000000,0.08259594,0.23547053,0.47854452,22,65,133,10,31,59,0.03749532,0.11467270,0.21364917,0.16735794,0.28680889,0.42768634
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-20 00:00:00.000000,0.09103381,0.24614888,0.49594325,25,68,137,10,33,61,0.03845007,0.12021893,0.22110984,0.16769027,0.28479602,0.43253500
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-21 00:00:00.000000,0.10049254,0.25846213,0.51380051,27,71,142,11,35,63,0.04259737,0.12694591,0.22698683,0.16836750,0.28577539,0.43847473
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-22 00:00:00.000000,0.10883200,0.26918498,0.53206598,30,74,147,12,36,64,0.04572365,0.13188972,0.23178829,0.17290365,0.28615701,0.44060934
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-23 00:00:00.000000,0.11319113,0.27474420,0.54960569,31,76,152,12,38,66,0.04641176,0.13698677,0.24012190,0.17851951,0.28371516,0.43873720
6015,0,USCaliforniaDelNorte,California,Del Norte,2020-12-05 23:53:52.341022,2020-04-24 00:00:00.000000,0.11745455,0.28418768,0.56999861,32,79,158,13,39,70,0.04835912,0.14043800,0.25392713,0.16731020,0.28252145,0.42514126
