FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6023,0,USCaliforniaHumboldt,California,Humboldt,2020-11-26 22:07:04.502273,2020-03-09 00:00:00.000000,0.00169921,0.00476988,0.01336080,2,6,18,1,3,8,0.00077170,0.00234745,0.00657874,0.48512043,0.66465544,0.89287585
6023,0,USCaliforniaHumboldt,California,Humboldt,2020-11-26 22:07:04.502273,2020-03-10 00:00:00.000000,0.00190632,0.00539217,0.01494611,2,7,20,1,3,8,0.00085246,0.00239108,0.00652599,0.48511470,0.66465544,0.89287522
6023,0,USCaliforniaHumboldt,California,Humboldt,2020-11-26 22:07:04.502273,2020-03-11 00:00:00.000000,0.00212790,0.00606338,0.01664290,2,8,22,1,3,9,0.00095914,0.00251002,0.00685103,0.48510413,0.66465544,0.89287400
6023,0,USCaliforniaHumboldt,California,Humboldt,2020-11-26 22:07:04.502273,2020-03-12 00:00:00.000000,0.00226318,0.00660244,0.01835047,3,8,24,1,3,10,0.00103730,0.00278261,0.00737693,0.48508461,0.66465543,0.89287164
6023,0,USCaliforniaHumboldt,California,Humboldt,2020-11-26 22:07:04.502273,2020-03-13 00:00:00.000000,0.00257240,0.00722636,0.02007946,3,9,27,1,4,10,0.00110064,0.00307148,0.00801269,0.48504863,0.66465539,0.89286711
6023,0,USCaliforniaHumboldt,California,Humboldt,2020-11-26 22:07:04.502273,2020-03-14 00:00:00.000000,0.00275608,0.00798966,0.02184261,3,10,29,1,4,11,0.00122342,0.00333387,0.00871299,0.48498232,0.66465515,0.89285838
6023,0,USCaliforniaHumboldt,California,Humboldt,2020-11-26 22:07:04.502273,2020-03-15 00:00:00.000000,0.00296443,0.00879374,0.02365401,4,11,32,1,4,12,0.00133640,0.00356583,0.00958076,0.48486029,0.66060722,0.89284156
6023,0,USCaliforniaHumboldt,California,Humboldt,2020-11-26 22:07:04.502273,2020-03-16 00:00:00.000000,0.00519742,0.01153404,0.02636532,7,15,35,1,5,14,0.00141836,0.00385827,0.01057474,0.48463621,0.64539456,0.89280917
6023,0,USCaliforniaHumboldt,California,Humboldt,2020-11-26 22:07:04.502273,2020-03-17 00:00:00.000000,0.00674515,0.01413861,0.02916917,9,19,39,2,6,15,0.00203132,0.00479123,0.01171385,0.48422647,0.64513446,0.89274628
6023,0,USCaliforniaHumboldt,California,Humboldt,2020-11-26 22:07:04.502273,2020-03-18 00:00:00.000000,0.00814533,0.01640585,0.03300951,11,22,44,3,8,17,0.00286192,0.00596285,0.01303266,0.48348325,0.65163474,0.89261191
